pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.0588,2.8716,0.1629,straight,1.6213,4.0000,0.0588,-0.0509,0.0294
0.2152,7.2016,0.0384,stand,0.0000,4.0000,0.0000,nan,nan
0.0323,3.6265,0.0669,lateral,0.1486,4.0200,0.0323,-0.0296,0.0129
0.0817,0.4401,0.1137,turn,0.0000,4.0400,0.0000,nan,nan
0.0575,4.3346,0.0941,lateral,0.5644,4.0600,0.0554,-0.0554,0.0153
0.0847,0.0136,0.0329,straight,0.3903,4.0600,0.0723,0.0430,0.0730
0.0866,0.2157,0.1716,lateral,0.5120,4.0800,0.0498,0.0466,0.0730
0.0828,3.7093,0.1232,straight,0.3337,4.0400,0.0232,-0.0203,0.0803
0.0809,4.2852,0.0204,turn,0.0000,4.1000,0.0000,nan,nan
0.2338,3.6645,0.0525,combined,1.1051,4.0600,0.2338,-0.2330,0.0193
0.0294,1.8831,0.0232,straight,0.7604,4.1200,0.0072,0.0282,0.0083
0.1295,0.7148,0.1187,lateral,0.7995,4.1400,0.1295,-0.1160,0.0575
0.0846,11.1304,0.0517,stand,0.0000,4.1600,0.0000,nan,nan
0.0514,1.9561,0.1239,straight,1.0835,4.1600,0.0321,-0.0291,0.0424
0.0471,1.8328,0.0361,straight,0.2940,4.1800,0.0206,0.0406,0.0238
0.2238,6.2931,0.1543,lateral,1.2723,4.2000,0.2152,-0.1710,0.1443
0.1609,0.0600,0.0595,combined,1.6663,4.2000,0.0647,0.1502,0.0577
0.1448,9.5891,0.0260,stand,0.0000,4.2200,0.0000,nan,nan
0.1247,2.3372,0.1877,lateral,1.1702,4.2600,0.1247,-0.0632,0.1075
0.0352,0.8131,0.1679,turn,0.0000,4.2800,0.0000,nan,nan
0.0576,0.7432,0.1109,turn,0.0000,4.2800,0.0000,nan,nan
0.1188,0.7654,0.1654,combined,1.3294,4.3000,0.1188,-0.0645,0.0998
0.0607,0.0488,0.0943,turn,0.0000,4.3400,0.0000,nan,nan
0.1221,5.6559,0.2226,straight,0.3736,4.3400,0.0521,0.0487,0.1120
0.1391,4.0595,0.1105,combined,1.5353,4.3800,0.1344,-0.1382,0.0153
0.0276,4.9954,0.0043,stand,0.0000,4.3800,0.0000,nan,nan
0.1523,1.2841,0.1060,combined,2.3763,4.3600,0.1523,-0.1519,0.0108
0.1184,2.0246,0.1353,straight,1.8087,4.4000,0.1154,-0.1182,0.0069
0.0154,3.4301,0.1771,turn,0.0000,4.4200,0.0000,nan,nan
0.0887,3.6087,0.1600,combined,1.0583,4.4400,0.0835,-0.0391,0.0796
0.0712,1.4354,0.1260,turn,0.0000,4.4400,0.0000,nan,nan
0.0440,0.8170,0.0918,turn,0.0000,4.1200,0.0000,nan,nan
0.0637,2.9439,0.0197,combined,1.4895,4.4600,0.0637,-0.0295,0.0565
0.1833,5.6698,0.0341,combined,1.1134,4.4600,0.1833,-0.1785,0.0417
0.1058,3.8482,0.0157,turn,0.0000,4.4800,0.0000,nan,nan
0.0259,0.1356,0.1328,combined,1.3003,4.4800,0.0229,-0.0145,0.0215
0.0849,1.7685,0.0338,combined,0.6579,4.5000,0.0843,-0.0745,0.0406
0.1243,3.1841,0.0402,lateral,1.1520,4.5200,0.1243,-0.0272,0.1213
0.0899,1.4890,0.2332,lateral,1.3195,4.5200,0.0899,-0.0897,0.0064
0.0447,3.9561,0.1020,combined,0.9433,4.5400,0.0272,-0.0189,0.0405
0.0539,0.8434,0.0241,lateral,0.0827,4.5800,0.0441,0.0440,0.0311
0.1102,0.6979,0.1451,lateral,0.5202,4.5800,0.1060,-0.0537,0.0962
0.1302,4.1145,0.2591,straight,1.3550,4.5800,0.1302,-0.1214,0.0470
0.0933,1.0595,0.1560,straight,1.9288,4.6000,0.0933,-0.0828,0.0430
0.0305,3.5917,0.1433,lateral,0.2763,4.6200,0.0289,-0.0064,0.0298
0.2039,1.7461,0.0282,stand,0.0000,4.6400,0.0000,nan,nan
0.0894,1.5982,0.0857,combined,2.0390,4.6600,0.0894,-0.0892,0.0062
0.0641,0.6577,0.0824,lateral,0.2251,4.6600,0.0601,-0.0492,0.0411
0.0375,4.6023,0.0360,lateral,0.6565,4.6600,0.0246,0.0350,0.0135
0.1348,1.5434,0.0575,turn,0.0000,4.7400,0.0000,nan,nan
0.0357,0.9651,0.1033,straight,1.1381,4.7400,0.0241,-0.0264,0.0241
0.1434,7.0419,0.0579,combined,1.5424,4.7400,0.1434,-0.1394,0.0339
0.0835,4.2756,0.1818,combined,1.4375,4.7600,0.0188,-0.0046,0.0834
0.1050,2.5781,0.1219,straight,1.4763,4.7200,0.1050,-0.0831,0.0641
0.1105,7.6543,0.1305,straight,1.0497,4.7800,0.0989,0.0224,0.1083
0.0576,16.1317,0.0401,stand,0.0000,4.8000,0.0000,nan,nan
0.0312,4.0303,0.1356,straight,0.4014,4.8000,0.0312,-0.0300,0.0083
0.0764,0.6312,0.1626,combined,1.5914,4.8000,0.0707,-0.0589,0.0488
0.0964,2.7578,0.1759,straight,0.3844,4.8600,0.0618,-0.0419,0.0868
0.0744,1.6851,0.1873,lateral,1.3513,4.8600,0.0744,-0.0223,0.0709
0.1073,2.7162,0.2274,straight,1.7704,4.8600,0.1073,-0.0802,0.0713
0.0986,0.1633,0.0661,turn,0.0000,4.8800,0.0000,nan,nan
0.2773,0.2298,0.1676,lateral,1.4496,4.8800,0.2773,-0.0135,0.2770
0.0120,4.3404,0.0551,lateral,1.0024,4.9000,0.0120,0.0098,0.0070
0.1271,0.7790,0.0187,combined,0.4523,4.9000,0.0027,-0.0462,0.1184
0.0425,1.3197,0.1719,combined,0.5752,4.9600,0.0003,0.0352,0.0238
0.1000,1.7105,0.2227,straight,1.5851,4.9800,0.0788,-0.0366,0.0931
0.0888,2.9480,0.2006,combined,1.9659,5.0000,0.0217,0.0708,0.0536
0.1146,0.3426,0.0388,combined,1.1245,5.0000,0.0941,-0.0628,0.0958
0.0545,1.8824,0.0921,straight,1.5508,5.0200,0.0545,-0.0315,0.0444
0.1387,0.8229,0.1508,combined,1.7521,5.0000,0.1356,-0.1380,0.0146
0.0736,5.0786,0.1995,turn,0.0000,5.0600,0.0000,nan,nan
0.0369,1.1395,0.1087,lateral,0.7101,5.0800,0.0357,-0.0110,0.0352
0.1411,0.5521,0.0896,combined,1.0111,5.1000,0.0713,-0.0631,0.1262
0.0855,2.0589,0.0604,combined,1.8472,5.1600,0.0855,-0.0843,0.0144
0.1638,6.5065,0.0617,lateral,1.4010,5.1600,0.1580,-0.0565,0.1537
0.0355,5.1086,0.1628,combined,1.7301,5.1200,0.0320,-0.0242,0.0259
0.0633,2.8543,0.1490,combined,1.8520,5.1200,0.0586,-0.0563,0.0291
0.1437,0.9843,0.0109,lateral,0.1621,5.1800,0.0096,0.1198,0.0792
0.1133,2.7506,0.0563,turn,0.0000,5.2000,0.0000,nan,nan
0.1968,4.5255,0.0941,straight,1.9252,5.2200,0.1968,-0.1955,0.0225
0.1193,5.5618,0.0298,stand,0.0000,5.2200,0.0000,nan,nan
0.0071,2.6281,0.0625,lateral,0.7240,5.2400,0.0033,-0.0042,0.0057
0.0717,4.8284,0.0320,stand,0.0000,4.2200,0.0000,nan,nan
0.0931,1.3257,0.0487,combined,2.0102,5.2600,0.0931,-0.0874,0.0322
0.0422,0.2498,0.1898,combined,1.4622,5.2600,0.0336,-0.0235,0.0351
0.0533,2.4341,0.2003,straight,0.9922,5.2800,0.0275,-0.0069,0.0528
0.1491,0.7291,0.0190,combined,1.0624,5.3000,0.1481,-0.1419,0.0456
0.0457,1.7400,0.1446,straight,0.4539,4.3800,0.0396,0.0384,0.0248
0.1432,0.2680,0.0920,straight,0.7416,5.3200,0.0298,-0.1432,0.0020
0.0401,2.5805,0.0373,combined,1.2033,5.3200,0.0338,-0.0118,0.0383
0.0569,4.9383,0.0447,combined,1.5076,5.3000,0.0560,-0.0327,0.0465
0.0563,2.3332,0.1956,lateral,1.3074,5.4200,0.0114,0.0562,0.0032
0.0576,6.6270,0.1888,straight,1.7676,5.4200,0.0561,-0.0436,0.0377
0.0338,4.3815,0.1904,lateral,0.8076,5.4000,0.0157,0.0282,0.0186
0.0285,7.8990,0.0800,turn,0.0000,5.4800,0.0000,nan,nan
0.0073,0.8471,0.0463,straight,0.6332,5.5400,0.0029,0.0068,0.0026
0.0436,2.7375,0.1365,combined,1.5059,5.5600,0.0436,-0.0356,0.0251
0.0363,0.5818,0.2448,straight,0.3466,5.5600,0.0363,-0.0320,0.0171
0.0584,0.7891,0.1599,straight,0.9632,5.5800,0.0582,-0.0575,0.0105
0.0678,3.5813,0.1210,turn,0.0000,5.5800,0.0000,nan,nan
0.0860,1.4948,0.0544,lateral,0.9998,5.6600,0.0759,-0.0837,0.0199
0.0745,1.7100,0.0170,combined,2.0123,5.6800,0.0505,-0.0739,0.0093
0.0609,3.4912,0.0894,combined,0.9143,5.7000,0.0129,0.0592,0.0143
0.1206,1.0425,0.0588,lateral,0.8265,5.7200,0.1042,-0.1042,0.0607
0.1013,2.7871,0.1653,straight,0.2329,5.7200,0.0596,-0.1002,0.0150
0.1106,0.1088,0.2007,combined,1.2067,5.7200,0.1069,-0.1105,0.0043
0.0598,3.6457,0.0616,straight,1.0259,5.7400,0.0590,-0.0478,0.0359
0.0422,0.0190,0.0901,straight,1.4441,5.7200,0.0277,-0.0322,0.0272
0.0111,1.9171,0.1302,turn,0.0000,5.7800,0.0000,nan,nan
0.0247,1.0809,0.1431,lateral,0.5661,5.8000,0.0247,-0.0227,0.0096
0.0520,0.5628,0.0541,straight,0.0867,5.8200,0.0154,-0.0515,0.0072
