pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.0345,11.0193,0.0280,straight,1.6213,4.0000,0.0087,-0.0045,0.0342
0.0540,6.6724,0.0343,stand,0.0000,4.0000,0.0000,nan,nan
0.0368,5.0542,0.0307,lateral,0.1486,4.0200,0.0064,0.0129,0.0345
0.0825,4.3253,0.0710,lateral,1.2265,4.0000,0.0825,-0.0807,0.0173
0.0356,3.7301,0.0191,turn,0.0000,4.0400,0.0000,nan,nan
0.0291,8.7807,0.0473,lateral,0.5644,4.0600,0.0118,0.0267,0.0117
0.0689,3.6571,0.0157,straight,0.3903,4.0600,0.0653,-0.0186,0.0664
0.0067,5.4649,0.0494,lateral,0.5120,4.0800,0.0067,0.0054,0.0039
0.0519,6.8921,0.0417,turn,0.0000,4.1000,0.0000,nan,nan
0.0640,13.4761,0.0037,straight,0.7604,4.1200,0.0417,0.0586,0.0257
0.1811,16.1474,0.0140,stand,0.0000,4.1200,0.0000,nan,nan
0.0633,12.3518,0.0352,lateral,0.7995,4.1400,0.0624,-0.0616,0.0147
0.0138,4.2168,0.0353,stand,0.0000,4.1600,0.0000,nan,nan
0.0256,4.8670,0.0091,straight,1.0835,4.1600,0.0256,-0.0059,0.0249
0.0227,6.6132,0.0336,straight,0.2940,4.1800,0.0226,-0.0111,0.0198
0.0197,7.1862,0.0263,lateral,1.2723,4.2000,0.0197,-0.0013,0.0197
0.0097,7.0746,0.0447,combined,1.6663,4.2000,0.0063,-0.0059,0.0078
0.1270,7.1542,0.0075,stand,0.0000,4.2200,0.0000,nan,nan
0.0891,6.9578,0.0810,lateral,1.1702,4.2600,0.0876,-0.0884,0.0108
0.0145,5.3728,0.0162,turn,0.0000,4.2800,0.0000,nan,nan
0.0450,9.9377,0.0123,turn,0.0000,4.2800,0.0000,nan,nan
0.0194,3.6894,0.0110,combined,1.3294,4.3000,0.0009,0.0194,0.0005
0.0489,12.3647,0.0151,straight,1.4486,4.2800,0.0422,0.0073,0.0484
