pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.0316,2.2499,0.0762,straight,1.6213,4.0000,0.0174,-0.0205,0.0240
0.0522,2.5201,0.1844,lateral,0.1486,4.0200,0.0033,0.0335,0.0399
0.0321,1.5167,0.1102,turn,0.0000,4.0400,0.0000,nan,nan
0.0904,2.8592,0.0648,lateral,0.5644,4.0600,0.0849,0.0215,0.0878
0.0650,1.5400,0.0877,straight,0.3903,4.0600,0.0293,0.0169,0.0628
0.0949,0.2726,0.2257,lateral,0.5120,4.0800,0.0863,0.0177,0.0932
0.1845,0.9357,0.0415,turn,0.0000,4.1000,0.0000,nan,nan
0.0607,0.4171,0.0863,straight,0.7604,4.1200,0.0177,0.0534,0.0288
0.2124,4.2454,0.3308,combined,2.0320,4.1200,0.2124,0.0041,0.2123
0.2104,3.4188,0.0503,stand,0.0000,4.1200,0.0000,nan,nan
0.1429,2.3166,0.1567,lateral,0.7995,4.1400,0.1429,-0.0874,0.1130
0.0722,7.8544,0.0162,stand,0.0000,4.1600,0.0000,nan,nan
0.1519,2.1018,0.1271,straight,1.0835,4.1600,0.1317,-0.0119,0.1514
0.0888,0.4489,0.0363,straight,0.2940,4.1800,0.0150,0.0515,0.0723
0.1443,4.6590,0.0308,lateral,1.2723,4.2000,0.1441,-0.1365,0.0469
0.1904,0.3251,0.0345,combined,1.6663,4.2000,0.1646,0.1052,0.1587
0.2692,41.5605,0.0623,stand,0.0000,4.2200,0.0000,nan,nan
0.2318,3.1433,0.1366,lateral,1.1702,4.2600,0.2228,-0.2298,0.0299
0.0518,1.5123,0.1357,turn,0.0000,4.2800,0.0000,nan,nan
0.0950,0.1186,0.1133,turn,0.0000,4.2800,0.0000,nan,nan
0.1434,3.0440,0.1949,combined,1.3294,4.3000,0.1171,-0.0337,0.1394
0.0450,1.5802,0.1255,turn,0.0000,4.3400,0.0000,nan,nan
0.1445,2.1612,0.2299,straight,0.3736,4.3400,0.0956,0.0274,0.1419
0.1273,6.5008,0.1010,combined,1.5353,4.3800,0.1201,-0.1088,0.0660
0.0859,3.0491,0.0260,stand,0.0000,4.3800,0.0000,nan,nan
0.3011,2.5646,0.0239,combined,2.3763,4.3600,0.3011,-0.3002,0.0236
0.2104,1.6883,0.1434,straight,1.8087,4.4000,0.2025,-0.1691,0.1251
0.0587,0.8967,0.2025,turn,0.0000,4.4200,0.0000,nan,nan
0.0913,4.6652,0.1484,combined,1.0583,4.4400,0.0857,-0.0719,0.0564
0.0906,1.4086,0.1318,turn,0.0000,4.4400,0.0000,nan,nan
0.0747,0.9287,0.0383,combined,1.4895,4.4600,0.0107,0.0746,0.0052
0.0430,4.3926,0.0949,combined,1.1134,4.4600,0.0430,-0.0183,0.0389
0.0077,1.3728,0.0837,turn,0.0000,4.4800,0.0000,nan,nan
0.0473,2.0873,0.0601,combined,1.3003,4.4800,0.0058,0.0465,0.0087
0.0237,1.1450,0.0530,turn,0.0000,4.4800,0.0000,nan,nan
0.1609,1.9041,0.0395,combined,0.6579,4.5000,0.1609,-0.1379,0.0828
0.0894,2.9847,0.0782,lateral,1.1520,4.5200,0.0894,-0.0274,0.0851
