pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.4987,6.4516,0.1932,straight,1.6213,4.0000,0.4987,-0.4979,0.0284
0.0432,0.7057,0.0125,stand,0.0000,4.0000,0.0000,nan,nan
0.0479,1.0827,0.0517,lateral,0.1486,4.0200,0.0479,-0.0477,0.0032
0.7053,1.8745,0.2182,turn,0.0000,4.0400,0.0000,nan,nan
0.1093,0.1526,0.0892,lateral,0.5644,4.0600,0.1093,-0.1063,0.0252
0.0666,4.8968,0.0837,straight,0.3903,4.0600,0.0666,-0.0211,0.0631
0.4627,0.2291,0.1647,lateral,0.5120,4.0800,0.4017,-0.3554,0.2962
0.0812,1.3819,0.1198,turn,0.0000,4.1000,0.0000,nan,nan
0.1226,5.7948,0.1091,straight,0.7604,4.1200,0.0828,0.0457,0.1137
0.8629,17.2007,0.3472,combined,2.0320,4.1200,0.8629,-0.8072,0.3048
0.1533,13.2342,0.0382,stand,0.0000,4.1200,0.0000,nan,nan
0.0804,5.3516,0.0735,lateral,0.7995,4.1400,0.0804,-0.0799,0.0082
0.0725,1.9331,0.0193,stand,0.0000,4.1600,0.0000,nan,nan
0.2116,2.1945,0.2491,straight,1.0835,4.1600,0.2116,-0.1711,0.1245
0.0770,5.6762,0.1279,straight,0.2940,4.1800,0.0770,-0.0763,0.0106
0.3827,4.3845,0.0749,lateral,1.2723,4.2000,0.3815,-0.2817,0.2591
0.1866,4.5040,0.2261,combined,1.6663,4.2000,0.1866,-0.1850,0.0241
0.1196,5.7200,0.0518,stand,0.0000,4.2200,0.0000,nan,nan
0.6546,0.3730,0.0519,lateral,1.1702,4.2600,0.6515,-0.6433,0.1209
0.2076,1.6766,0.1602,turn,0.0000,4.2800,0.0000,nan,nan
0.0693,4.1721,0.1342,turn,0.0000,4.2800,0.0000,nan,nan
0.6228,0.9606,0.1048,combined,1.3294,4.3000,0.6228,-0.6204,0.0550
0.1250,3.7256,0.1036,turn,0.0000,4.3400,0.0000,nan,nan
0.1903,3.5699,0.1669,straight,0.3736,4.3400,0.0433,0.1590,0.1045
