pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.0313,3.4725,0.0592,straight,1.2735,4.0000,0.0308,0.0005,0.0312,1.0449,0.3359,0.0000
0.0341,0.4035,0.0627,combined,2.0765,4.0000,0.0341,-0.0311,0.0141,1.4261,0.5288,0.0000
0.0161,0.1220,0.0179,straight,0.0175,4.0200,0.0049,-0.0023,0.0160,0.2790,0.0506,0.0000
0.0313,1.1355,0.0340,straight,0.2295,4.0200,0.0290,-0.0064,0.0307,0.2548,0.0826,0.0000
0.0575,3.3970,0.0215,straight,1.9659,4.0200,0.0544,-0.0233,0.0526,1.4375,0.4902,0.0000
0.0056,1.4810,0.0087,combined,1.8102,4.0600,0.0052,0.0004,0.0056,1.2562,0.4383,0.0000
0.0278,0.6916,0.0323,turn,0.0000,4.0800,0.0000,nan,nan,0.1427,0.0351,0.0000
0.0061,6.8622,0.0347,turn,0.0000,4.1400,0.0000,nan,nan,0.2465,0.0619,0.0000
0.0272,0.4970,0.0103,combined,0.9494,4.1600,0.0202,-0.0105,0.0251,1.1372,0.2660,0.0000
0.0169,0.6272,0.0135,turn,0.0000,4.1600,0.0000,nan,nan,0.2929,0.0545,0.0000
0.0404,2.2578,0.0593,turn,0.0000,4.1800,0.0000,nan,nan,0.2271,0.0519,0.0000
0.0265,5.1315,0.0286,lateral,0.3221,4.1800,0.0261,-0.0216,0.0154,0.5285,0.0891,0.0000
0.0228,5.7768,0.0275,combined,0.5441,4.2000,0.0045,-0.0006,0.0228,0.5601,0.1364,0.0000
0.0400,3.5343,0.0199,lateral,0.0975,4.2000,0.0025,0.0011,0.0400,0.2133,0.0535,0.0000
0.0212,5.7310,0.0424,turn,0.0000,4.2200,0.0000,nan,nan,0.1416,0.0460,0.0000
0.0540,0.2872,0.0402,combined,0.7949,4.2400,0.0483,0.0028,0.0539,0.8658,0.1892,0.0000
0.0086,3.1594,0.0075,combined,1.2386,4.2400,0.0083,-0.0082,0.0025,1.1029,0.3099,0.0000
0.0315,2.9085,0.0365,straight,0.1792,4.2800,0.0262,0.0301,0.0091,0.4781,0.0848,0.0000
0.0556,4.2097,0.0081,combined,1.2078,4.3000,0.0556,-0.0528,0.0176,0.9444,0.2931,0.0000
0.0296,0.2132,0.0416,combined,0.8368,4.3000,0.0225,-0.0282,0.0091,0.9821,0.2083,0.0000
0.0260,0.7324,0.0236,straight,0.5058,4.3200,0.0216,0.0254,0.0056,0.6841,0.1405,0.0000
0.0136,3.0200,0.0055,lateral,1.0543,4.3400,0.0101,-0.0096,0.0097,1.1776,0.2684,0.0000
0.0184,1.0251,0.0346,combined,2.1911,4.0200,0.0180,-0.0162,0.0086,1.5038,0.6044,0.0000
0.0361,2.6403,0.0746,straight,1.0456,4.3800,0.0348,-0.0140,0.0332,0.9972,0.2599,0.0000
0.0450,0.4117,0.0311,combined,1.8379,4.4000,0.0425,-0.0348,0.0285,1.2912,0.4340,0.0000
