pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.0040,4.4753,0.0576,combined,0.2614,4.0200,0.0001,0.0022,0.0033,0.6239,0.0936,0.0000
0.0313,1.0560,0.0268,lateral,0.7462,4.0600,0.0275,-0.0305,0.0070,0.9154,0.2016,0.0000
0.0468,0.2383,0.0271,lateral,0.8964,4.0600,0.0015,0.0383,0.0269,1.0777,0.2587,0.0000
0.0045,3.0132,0.0061,turn,0.0000,4.0800,0.0000,nan,nan,0.4743,0.0722,0.0000
0.0450,2.7349,0.0579,lateral,0.6748,4.0800,0.0007,0.0447,0.0056,0.9902,0.1976,0.0000
0.0126,6.2030,0.0338,combined,1.5171,4.1600,0.0081,0.0022,0.0124,1.4353,0.3927,0.0000
0.0339,1.3030,0.0475,lateral,0.8364,4.1600,0.0339,-0.0154,0.0302,0.9432,0.2154,0.0000
0.0440,0.2246,0.0284,turn,0.0000,4.1600,0.0000,nan,nan,0.3421,0.0761,0.0000
0.0388,6.0627,0.0296,straight,1.1866,4.1800,0.0388,-0.0325,0.0212,0.9772,0.2980,0.0000
0.0565,0.8752,0.0196,combined,0.7092,4.2000,0.0506,0.0476,0.0305,0.9611,0.2410,0.0000
0.0212,1.4481,0.0367,turn,0.0000,4.2200,0.0000,nan,nan,0.6834,0.1905,0.0000
0.0149,7.1302,0.0366,combined,1.8995,4.3000,0.0119,-0.0076,0.0128,1.4387,0.4615,0.0000
0.0294,3.8103,0.0061,stand,0.0000,4.3000,0.0000,nan,nan,0.2786,0.0543,0.0000
0.0151,3.8933,0.0641,straight,1.9148,4.2800,0.0151,-0.0147,0.0033,1.4070,0.4606,0.0000
0.0499,1.7392,0.0079,lateral,0.3273,4.3000,0.0488,-0.0201,0.0457,0.3898,0.1116,0.0000
0.0327,3.5964,0.0375,combined,1.3881,4.3200,0.0290,0.0030,0.0326,1.2736,0.3669,0.0000
0.0315,4.6338,0.0128,lateral,0.2839,4.3400,0.0285,-0.0151,0.0277,0.6117,0.1435,0.0000
0.0221,0.1068,0.0453,turn,0.0000,4.3600,0.0000,nan,nan,0.3419,0.0821,0.0000
0.0403,6.9211,0.0403,straight,0.7491,4.3600,0.0036,0.0402,0.0026,1.1192,0.2443,0.0000
0.0969,1.1587,0.0335,stand,0.0000,4.3800,0.0000,nan,nan,0.4096,0.0998,0.0000
0.0443,2.7333,0.0434,lateral,0.4942,4.4000,0.0361,-0.0432,0.0097,0.6736,0.1521,0.0000
0.0025,4.9072,0.0445,turn,0.0000,4.4200,0.0000,nan,nan,0.2892,0.0487,0.0000
0.0354,0.3143,0.0647,turn,0.0000,4.4200,0.0000,nan,nan,0.2910,0.0611,0.0000
0.0598,4.5479,0.0154,combined,0.6970,4.4200,0.0593,-0.0597,0.0039,0.8251,0.2675,0.0000
0.0203,2.1658,0.0046,combined,0.9888,4.4400,0.0158,-0.0196,0.0052,1.0460,0.2364,0.0000
0.0287,6.3142,0.0527,combined,0.7697,4.4800,0.0131,0.0188,0.0217,1.0314,0.2052,0.0000
0.0516,6.2983,0.0388,lateral,1.4603,4.5000,0.0513,-0.0366,0.0363,0.9956,0.3462,0.0000
0.0036,3.1700,0.0245,combined,1.6713,4.5200,0.0036,-0.0012,0.0034,1.2003,0.3714,0.0000
0.0512,0.3596,0.0393,stand,0.0000,4.5200,0.0000,nan,nan,0.2142,0.0487,0.0000
0.0125,1.1121,0.0455,lateral,0.8950,4.5200,0.0093,0.0093,0.0082,1.0631,0.2183,0.0000
0.0348,5.4873,0.0259,lateral,0.5859,4.5800,0.0288,-0.0333,0.0099,0.8077,0.1422,0.0000
0.0265,0.4148,0.0273,combined,2.1037,4.6000,0.0257,-0.0260,0.0050,1.2358,0.4695,0.0000
0.0056,5.5131,0.0427,turn,0.0000,4.6200,0.0000,nan,nan,0.3933,0.0919,0.0000
0.0399,8.8304,0.0265,combined,1.8291,4.6200,0.0313,-0.0078,0.0392,1.3710,0.4868,0.0000
0.0424,0.9699,0.0149,combined,0.8937,4.6200,0.0420,-0.0423,0.0012,0.9375,0.2064,0.0000
0.0271,8.3417,0.0326,turn,0.0000,4.6200,0.0000,nan,nan,0.3426,0.0638,0.0000
0.0433,0.6087,0.0167,turn,0.0000,4.6200,0.0000,nan,nan,0.4125,0.0878,0.0000
0.0086,0.9978,0.0330,combined,2.0759,4.6600,0.0086,0.0019,0.0084,1.2953,0.4704,0.0000
0.0491,2.6532,0.0562,lateral,0.6512,4.6800,0.0225,0.0465,0.0157,0.8679,0.1851,0.0000
0.0109,5.4118,0.0398,combined,1.4578,4.6800,0.0069,-0.0087,0.0066,1.2713,0.3498,0.0000
0.1363,4.3314,0.0066,stand,0.0000,4.7000,0.0000,nan,nan,0.3776,0.0857,0.0000
0.0359,3.5359,0.0600,straight,1.5269,4.7000,0.0198,-0.0139,0.0331,1.2499,0.3419,0.0000
0.0169,1.3804,0.0542,turn,0.0000,4.7400,0.0000,nan,nan,0.4208,0.0881,0.0000
0.0432,0.0350,0.0221,turn,0.0000,4.7600,0.0000,nan,nan,0.5031,0.0854,0.0000
0.0456,5.6072,0.0312,turn,0.0000,4.7600,0.0000,nan,nan,0.4481,0.1139,0.0000
0.0220,3.6790,0.0362,straight,1.4680,4.7800,0.0054,0.0212,0.0058,1.1808,0.3243,0.0000
0.0233,0.0133,0.0089,straight,1.3440,4.7800,0.0231,-0.0233,0.0019,1.1155,0.2876,0.0000
0.0138,3.1556,0.0068,lateral,0.3421,4.8000,0.0138,-0.0110,0.0085,0.6706,0.1503,0.0000
0.0584,7.0846,0.0657,lateral,0.9494,4.8000,0.0307,0.0431,0.0394,1.0799,0.2215,0.0000
0.0186,3.5133,0.0441,straight,1.2318,4.8200,0.0172,-0.0048,0.0180,1.0481,0.2738,0.0000
0.0110,0.9810,0.0966,straight,0.7338,4.8600,0.0047,-0.0063,0.0090,0.8789,0.1805,0.0000
0.0145,0.4219,0.0301,turn,0.0000,4.8600,0.0000,nan,nan,0.3511,0.0703,0.0000
0.0040,1.0346,0.0449,straight,0.1112,4.8600,0.0021,0.0017,0.0036,0.4192,0.0676,0.0000
0.0154,1.7969,0.0485,lateral,0.8847,4.8800,0.0106,0.0149,0.0035,1.0321,0.2171,0.0000
0.0429,7.3822,0.0287,straight,0.2012,4.8800,0.0180,0.0413,0.0113,0.5567,0.0794,0.0000
0.0559,4.6348,0.0713,turn,0.0000,4.8800,0.0000,nan,nan,0.2772,0.0694,0.0000
0.0443,5.0000,0.0403,turn,0.0000,4.9000,0.0000,nan,nan,0.4626,0.0997,0.0000
0.0133,1.0150,0.0364,lateral,1.3697,4.9200,0.0041,-0.0008,0.0133,1.1664,0.2971,0.0000
0.0161,0.8056,0.0442,combined,0.9057,4.9200,0.0106,-0.0049,0.0153,0.9870,0.2017,0.0000
0.0179,0.9829,0.0620,combined,0.4842,4.9600,0.0158,-0.0125,0.0128,0.7703,0.1366,0.0000
0.0129,2.4073,0.0322,turn,0.0000,4.9600,0.0000,nan,nan,0.3468,0.0600,0.0000
0.0079,1.2007,0.0705,straight,0.6827,4.9800,0.0079,-0.0069,0.0040,0.7630,0.1646,0.0000
0.0094,2.6259,0.0159,lateral,0.4180,4.9800,0.0040,0.0041,0.0084,0.6662,0.1048,0.0000
0.0443,2.4893,0.0609,combined,1.8607,5.0000,0.0443,-0.0159,0.0413,1.2634,0.4728,0.0000
0.0166,1.7805,0.0702,lateral,0.7716,5.0800,0.0004,0.0060,0.0155,1.0131,0.1769,0.0000
0.0119,2.6037,0.0577,lateral,0.6068,5.0800,0.0040,0.0101,0.0062,0.7666,0.1411,0.0000
0.0149,4.3483,0.0272,combined,1.5106,5.1000,0.0045,-0.0104,0.0107,1.2064,0.3136,0.0000
0.0123,2.5580,0.0227,turn,0.0000,5.1200,0.0000,nan,nan,0.3924,0.0697,0.0000
0.0208,0.7462,0.0231,straight,0.3415,5.1200,0.0165,0.0001,0.0208,0.6478,0.1019,0.0000
0.0306,0.4547,0.0358,straight,0.9372,5.1200,0.0140,0.0299,0.0065,0.9301,0.2055,0.0000
0.0662,0.2547,0.0118,stand,0.0000,5.1600,0.0000,nan,nan,0.3588,0.0788,0.0000
0.0080,3.5149,0.0331,straight,1.4140,5.1600,0.0061,-0.0065,0.0046,1.2447,0.3014,0.0000
0.0263,3.4747,0.0607,turn,0.0000,5.1800,0.0000,nan,nan,0.3905,0.0675,0.0000
0.0135,4.5006,0.0173,straight,1.7528,5.1800,0.0046,0.0120,0.0063,1.3564,0.3592,0.0000
0.0268,2.2017,0.0065,straight,1.3221,5.1800,0.0163,0.0245,0.0110,1.2221,0.2899,0.0000
0.0304,0.0253,0.0387,lateral,1.2319,5.2000,0.0292,-0.0239,0.0189,1.1301,0.2951,0.0000
0.0470,4.1970,0.0389,lateral,0.4495,5.2600,0.0208,-0.0332,0.0332,0.7926,0.1453,0.0000
0.0572,0.9995,0.0420,combined,1.2120,5.2600,0.0455,-0.0093,0.0565,1.1293,0.2883,0.0000
0.0564,3.4205,0.0246,stand,0.0000,5.2600,0.0000,nan,nan,0.1828,0.0397,0.0000
