pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
1.1903,8.0180,1.6608,path,3.7280,4.0000,0.8083,-1.1822,0.1387,1.8723,1.1039,0.9717
0.5374,3.5382,0.0495,combined,2.0765,4.0000,0.5374,-0.5302,0.0873,1.1399,0.4177,0.9228
0.5329,4.4864,0.0747,straight,0.2295,4.0200,0.0164,0.5329,0.0003,1.1207,0.3220,0.8058
0.5820,0.6544,0.1477,straight,1.9659,4.0200,0.5755,-0.5806,0.0394,1.1711,0.3787,0.3710
3.3810,3.5810,1.7734,path,4.3431,4.0600,1.1618,-3.1379,1.2589,1.7145,0.7175,0.9287
0.7191,1.5338,1.5502,path,2.4905,4.0800,0.0000,0.6757,0.2460,1.9875,1.2262,0.7111
2.3798,14.8942,1.6709,path,3.8197,4.1400,0.0000,-1.8732,1.4679,1.9454,1.2675,1.4779
0.4701,6.1967,0.0095,combined,0.9494,4.1600,0.4648,-0.1887,0.4306,0.6766,0.2593,1.3445
0.5331,3.1879,0.0393,turn,0.0000,4.1600,0.0000,nan,nan,0.6668,0.2295,1.1303
1.5438,3.7169,1.1886,path,1.6485,4.1800,0.0000,0.0092,1.5438,1.7818,0.9627,0.7890
0.4518,2.5537,0.0350,lateral,0.3221,4.1800,0.2140,-0.0122,0.4516,0.5341,0.2157,0.3983
0.5817,1.1634,0.0888,combined,0.5441,4.2000,0.5171,-0.5112,0.2776,0.4071,0.1143,0.8998
0.5261,3.5376,0.0835,lateral,0.0975,4.2000,0.0909,-0.0360,0.5249,0.8038,0.2743,1.0841
1.4605,10.2283,1.8816,path,5.0252,4.2200,0.0000,-1.2746,0.7131,2.0312,1.4374,0.3524
0.4770,2.3011,0.0980,combined,0.7949,4.2400,0.4642,-0.4124,0.2398,0.3360,0.1317,0.7223
2.0829,12.0568,0.5399,path,3.3518,4.2400,0.7650,-1.7088,1.1911,1.8800,0.8381,1.5415
1.0658,0.9734,0.6474,path,1.2486,4.2800,0.1792,-1.0655,0.0269,1.3278,0.6720,0.3732
1.4578,59.2716,0.0865,path,1.8459,4.3000,0.1023,-1.3103,0.6391,0.7788,0.2904,1.2452
0.6788,9.2091,0.2491,path,2.0223,4.3000,0.5863,-0.5438,0.4062,0.8168,0.4009,0.6141
0.4846,6.7481,0.1039,straight,0.5058,4.3200,0.4720,-0.4728,0.1062,0.3239,0.1105,1.2752
0.5474,2.7787,0.1297,lateral,1.0543,4.3400,0.5467,0.0092,0.5473,0.8039,0.3240,1.0200
1.7539,4.4648,1.0487,path,3.3072,4.3800,1.0456,-0.7181,1.6001,1.7441,1.2306,1.0916
4.0862,130.9999,0.6673,path,3.0639,4.4000,1.3730,-0.4885,4.0569,2.1468,1.4606,0.9543
0.5446,2.6339,0.0667,lateral,1.3709,4.4200,0.5446,-0.1381,0.5268,0.7887,0.3630,0.7888
0.5659,0.1519,0.1205,lateral,0.6393,4.4200,0.5305,-0.0814,0.5600,0.8913,0.2950,0.9135
0.0191,0.0920,0.0254,stand,0.0000,4.4200,0.0000,nan,nan,0.2859,0.0399,0.6156
1.6551,56.5788,1.0943,path,1.9681,4.4400,1.2060,-0.6759,1.5108,1.7472,0.9182,0.3328
0.5541,3.1935,0.0850,combined,2.1839,4.4400,0.5507,-0.5402,0.1231,1.2075,0.4166,0.7414
1.0179,5.9772,1.2097,path,1.1337,4.4400,0.0000,-0.8378,0.5780,1.3807,1.0435,1.5782
0.0266,3.9432,0.0247,stand,0.0000,4.5000,0.0000,nan,nan,0.1922,0.0412,0.6455
0.4934,4.4329,0.0364,turn,0.0000,4.5000,0.0000,nan,nan,0.5407,0.2145,1.2367
0.4970,3.8294,0.1236,straight,1.1651,4.5000,0.4831,-0.4967,0.0189,0.6383,0.2065,1.1495
0.5352,2.4708,0.0228,turn,0.0000,4.5400,0.0000,nan,nan,0.9044,0.2920,1.4073
0.5934,6.8724,0.1551,combined,2.0495,4.5600,0.5934,0.4367,0.4018,1.8811,0.7289,0.7567
1.1200,0.0224,1.1770,path,1.6661,4.5800,0.6855,-0.8266,0.7557,1.5216,1.1431,0.4334
0.5540,3.8386,0.1516,lateral,1.2805,4.6000,0.5505,-0.0746,0.5490,0.7084,0.3041,1.1115
0.5389,5.6936,0.0574,combined,1.2262,4.6200,0.5389,-0.2502,0.4773,0.6385,0.2489,1.5132
0.5237,5.4914,0.0129,combined,0.5765,4.6800,0.5165,-0.3320,0.4050,0.5706,0.1563,0.6742
1.0650,18.7646,0.5505,path,4.1485,4.6800,0.6468,-0.2490,1.0355,1.8341,1.2005,1.0427
1.2926,10.8134,0.5492,path,7.5067,4.7400,0.3705,-1.2911,0.0625,2.2936,1.3309,0.8733
2.1769,14.7428,1.4141,path,7.1442,4.7400,0.0000,-1.6046,1.4710,1.8847,1.4300,1.0280
1.9715,35.4332,0.9316,path,3.8677,4.7600,0.0931,-1.9700,0.0751,1.7934,1.1069,0.4354
0.5114,2.4693,0.0536,combined,1.5693,4.7800,0.0409,0.5096,0.0431,1.4814,0.5177,0.6746
1.1341,7.3095,1.4474,path,2.7496,4.7800,0.4270,-0.9287,0.6509,1.6259,0.9013,0.7508
2.1155,51.2527,1.0178,path,4.4455,4.7800,0.6591,-2.1067,0.1924,1.7602,0.9802,0.3009
2.8464,11.2984,0.6282,path,0.7199,4.8000,0.1533,-1.3761,2.4916,1.5060,0.6662,0.3496
0.5153,4.1206,0.0479,lateral,0.2389,4.8400,0.2389,-0.0011,0.5153,0.7283,0.2335,0.8046
0.9821,5.1897,1.4840,path,4.1481,4.8400,0.0000,0.2850,0.9398,1.8708,1.2950,0.9226
0.5113,6.6442,0.1600,lateral,0.5085,4.8400,0.4621,0.0047,0.5113,0.8008,0.2365,0.8856
0.9458,3.1387,1.4264,path,2.7255,4.8600,0.0000,-0.2153,0.9209,1.7609,1.1254,0.3057
0.5220,3.5958,0.0936,turn,0.0000,4.8600,0.0000,nan,nan,0.8663,0.2433,0.6646
0.5439,5.5457,0.0498,straight,1.0203,4.8600,0.0264,0.5431,0.0303,1.6761,0.4964,1.4945
1.0162,0.2385,1.6968,path,2.7875,4.8800,0.7431,0.9813,0.2639,2.1358,1.3451,1.1203
0.9249,66.6435,0.6947,path,1.5667,4.8800,0.7732,-0.8985,0.2192,1.0343,0.4298,1.4752
0.5643,4.6570,0.0516,turn,0.0000,4.9000,0.0000,nan,nan,0.6584,0.2217,0.4513
0.8339,117.6446,1.1912,path,1.9817,4.9200,0.4747,0.7379,0.3885,1.5506,1.0092,0.6105
0.5247,4.3094,0.1209,turn,0.0000,4.9200,0.0000,nan,nan,0.7377,0.2216,1.1119
0.5427,6.9403,0.0186,combined,0.4701,4.9400,0.4701,-0.5423,0.0225,0.3219,0.0917,0.6564
0.5413,5.9128,0.0369,lateral,0.7703,4.9600,0.5368,-0.0483,0.5392,0.8855,0.2773,1.1950
0.5424,5.8690,0.1488,straight,1.7966,4.9800,0.5389,-0.5358,0.0848,1.0641,0.3041,0.8364
0.5358,9.1803,0.0681,combined,1.3685,4.9800,0.5333,0.0937,0.5276,1.1155,0.3811,0.4468
0.4358,4.7311,0.0678,combined,1.4639,5.0600,0.4333,-0.3412,0.2710,0.8459,0.2581,0.9293
1.2387,4.2009,1.8767,path,7.0229,5.0600,0.8751,-1.1984,0.3136,1.9846,1.4670,1.0862
0.5679,5.1511,0.1659,turn,0.0000,5.0800,0.0000,nan,nan,0.8617,0.2531,0.6655
2.3061,27.1036,1.7771,path,2.8414,5.0800,0.4960,-0.2072,2.2968,2.2674,1.4178,1.4960
0.5405,2.5281,0.2253,lateral,1.3481,5.1000,0.5262,-0.0669,0.5364,0.6872,0.2860,0.9191
0.5190,2.3113,0.0058,turn,0.0000,5.1400,0.0000,nan,nan,0.7917,0.2194,1.0395
0.5538,6.1031,0.0449,straight,1.3852,5.1600,0.5438,-0.5433,0.1072,0.7316,0.2078,1.3248
