pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
2.0125,3.1381,1.0793,path,5.5440,4.0200,1.4728,-1.7285,1.0308,1.8991,1.2431,0.4467
0.5824,3.4944,0.0404,lateral,0.7462,4.0600,0.4994,-0.0357,0.5813,0.8354,0.3308,0.0000
2.2112,7.2757,1.0827,path,2.8371,4.0600,1.4734,-2.1385,0.5627,1.4623,0.9248,0.7727
1.0776,44.1932,0.6954,path,0.8448,4.0800,0.3556,-0.1084,1.0721,1.5657,0.5462,0.7954
1.7123,13.1621,1.2004,path,2.7302,4.0800,1.2051,-1.5987,0.6133,1.3245,0.7540,0.6525
0.6297,0.4357,0.1468,combined,1.5171,4.1600,0.6297,0.1755,0.6047,1.6112,0.5591,0.0000
0.8991,50.2363,0.4854,path,1.0436,4.1600,0.7000,-0.8201,0.3686,1.1233,0.5172,0.5294
0.5722,2.4803,0.1268,straight,1.1866,4.1800,0.5628,-0.5716,0.0257,0.5780,0.2024,0.0000
0.5289,2.2326,0.0129,combined,0.2666,4.2000,0.2666,-0.4080,0.3367,0.7629,0.2440,0.0000
0.5561,1.8363,0.0595,combined,0.7092,4.2000,0.5538,-0.0527,0.5536,0.6323,0.2800,0.0000
0.5859,1.8061,0.1504,combined,1.8995,4.3000,0.2761,0.5661,0.1511,1.7812,0.7522,0.0000
0.0247,0.9670,0.0123,stand,0.0000,4.3000,0.0000,nan,nan,0.3772,0.0331,0.0000
1.2089,111.1481,0.3207,path,1.7504,4.3000,0.5898,0.1486,1.1997,1.3169,0.7610,0.8010
0.5959,6.2085,0.1047,combined,1.3881,4.3200,0.5850,-0.4584,0.3808,0.9903,0.3604,0.0000
1.8438,25.2857,0.8309,path,2.4585,4.3400,1.2784,-1.4818,1.0972,1.2420,0.5770,0.7331
0.6060,0.6175,0.0839,turn,0.0000,4.3600,0.0000,nan,nan,0.6573,0.2970,0.0000
0.5930,2.2794,0.0293,straight,0.7491,4.3600,0.0774,0.5924,0.0274,1.6082,0.5030,0.0000
0.0209,0.0537,0.0173,stand,0.0000,4.3800,0.0000,nan,nan,0.2173,0.0350,0.0000
0.5943,7.8087,0.0798,lateral,0.4942,4.4000,0.4942,-0.1900,0.5631,0.8692,0.3292,0.0000
1.0344,3.3351,0.9674,path,2.1298,4.4200,0.5519,-1.0337,0.0390,1.2656,0.8415,0.6620
0.4575,3.7397,0.0978,combined,0.6970,4.4200,0.3288,0.4194,0.1828,1.3301,0.4474,0.0000
0.5736,4.9619,0.0795,combined,0.9888,4.4400,0.5628,0.2244,0.5278,1.2821,0.4444,0.0000
1.1482,3.0410,1.5374,path,6.4381,4.4800,0.8473,-1.1445,0.0924,1.7863,1.3476,0.4463
0.5127,0.5576,0.2635,lateral,1.4603,4.5000,0.5127,-0.1974,0.4732,0.6994,0.3287,0.0000
1.7459,5.8049,1.0114,path,3.0920,4.5200,1.2878,-0.7864,1.5588,1.7894,1.1909,0.6919
0.0591,1.4081,0.0077,stand,0.0000,4.5200,0.0000,nan,nan,0.2548,0.0480,0.0000
0.5281,0.6155,0.0641,lateral,0.8950,4.5200,0.5133,-0.0179,0.5278,0.5335,0.2434,0.0000
0.5974,3.2067,0.1074,lateral,0.5859,4.5800,0.4536,0.0053,0.5974,0.7277,0.2689,0.0000
2.4015,17.9083,1.5318,path,4.5104,4.6000,1.9386,-0.9877,2.1890,1.9641,1.5103,0.5249
2.8146,4.2987,1.3841,path,7.6432,4.6200,2.4832,-2.2339,1.7123,2.0354,1.5346,0.6150
2.1801,2.7369,1.3240,path,1.9702,4.6200,1.5930,-2.1728,0.1773,1.5197,1.0567,0.7495
0.5231,2.8599,0.1037,turn,0.0000,4.6200,0.0000,nan,nan,0.9888,0.2760,0.0000
0.5603,4.7844,0.0258,turn,0.0000,4.6200,0.0000,nan,nan,0.6070,0.2161,0.0000
0.5756,5.3183,0.0281,combined,2.0759,4.6600,0.5756,0.0863,0.5691,1.3301,0.5973,0.0000
0.5611,3.3777,0.0788,lateral,0.6512,4.6800,0.3509,0.0370,0.5599,1.0020,0.3804,0.0000
1.6721,12.8884,1.7533,path,0.8605,4.6800,0.6901,-1.5313,0.6717,1.7601,0.9297,0.6665
1.3374,57.3997,1.5942,path,7.6736,4.7000,0.5812,-1.3367,0.0415,1.8578,1.4006,0.3747
1.4807,0.6841,1.3716,path,2.8196,4.7000,1.2551,-0.6163,1.3463,1.7612,1.3051,0.7125
0.5082,5.0507,0.1068,turn,0.0000,4.7200,0.0000,nan,nan,0.8267,0.1697,0.0000
0.8820,117.3159,0.1833,path,0.6119,4.7400,0.4287,-0.6225,0.6249,0.9737,0.4839,0.4132
1.7473,8.2820,1.5761,path,6.0845,4.7600,1.3500,-1.4835,0.9232,1.9011,1.3966,0.5481
1.4050,15.3526,1.1587,path,3.4831,4.7600,0.8674,-0.5838,1.2780,1.7641,1.2892,0.7067
2.1661,64.7861,0.9287,path,1.0517,4.7800,1.6366,-1.6003,1.4598,1.3532,0.8513,0.5611
1.2330,4.3220,1.0150,path,7.2307,4.8000,1.2330,-1.2197,0.1812,1.9823,1.3780,0.4429
0.5713,3.1743,0.0596,lateral,0.9494,4.8000,0.5100,0.0195,0.5710,0.9617,0.3465,0.0000
0.8026,6.3287,1.2821,path,2.7258,4.8200,0.5033,-0.2820,0.7514,1.4638,1.0390,0.3135
0.5800,0.3389,0.0569,straight,0.7338,4.8600,0.0333,0.5780,0.0474,1.1162,0.4065,0.0000
0.5744,2.0812,0.0325,turn,0.0000,4.8600,0.0000,nan,nan,0.5911,0.2268,0.0000
1.3620,1.5670,1.2146,path,1.6249,4.8600,0.8562,-1.3504,0.1774,1.5306,1.0684,0.8001
1.1449,10.9485,0.6088,path,4.9432,4.8800,0.1079,-1.1442,0.0389,1.9304,1.0118,0.6184
0.4392,4.8223,0.0574,straight,0.2012,4.8800,0.0685,-0.4389,0.0152,0.5477,0.1781,0.0000
0.5239,5.7077,0.1638,turn,0.0000,4.8800,0.0000,nan,nan,0.8294,0.1899,0.0000
0.8275,10.0258,0.9817,path,4.5053,4.8800,0.6798,-0.6516,0.5100,1.7859,1.0213,0.3739
1.4118,24.7221,0.8467,path,2.4085,4.9000,1.2532,-1.3217,0.4962,1.7748,1.0354,0.5726
0.5218,2.7119,0.1053,lateral,1.3697,4.9200,0.5218,-0.0158,0.5216,0.8634,0.3336,0.0000
0.5315,2.7307,0.0446,combined,0.9057,4.9200,0.5278,0.0743,0.5263,0.9439,0.3014,0.0000
0.5445,5.3896,0.0209,combined,0.4842,4.9600,0.4110,-0.0000,0.5445,1.0149,0.2745,0.0000
1.7213,38.8169,0.8928,path,2.8970,4.9600,0.8071,-1.7201,0.0642,1.1839,0.5942,0.4172
0.5407,5.0699,0.0564,straight,0.6827,4.9800,0.0677,0.5397,0.0343,1.4374,0.3991,0.0000
1.8452,39.4231,0.9349,path,0.7037,4.9800,0.6238,1.8436,0.0745,1.9451,0.8639,0.3212
0.4837,1.5356,0.1599,combined,1.8607,5.0000,0.3564,0.4694,0.1165,1.6136,0.5991,0.0000
0.4979,3.3156,0.1295,combined,0.8683,5.0400,0.4942,0.3710,0.3319,1.1491,0.3540,0.0000
0.5325,5.8559,0.1342,lateral,0.7716,5.0800,0.5290,-0.0475,0.5304,0.8934,0.2681,0.0000
0.5098,3.2917,0.0940,lateral,0.6068,5.0800,0.5098,0.0278,0.5090,0.5990,0.2100,0.0000
0.8619,2.0283,1.3224,path,4.4951,5.1000,0.8619,-0.8376,0.2029,1.9020,1.1857,0.3079
1.7078,11.5103,1.2549,path,3.6607,5.1200,1.3375,-0.5646,1.6118,2.0064,1.3936,0.4855
1.3489,4.4228,1.1097,path,1.2683,5.1200,0.8720,-1.2160,0.5838,1.5152,1.1252,0.7173
0.0318,1.7345,0.0299,stand,0.0000,5.1600,0.0000,nan,nan,0.3856,0.0326,0.0000
0.5173,3.6198,0.0409,straight,1.4140,5.1600,0.0193,0.5172,0.0124,1.9513,0.5445,0.0000
1.1541,3.7434,1.9025,path,6.9763,5.1800,0.8628,-1.1126,0.3065,1.9728,1.3183,0.6847
1.4333,7.2021,0.9073,path,4.5583,5.1800,1.0111,-0.2117,1.4176,2.1849,1.4625,0.4382
0.4557,2.7970,0.1580,straight,1.3221,5.1800,0.4456,-0.4549,0.0281,1.0115,0.2452,0.0000
0.5039,4.8400,0.1288,lateral,1.2319,5.2000,0.5039,-0.0619,0.5001,0.8394,0.2958,0.0000
0.5440,6.5284,0.0204,straight,0.3130,5.2000,0.2872,-0.5440,0.0022,0.4779,0.1460,0.0000
1.8453,28.2961,0.5108,path,2.8745,5.2600,0.8244,1.5874,0.9408,2.2757,1.2444,0.3836
1.6759,13.5404,1.5345,path,7.8031,5.2600,1.6759,-1.5997,0.4996,1.8052,1.3469,0.4093
0.0342,3.4671,0.0112,stand,0.0000,5.2600,0.0000,nan,nan,0.3386,0.0356,0.0000
0.5227,5.0094,0.1445,combined,1.2532,5.2800,0.5172,-0.5063,0.1299,0.6102,0.1919,0.0000
2.0072,22.0424,1.6794,path,6.6558,5.3000,1.9443,-1.2074,1.6035,2.0050,1.5742,0.4899
0.5693,2.4338,0.0373,combined,1.2866,5.3000,0.5523,-0.2557,0.5086,0.7461,0.2397,0.0000
2.0729,131.4550,1.5189,path,3.2547,5.3200,0.2697,1.8775,0.8786,1.8208,1.1542,0.7076
0.7215,2.4044,1.4339,path,1.7031,5.3200,0.3989,0.2541,0.6752,1.6224,0.9713,0.4681
1.2044,0.2159,1.5606,path,8.1761,5.3400,0.5170,-1.1973,0.1311,2.0499,1.4546,0.3468
0.5857,2.5676,0.0406,combined,1.1989,5.3400,0.5823,0.0881,0.5791,0.7212,0.3150,0.0000
0.5330,4.1610,0.0972,turn,0.0000,5.3400,0.0000,nan,nan,0.5274,0.1838,0.0000
2.3534,21.1125,1.4098,path,3.9517,5.3600,1.9160,-0.7813,2.2199,1.9750,1.5360,0.4021
0.5219,3.6098,0.0930,straight,1.4164,5.3400,0.5171,-0.5215,0.0196,0.7168,0.2126,0.0000
2.0453,10.1253,1.1718,path,4.7829,5.4000,1.4017,-1.0119,1.7775,1.8831,1.3399,0.3417
1.5358,23.7972,1.2544,path,3.4599,5.4000,1.3511,-1.5165,0.2430,1.5957,1.1338,0.5410
0.4917,3.9745,0.0793,turn,0.0000,5.4200,0.0000,nan,nan,0.7720,0.2177,0.0000
3.0670,57.2167,0.7843,path,3.3100,5.4200,0.8890,-1.2540,2.7989,1.8793,0.9916,0.7686
0.4356,0.7375,0.1621,turn,0.0000,5.4200,0.0000,nan,nan,0.5828,0.1944,0.0000
0.9520,26.0264,0.5242,path,3.2229,5.4200,0.6722,0.5634,0.7674,1.7752,1.0803,0.5632
2.8647,9.9322,1.2263,path,4.6071,5.4200,1.6366,-2.8646,0.0246,1.5814,1.1580,0.3319
2.3524,6.2813,1.1610,path,3.9195,5.4400,1.8995,-1.1756,2.0375,1.7080,1.1248,0.6429
0.6036,3.0363,0.1258,lateral,0.0967,5.5000,0.0928,-0.0159,0.6033,0.6442,0.1915,0.0000
1.9613,15.8872,1.5389,path,4.3457,5.5200,1.7921,-1.9610,0.0314,1.8756,1.3896,0.6276
