pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.9600,3.6076,0.3364,path,1.7654,4.0200,0.0089,-0.9581,0.0603,0.5816,0.2764,0.4467
0.1626,10.8513,0.0558,lateral,0.7462,4.0600,0.1626,-0.1598,0.0301,0.4584,0.1607,0.0000
1.0383,35.5747,0.6310,path,2.5506,4.0600,0.0155,-0.9115,0.4972,0.8617,0.4310,0.7727
1.3143,5.1833,0.4091,path,2.2357,4.0800,0.0158,-1.2953,0.2222,0.5757,0.3300,0.7954
1.2657,6.5196,0.3709,path,2.2631,4.0800,0.0130,-1.2496,0.2013,0.4330,0.2577,0.6525
0.3814,2.5820,0.1018,combined,1.5171,4.1600,0.3814,-0.3733,0.0781,0.7855,0.2950,0.0000
2.0227,12.5407,0.7006,path,3.2949,4.1600,0.0164,-2.0225,0.0243,0.7086,0.2941,0.8172
0.9948,34.7266,0.2789,path,1.5131,4.1600,0.0106,-0.9458,0.3085,0.4137,0.2214,0.5294
0.4352,1.6358,0.1063,straight,1.1866,4.1800,0.4352,-0.4251,0.0933,0.4553,0.2044,0.0000
0.2013,5.2544,0.0161,combined,0.2666,4.2000,0.1899,-0.2011,0.0073,0.2748,0.0738,0.0000
0.0768,4.6924,0.0637,combined,0.7092,4.2000,0.0767,-0.0053,0.0766,0.8355,0.2122,0.0000
0.3122,5.4486,0.1284,combined,1.8995,4.3000,0.3122,-0.3116,0.0191,0.9054,0.3824,0.0000
0.0180,5.1181,0.0391,stand,0.0000,4.3000,0.0000,nan,nan,0.2544,0.0405,0.0000
1.2394,0.7680,0.2614,path,1.5475,4.3000,0.0160,-1.1459,0.4723,0.4323,0.1997,0.8010
0.3906,9.6199,0.2058,combined,1.3881,4.3200,0.3906,-0.3850,0.0658,0.6662,0.2968,0.0000
0.1823,0.0862,0.1113,lateral,1.3929,4.3000,0.1823,-0.1812,0.0204,0.9090,0.2918,0.0000
1.5476,32.7307,0.3898,path,2.5379,4.3400,0.0147,-1.5161,0.3106,0.5003,0.3023,0.7331
0.1373,8.7054,0.0469,turn,0.0000,4.3600,0.0000,nan,nan,0.2556,0.0614,0.0000
0.0676,3.1192,0.0980,straight,0.7491,4.3600,0.0014,0.0674,0.0053,0.7029,0.2019,0.0000
0.1197,4.4921,0.0407,stand,0.0000,4.3800,0.0000,nan,nan,0.3675,0.0574,0.0000
0.1822,0.3536,0.0655,lateral,0.4942,4.4000,0.1755,-0.1440,0.1116,0.5357,0.1417,0.0000
0.6122,13.2430,0.2701,path,1.2837,4.4200,0.0061,-0.6122,0.0019,0.2827,0.1703,0.3031
0.9880,42.5808,0.3324,path,1.5661,4.4200,0.0132,-0.8484,0.5064,0.3880,0.2675,0.6620
