pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.0856,4.3867,1.0549,path,1.5783,4.0000,0.0168,-0.0852,0.0075,1.3581,0.9104,0.9717
0.7135,4.4107,0.1513,combined,2.0765,4.0000,0.7135,-0.7031,0.1218,0.5809,0.3705,1.0661
0.2027,1.3712,0.2929,path,1.9057,4.0200,0.0037,-0.1959,0.0522,1.0046,0.4464,0.4762
0.4186,4.1480,0.1936,straight,0.2295,4.0200,0.0254,0.4138,0.0634,0.5988,0.2146,0.4258
0.7132,2.7036,0.2089,straight,1.9659,4.0200,0.7132,-0.7087,0.0806,0.6314,0.3421,1.4664
0.1639,3.1175,0.7882,path,2.7008,4.0600,0.0209,-0.0110,0.1635,1.3316,0.8590,0.9287
0.1492,7.1350,0.0875,path,2.8864,4.0800,0.0000,0.0257,0.1469,1.4099,0.7316,0.7111
0.9777,1.1875,1.0842,path,2.2696,4.1400,0.0000,0.4195,0.8832,1.6605,0.8905,1.4779
0.4919,6.9913,0.2504,combined,0.9494,4.1600,0.4919,-0.4290,0.2408,0.5195,0.2303,1.0767
0.4187,0.9968,0.0837,turn,0.0000,4.1600,0.0000,nan,nan,0.3535,0.1313,0.8859
0.2220,22.5978,0.4702,path,3.1998,4.1800,0.0000,-0.2009,0.0945,1.4424,0.7572,0.7890
0.3135,2.9836,0.2620,lateral,0.3221,4.1800,0.2401,-0.0132,0.3132,0.3726,0.1557,1.5861
0.3854,2.4543,0.0357,combined,0.5441,4.2000,0.3854,-0.3850,0.0169,0.3851,0.1061,1.0336
0.5013,3.4398,0.1322,lateral,0.0975,4.2000,0.0975,-0.1092,0.4893,0.3931,0.1695,0.0000
0.0996,12.5825,0.1465,path,1.4759,4.2200,0.0000,0.0453,0.0887,0.8219,0.3782,0.3524
0.3788,12.3252,0.1487,combined,0.7949,4.2400,0.3787,-0.3661,0.0972,0.3388,0.1335,1.2806
1.0910,0.9176,1.1293,path,3.5539,4.2400,0.0277,-0.9810,0.4775,1.4553,0.9032,1.5415
0.3349,22.2648,0.2839,path,1.4116,4.2800,0.0072,0.2057,0.2644,1.2663,0.5346,0.3732
0.7730,4.6543,0.6406,path,0.8945,4.3000,0.0280,0.2665,0.7256,1.5376,0.8645,1.2452
0.1785,4.8461,0.4178,path,2.6394,4.3000,0.0207,-0.1688,0.0581,1.1118,0.6050,0.6141
0.3278,5.8635,0.1050,straight,0.5058,4.3200,0.3108,-0.3105,0.1048,0.3737,0.1165,0.4789
0.4653,7.6251,0.1542,lateral,1.0543,4.3400,0.4653,-0.3477,0.3093,0.4894,0.2217,0.8674
0.6363,7.7639,0.2978,path,4.0338,4.3800,0.0237,-0.6226,0.1315,1.5102,0.8125,1.0916
0.5556,0.3311,0.9627,path,3.8757,4.4000,0.0166,-0.4096,0.3754,1.3664,0.8331,0.9543
0.5125,18.5452,0.1874,lateral,1.3709,4.4200,0.5125,-0.4581,0.2297,0.5368,0.2363,0.7226
0.4826,11.0354,0.1015,lateral,0.6393,4.4200,0.4731,-0.3654,0.3152,0.2962,0.1136,0.6228
0.0419,0.9905,0.0148,stand,0.0000,4.4200,0.0000,nan,nan,0.4057,0.0437,0.6020
0.0838,3.1449,0.2118,path,1.4269,4.4400,0.0132,0.0072,0.0835,1.0258,0.4179,0.3328
0.7954,8.7633,0.2043,combined,2.1839,4.4400,0.7954,-0.7941,0.0447,0.6389,0.3554,0.8535
0.9825,6.6422,0.3847,path,1.9807,4.4400,0.0000,-0.4473,0.8747,1.3313,0.6918,1.5782
0.0469,0.3190,0.0515,stand,0.0000,4.5000,0.0000,nan,nan,0.1866,0.0459,1.3995
0.4296,2.8754,0.0469,turn,0.0000,4.5000,0.0000,nan,nan,0.5555,0.1686,0.6316
0.3683,3.1733,0.1490,straight,1.1651,4.5000,0.3683,-0.3682,0.0076,0.4266,0.2162,0.9853
0.2360,5.0540,0.0562,turn,0.0000,4.5400,0.0000,nan,nan,0.5695,0.1846,0.7705
0.7618,6.4175,1.5731,path,3.7189,4.5400,0.0265,-0.7381,0.1886,1.6395,1.1519,1.2879
0.9524,12.5081,0.2454,combined,2.0495,4.5600,0.7858,0.3313,0.8929,1.6742,0.7399,0.7080
0.1317,0.5026,0.3313,path,1.7982,4.5800,0.0092,-0.1271,0.0343,1.1478,0.4619,0.4334
0.3925,12.5201,0.0833,lateral,1.2805,4.6000,0.3925,-0.2800,0.2751,0.4979,0.2423,0.0000
0.5601,10.6109,0.0195,combined,1.2262,4.6200,0.5601,-0.5549,0.0757,0.4378,0.1751,0.6701
0.2595,2.1295,0.0557,combined,0.5765,4.6800,0.2432,-0.2567,0.0382,0.5986,0.1429,1.0488
0.7462,1.6347,1.0457,path,4.3638,4.6800,0.0155,-0.5947,0.4507,1.2840,0.8763,1.0427
0.3458,7.7972,0.6489,path,3.7624,4.7400,0.0176,-0.3405,0.0602,1.4397,0.8099,0.8733
0.9184,6.5434,0.7982,path,4.4943,4.7400,0.0000,-0.8293,0.3946,1.3789,0.8094,1.0280
0.2721,11.7366,0.1718,path,1.9704,4.7600,0.0114,-0.2322,0.1420,0.9412,0.4163,0.4354
0.6734,4.5452,0.2365,combined,1.5693,4.7800,0.3031,0.6611,0.1282,1.4778,0.5995,0.8345
0.4805,4.1964,0.8196,path,0.9356,4.7800,0.0148,-0.4034,0.2611,0.9298,0.4395,0.7508
0.0963,2.4361,0.2806,path,1.4086,4.7800,0.0078,-0.0041,0.0962,0.6708,0.3116,0.3009
0.2118,4.0730,0.3908,path,1.4608,4.8000,0.0066,0.0490,0.2061,0.9585,0.4117,0.3496
0.3911,3.7234,0.0503,lateral,0.2389,4.8400,0.2389,-0.1365,0.3665,0.3820,0.1426,1.1657
0.3597,0.7533,1.0898,path,3.8352,4.8400,0.0000,-0.3590,0.0221,1.1125,0.8020,0.9226
0.4014,7.6463,0.1345,lateral,0.5085,4.8400,0.3916,-0.1905,0.3533,0.4107,0.1405,1.5115
0.0676,8.7266,0.2850,path,1.3968,4.8600,0.0000,-0.0577,0.0352,0.6242,0.3280,0.3057
0.4738,3.2880,0.0618,turn,0.0000,4.8600,0.0000,nan,nan,0.3118,0.1392,1.5843
0.5934,2.6971,0.1396,straight,1.0203,4.8600,0.0260,0.5924,0.0344,1.5526,0.5230,1.4443
0.3976,4.6763,1.5658,path,5.0845,4.8800,0.0209,-0.3922,0.0649,1.7944,1.0495,1.1203
0.7905,9.8054,0.4805,path,1.1575,4.8800,0.0251,-0.6424,0.4606,1.1154,0.5322,1.4752
0.4394,3.4018,0.0516,turn,0.0000,4.9000,0.0000,nan,nan,0.6233,0.1937,0.7140
