pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.0800,2.5842,0.4225,path,1.7654,4.0200,0.0027,-0.0750,0.0281,1.0230,0.4357,0.4467
0.4142,17.2854,0.1492,lateral,0.7462,4.0600,0.4142,-0.3534,0.2161,0.5034,0.2128,0.0000
0.3489,2.4943,1.0004,path,2.5506,4.0600,0.0155,-0.3489,0.0019,1.2085,0.6011,0.7727
0.5726,2.0633,0.3305,path,2.2357,4.0800,0.0158,-0.5670,0.0794,1.3012,0.6242,0.7954
0.3553,6.6826,0.1026,path,2.2631,4.0800,0.0130,-0.1773,0.3079,1.4563,0.5784,0.6525
0.8488,15.9869,0.1465,combined,1.5171,4.1600,0.8488,-0.4751,0.7034,1.1560,0.4338,0.0000
0.3452,0.7506,0.3035,path,1.5131,4.1600,0.0106,-0.3343,0.0861,0.9546,0.4355,0.5294
0.5484,6.0115,0.1688,straight,1.1866,4.1800,0.5443,-0.5467,0.0437,0.4309,0.2023,0.0000
0.5760,0.9436,0.0986,combined,0.2666,4.2000,0.2514,-0.3119,0.4842,0.9574,0.3298,0.0000
0.4319,3.5034,0.0313,combined,0.7092,4.2000,0.4319,-0.3722,0.2192,0.3658,0.1671,0.0000
0.7880,7.0863,0.3619,combined,1.8995,4.3000,0.3935,0.6004,0.5104,1.6990,0.7992,0.0000
0.5077,4.9578,0.1239,stand,0.0000,4.3000,0.0000,nan,nan,0.4322,0.2033,0.0000
0.6988,0.7497,0.4771,path,1.5475,4.3000,0.0160,-0.6548,0.2441,0.7063,0.2998,0.8010
0.5939,4.3294,0.1923,combined,1.3881,4.3200,0.5939,-0.5696,0.1682,0.6690,0.2651,0.0000
0.2098,2.2379,0.3930,path,2.5379,4.3400,0.0147,-0.1942,0.0795,1.2280,0.7028,0.7331
0.3834,8.4711,0.1050,turn,0.0000,4.3600,0.0000,nan,nan,0.6697,0.2840,0.0000
0.7423,5.6998,0.1155,straight,0.7491,4.3600,0.2211,0.7252,0.1587,1.1925,0.5130,0.0000
0.2494,3.2506,0.0355,stand,0.0000,4.3800,0.0000,nan,nan,0.3373,0.1208,0.0000
0.5519,19.7801,0.0973,lateral,0.4942,4.4000,0.4942,-0.4821,0.2686,0.5601,0.1840,0.0000
0.0426,8.0398,0.2112,path,1.2837,4.4200,0.0061,0.0084,0.0417,0.6143,0.3049,0.3031
0.2637,5.6318,0.7624,path,1.5661,4.4200,0.0132,0.0854,0.2495,1.2722,0.5787,0.6620
0.5364,7.0745,0.0524,combined,0.6970,4.4200,0.1479,0.4488,0.2938,1.1225,0.4359,0.0000
0.6134,15.8349,0.2117,combined,0.9888,4.4400,0.6134,-0.1981,0.5805,0.9733,0.3789,0.0000
0.0682,10.0275,0.3774,path,1.9771,4.4800,0.0064,-0.0631,0.0257,1.0522,0.4501,0.4463
0.5759,19.3252,0.2948,lateral,1.4603,4.5000,0.5759,-0.5650,0.1117,0.5091,0.2589,0.0000
0.4675,3.9129,0.8083,path,2.8971,4.5200,0.0138,-0.4674,0.0068,1.2002,0.5954,0.6919
0.4916,9.2207,0.1033,stand,0.0000,4.5200,0.0000,nan,nan,0.4689,0.1821,0.0000
0.3992,4.7498,0.0704,lateral,0.8950,4.5200,0.3992,-0.2298,0.3265,0.4765,0.1806,0.0000
0.3724,15.2948,0.2258,lateral,0.5859,4.5800,0.3724,-0.3295,0.1735,0.6613,0.1898,0.0000
0.2545,2.0668,0.0816,path,2.3545,4.6000,0.0105,0.1951,0.1634,1.3084,0.6239,0.5249
0.3293,2.9166,0.1323,path,2.7807,4.6200,0.0123,-0.2652,0.1954,1.4186,0.5801,0.6150
0.3118,9.5412,1.1795,path,2.8279,4.6200,0.0150,-0.0340,0.3100,1.3968,0.7903,0.7495
0.2849,1.3055,0.0719,combined,0.8937,4.6200,0.2849,-0.2356,0.1602,0.5648,0.1842,0.0000
0.4426,5.1218,0.0993,turn,0.0000,4.6200,0.0000,nan,nan,0.3732,0.1489,0.0000
0.3484,1.2335,0.0706,turn,0.0000,4.6200,0.0000,nan,nan,0.8010,0.2062,0.0000
1.1917,15.1361,0.3815,combined,2.0759,4.6600,0.8377,-0.3283,1.1456,1.5294,0.6288,0.0000
0.4667,0.9824,0.1165,lateral,0.6512,4.6800,0.4473,-0.1503,0.4418,0.3675,0.1751,0.0000
0.4264,1.1614,1.0428,path,2.5042,4.6800,0.0133,0.0011,0.4264,1.3352,0.6883,0.6665
0.1016,2.3464,0.3397,path,1.7558,4.7000,0.0075,0.0019,0.1016,1.3594,0.4884,0.3747
0.2152,4.1896,0.2334,path,3.0479,4.7000,0.0143,-0.2097,0.0483,1.6374,0.6904,0.7125
0.1719,2.9546,0.3299,path,1.4035,4.7400,0.0083,-0.1593,0.0647,0.8853,0.4306,0.4132
0.1257,5.8390,0.3795,path,2.5304,4.7600,0.0110,-0.1242,0.0193,1.3441,0.6007,0.5481
0.4358,13.2168,0.2600,path,3.0796,4.7600,0.0141,-0.4305,0.0677,1.3976,0.6368,0.7067
0.2583,3.5232,0.3593,path,2.5659,4.7800,0.0112,-0.2390,0.0979,1.0750,0.5538,0.5611
0.5927,0.4459,0.0917,straight,1.3440,4.7800,0.5927,-0.5909,0.0451,0.5330,0.1965,0.0000
0.1462,3.4067,0.5209,path,2.0791,4.8000,0.0089,0.0919,0.1137,0.9165,0.5045,0.4429
0.6253,0.3893,0.0516,lateral,0.9494,4.8000,0.6169,-0.2135,0.5877,0.5794,0.2183,0.0000
0.2819,2.2614,0.3430,path,1.4600,4.8200,0.0063,-0.0779,0.2709,0.8409,0.3248,0.3135
0.4251,14.6706,0.1804,straight,0.7338,4.8600,0.2989,0.4157,0.0889,1.1682,0.4526,0.0000
0.2681,12.3882,0.0554,turn,0.0000,4.8600,0.0000,nan,nan,0.5085,0.1141,0.0000
0.4439,3.1870,0.4626,path,2.7058,4.8600,0.0160,-0.3635,0.2548,1.3640,0.5790,0.8001
0.3028,3.0018,0.1261,straight,0.2012,4.8800,0.0698,-0.2991,0.0476,0.4142,0.1401,0.0000
0.4279,3.7439,0.1800,turn,0.0000,4.8800,0.0000,nan,nan,0.8592,0.1727,0.0000
0.2586,5.6205,1.0308,path,2.4226,4.9000,0.0114,-0.2563,0.0345,1.1300,0.5723,0.5726
0.5403,8.1112,0.0783,lateral,1.3697,4.9200,0.5403,-0.3742,0.3897,0.5927,0.2277,0.0000
0.2814,13.8894,0.0706,combined,0.9057,4.9200,0.2804,-0.2296,0.1627,0.4015,0.1680,0.0000
0.2437,0.6568,0.0444,combined,0.4842,4.9600,0.2437,-0.0906,0.2263,0.4106,0.1430,0.0000
0.5014,4.6835,0.2167,path,1.7641,4.9600,0.0083,-0.4362,0.2472,1.0707,0.2961,0.4172
0.3186,0.1770,0.1281,straight,0.6827,4.9800,0.0975,0.3143,0.0517,1.3387,0.4566,0.0000
