pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.1974,0.3901,0.0483,straight,0.0913,4.0200,0.0913,-0.1837,0.0723
0.1206,0.8100,0.1718,lateral,0.4949,4.0200,0.1206,-0.0558,0.1070
0.1577,0.3909,0.0922,turn,0.0000,4.0400,0.0000,nan,nan
0.0746,4.4524,0.0329,lateral,0.2634,4.0600,0.0746,-0.0275,0.0694
0.2155,15.7152,0.0371,lateral,0.5782,4.1000,0.2146,-0.2137,0.0274
0.3127,2.5503,0.1411,straight,1.0492,4.1000,0.3127,-0.3117,0.0252
0.2177,0.2699,0.0424,lateral,0.5938,4.2000,0.2164,-0.1974,0.0919
0.1671,2.2426,0.1574,combined,0.8456,4.2000,0.1671,-0.0851,0.1439
0.0425,1.4959,0.0008,stand,0.0000,4.2200,0.0000,nan,nan
0.1713,2.3111,0.0592,combined,0.6733,4.2200,0.1713,-0.0421,0.1660
0.1067,1.2190,0.0446,turn,0.0000,4.3000,0.0000,nan,nan
0.1564,8.8795,0.2207,combined,0.6823,4.3400,0.1564,-0.1372,0.0750
0.0937,9.5430,0.1061,combined,0.3463,4.3600,0.0937,-0.0830,0.0435
0.0399,4.8662,0.0190,stand,0.0000,4.3800,0.0000,nan,nan
0.0415,2.2820,0.0862,turn,0.0000,4.4200,0.0000,nan,nan
0.2698,2.7930,0.0177,stand,0.0000,4.4200,0.0000,nan,nan
0.2280,6.4582,0.0500,lateral,0.0100,4.4200,0.0100,0.0041,0.2280
0.3716,5.6508,0.0889,combined,0.5821,4.4600,0.3716,-0.3535,0.1147
0.1697,4.5700,0.0663,combined,0.3244,4.5000,0.1697,-0.1695,0.0099
0.1059,2.9233,0.0476,turn,0.0000,4.5200,0.0000,nan,nan
0.1145,1.2682,0.0262,lateral,0.1388,4.5400,0.0755,-0.0025,0.1145
0.3843,6.6612,0.0544,combined,0.9278,4.5600,0.3843,-0.3781,0.0688
0.3307,1.6752,0.1503,straight,0.9460,4.6000,0.3307,-0.2535,0.2124
0.2279,6.8443,0.0034,combined,0.5747,4.6000,0.2279,-0.2131,0.0807
0.1299,1.2850,0.0296,straight,0.3460,4.6200,0.1299,-0.1287,0.0178
0.0457,1.4019,0.0165,stand,0.0000,4.6400,0.0000,nan,nan
0.1719,1.4585,0.1322,combined,0.7641,4.6400,0.1719,-0.1238,0.1193
0.0273,2.4523,0.0072,lateral,0.0074,4.6600,0.0071,0.0190,0.0195
0.2059,5.8378,0.0601,straight,0.6705,4.6600,0.2059,-0.1976,0.0577
0.3012,5.5291,0.0567,straight,0.5975,4.7400,0.3012,-0.2765,0.1195
0.0412,3.2586,0.0681,stand,0.0000,4.8000,0.0000,nan,nan
0.0725,5.2513,0.1567,lateral,0.5259,4.8000,0.0725,-0.0693,0.0215
0.1310,3.7600,0.0589,straight,0.2018,4.8600,0.1287,-0.1255,0.0377
0.0380,5.2925,0.0245,stand,0.0000,4.8600,0.0000,nan,nan
0.3785,2.5081,0.0769,straight,0.9295,4.8600,0.3785,-0.3784,0.0061
0.1860,6.4467,0.0056,combined,0.2299,4.9000,0.1858,-0.1854,0.0157
0.1528,10.1631,0.0235,turn,0.0000,4.9000,0.0000,nan,nan
0.0722,4.8363,0.0287,stand,0.0000,4.9400,0.0000,nan,nan
0.0831,3.1198,0.0681,combined,0.2702,4.9600,0.0365,-0.0370,0.0744
0.2184,0.9429,0.0424,straight,0.2046,4.9800,0.1641,-0.1957,0.0971
0.2186,0.0271,0.0365,combined,0.5574,5.0000,0.2186,-0.2185,0.0058
0.0525,3.2636,0.0281,stand,0.0000,5.0200,0.0000,nan,nan
0.0716,10.4107,0.0515,turn,0.0000,5.0200,0.0000,nan,nan
0.1512,3.2659,0.0074,straight,0.2359,5.0600,0.1484,-0.1507,0.0121
0.0643,7.6385,0.0653,turn,0.0000,5.0600,0.0000,nan,nan
0.0860,5.1113,0.0485,lateral,0.5153,5.0800,0.0860,-0.0859,0.0035
0.2503,1.9276,0.1385,straight,0.7590,5.1000,0.2503,-0.2406,0.0690
0.2919,7.0447,0.0527,combined,0.5290,5.1000,0.2851,-0.2697,0.1116
0.1516,5.9385,0.0561,lateral,0.6538,5.1600,0.1493,-0.1502,0.0208
0.1533,3.3074,0.1142,combined,0.8037,5.2000,0.1533,-0.1445,0.0513
0.0383,0.8912,0.0603,lateral,0.6710,5.2000,0.0364,-0.0334,0.0189
0.3407,3.8894,0.0051,combined,0.2992,5.2200,0.2992,-0.3363,0.0545
0.0443,6.2303,0.0173,stand,0.0000,5.2400,0.0000,nan,nan
0.3105,3.9877,0.0618,combined,0.7495,5.2600,0.3105,-0.3096,0.0225
0.1411,0.4274,0.0545,straight,0.6999,5.3400,0.1411,-0.1057,0.0935
0.0968,1.7764,0.0667,turn,0.0000,5.3600,0.0000,nan,nan
0.2934,2.1479,0.0499,combined,1.1536,5.3800,0.2934,-0.2482,0.1564
0.2530,2.6930,0.0873,combined,0.9992,5.4200,0.2530,-0.2490,0.0445
0.0541,1.9244,0.0747,straight,0.9280,5.4200,0.0541,-0.0500,0.0207
0.2954,2.7374,0.0597,combined,0.8571,5.4400,0.2954,-0.2739,0.1106
0.1069,1.2871,0.1208,lateral,0.3944,5.4400,0.0624,0.0851,0.0646
0.1034,3.3376,0.0570,turn,0.0000,5.4400,0.0000,nan,nan
0.1149,6.1247,0.0515,lateral,0.0091,5.4400,0.0091,-0.0329,0.1101
0.2540,1.7486,0.1891,combined,0.8685,5.4600,0.2540,-0.2452,0.0660
0.0300,4.8740,0.0270,straight,0.3324,5.5400,0.0300,-0.0289,0.0082
0.3091,9.7718,0.0315,combined,0.7899,5.5600,0.3091,-0.2537,0.1766
0.1488,1.9790,0.1185,straight,0.1819,5.5600,0.1458,-0.1349,0.0628
