t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
11.923,0.00099613,0,1.118,-0.014159,0.013428,-0.0034982,0.15085,-0.014485,0,0,0,186.27,0,0,0,-0.19245,-0.031853,0.010491,0.39578,-0.25056,0.0045608,-0.19703,0.034524,-0.019646,0.40379,-0.22094,0.0016319,-0.021605,-0.0017905,0.0028072,0.055166,-0.11,-0.027557,-0.048676,-0.0083826,0.0069165,0.080395,-0.18191,0.068578,-2.1643,10.659,-1.5297,-0.95978,2.4045,-1.0069,-0.069817,-11.556,3.871,-3.622,-4.8529,-0.2402,-0.0026422,0.027342,-0.013423,-0.0023124,0.18326,0.023042,0.019589,0.048508,-0.012569,0.0090812,0.087287,0.0022126
11.952,0.00096586,0.029191,1.2803,-0.014099,0.017336,0.00030146,0.14339,0.0016483,0,0,0,186.16,0,0,0,-0.19322,-0.031853,0.010491,0.39845,-0.25526,0.0038771,-0.1978,0.034524,-0.019646,0.4057,-0.22692,-5.3092e-05,-0.04938,-0.0012653,-0.0010792,0.10898,-0.18321,-0.030674,-0.038739,-0.0020208,0.00091727,0.088083,-0.16696,-0.061716,-2.7229,10.069,-1.4377,-0.95978,3.5656,-0.95237,0.069817,-11.517,3.4701,-2.8793,-4.5041,0.00093214,0.0025917,0.021006,-0.0058617,0.005365,0.1755,0.037119,0.029776,0.038492,-0.0028813,-0.0092376,0.079737,0.0076193
11.968,0.0011334,0.015492,1.3218,-0.014106,0.018255,-0.0009645,0.14933,0.0021724,0,0,0,186.16,0,0,0,-0.1936,-0.031853,0.010491,0.39883,-0.25647,0.0044105,-0.19818,0.034524,-0.019646,0.40608,-0.22718,-0.00052493,-0.048499,-0.0043789,-0.0016107,0.1069,-0.18713,0.025534,-0.045829,-0.0019747,4.5295e-05,0.089968,-0.11078,-0.029019,-2.0247,10.815,-1.656,-1.2506,3.5327,-1.1676,0.90762,-11.517,3.7207,-3.6923,-4.4045,-0.035769,0.004019,0.020942,-0.0057129,0.0078255,0.17841,0.038792,0.030083,0.040569,-0.0056652,-0.0028539,0.083348,0.0056675
11.989,0.0051545,0.021478,1.6997,-0.014099,0.026103,0.0017623,0.16336,0.0080591,0,0,0,186.17,0,0,0,-0.19398,-0.031853,0.010491,0.40074,-0.25981,0.0045872,-0.19856,0.034524,-0.019646,0.40837,-0.22908,-0.00062641,-0.012238,-0.0092305,0.003701,0.0075557,-0.027911,0.016024,0.00031245,-0.0021304,0.00028121,0.0098606,-0.054258,-0.0024835,-2.304,10.144,-1.5527,-0.78527,2.8183,-1.2135,0.069817,-11.439,3.871,-2.5885,-4.1421,0.19065,0.0084988,0.021154,-0.0031394,0.015576,0.1822,0.038707,0.029236,0.041491,-0.0045395,0.002603,0.086021,0.0051852
12.014,0.0043378,0.025066,2.1113,-0.013348,0.034347,0.026747,0.20311,-0.037567,0,0,0,186.24,0,0,0,-0.19284,-0.037194,0.0097276,0.4015,-0.2676,0.013999,-0.19856,0.039483,-0.018883,0.4099,-0.22444,-0.0022025,0.032675,-0.20317,-0.051134,0.019589,-0.413,0.57584,0.0023043,0.18158,0.10454,0.11121,0.3353,-0.16409,-0.76799,3.6081,-0.47158,-0.3781,1.6191,-0.75683,0.34908,-3.3883,1.7527,-1.3088,-0.93156,0.39439,0.008233,0.02072,-0.0021685,0.017874,0.18308,0.039719,0.027605,0.041339,-0.004677,0.0038303,0.087481,0.0048753
12.04,0.0041461,0.025615,2.3192,-0.013194,0.038269,-0.022349,0.13227,0.025663,0,0,0,186.25,0,0,0,-0.19169,-0.036049,0.010491,0.40303,-0.28698,0.022847,-0.20161,0.042535,-0.017739,0.41943,-0.21456,-0.011589,0.099987,0.077481,0.0072417,0.085987,-0.85563,-0.0027682,-0.17373,0.12838,-0.0061597,0.46872,0.37416,-0.23343,-0.90762,3.6081,-0.79363,-0.84344,2.1757,-0.83519,0.76799,-4.5971,1.4607,-2.3558,-0.95454,0.36588,0.014126,0.018756,0.0016941,0.035177,0.18986,0.044743,0.025378,0.040472,-0.0013729,0.015938,0.11054,0.0036555
12.063,0.001188,0.02332,2.3883,-0.013866,0.039312,-0.059518,0.10875,0.061191,0,0,0,185.97,0,0,0,-0.19093,-0.034905,0.010109,0.40455,-0.29316,0.015983,-0.20237,0.043297,-0.017357,0.42363,-0.21417,-0.0084048,0.060904,0.089101,-0.0071763,0.13618,-0.6437,-0.55993,-0.072929,0.10125,0.032961,0.44249,0.069288,0.2511,-1.1869,4.6337,-1.0007,-0.95978,4.4676,-0.53107,0.48872,-3.1319,1.8253,-1.8323,-0.27528,0.23662,0.015904,0.020664,0.0060932,0.041598,0.18457,0.046495,0.014542,0.041942,0.00010208,0.021847,0.10785,-6.1519e-05
12.083,0.0054572,0.019448,2.6259,-0.018004,0.042148,-0.1221,0.067165,0.095757,0,0,0,185.97,0,0,0,-0.19284,-0.031853,0.0089647,0.41676,-0.2791,0.029018,-0.19512,0.046731,-0.017739,0.42515,-0.20825,0.0014021,-0.081973,0.014809,-0.00075621,0.33481,0.59284,0.37978,0.25135,-0.0068456,0.0042807,-0.17014,0.29428,-0.13948,-0.90762,5.4678,-1.1387,-1.4251,8.6711,-0.21438,2.7229,-1.1388,1.5527,-1.5415,0.57801,-0.012866,0.018238,0.021837,0.00016833,0.04789,0.19374,0.043587,0.017778,0.050769,-0.0053284,0.025131,0.11064,0.00039757
12.106,0.0009824,0.023518,2.6893,-0.015802,0.044199,0.12229,0.085623,0.10949,0,0,0,185.7,0,0,0,-0.19207,-0.032235,0.0089647,0.41981,-0.26694,0.027666,-0.18177,0.046731,-0.017357,0.41409,-0.19679,0.00068797,0.063412,-0.0026446,0.0044262,0.0045538,0.44654,-0.082928,0.54393,-0.00092472,0.0087396,-0.36337,0.45982,0.12658,-0.90762,5.0971,-1.2307,-1.0179,8.8953,0.18597,0.20945,-0.66286,1.656,-0.72711,1.3506,0.21873,0.017521,0.026603,-0.0034875,0.039563,0.19434,0.030603,0.017014,0.059082,-0.0051003,0.01412,0.082361,0.00055232
12.133,0.00095843,0.026854,2.8892,-0.011323,0.049139,0.11759,0.15572,0.079027,0,0,0,185.69,0,0,0,-0.19169,-0.031853,0.0089647,0.41981,-0.25709,0.030688,-0.17796,0.047112,-0.016976,0.4057,-0.19267,-0.009716,-0.064514,0.0015519,0.0072618,-0.016252,0.21619,0.10307,-0.019584,0.013209,0.0017389,-0.17504,-0.055832,-0.34363,0.62835,5.1712,-0.95465,-0.66894,9.6508,0.25597,1.1869,-0.62886,1.4147,-0.43626,0.68117,0.4493,0.019122,0.011796,0.0064694,0.054389,0.18074,0.051131,0.035125,0.040998,0.0008223,0.014462,0.14254,0.0078581
