t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
17.038,0.0011663,0.017821,6704,0,2.6458,-0.0057545,0.045817,0.018035,0.26011,-0.036606,0,0,0,99.243,0,0,0,-0.19741,-0.012779,0.00057221,0.39616,-0.26009,0.0008327,-0.19551,0.018883,-0.0074388,0.40723,-0.23314,0.0028375,-0.061305,-0.0065609,0.0041239,-0.0020075,-0.05653,0.018922,-0.072597,-0.013244,0.0091651,0.060415,-0.12261,0.093868,-1.6058,4.3773,0.56359,0.3781,3.5457,0.023904,-1.0473,-6.3204,1.5527,-2.5303,-2.2832,-0.77139,0.0088837,0.034384,-0.0023409,0.022463,0.19369,0.026651,0.024956,0.037075,-0.0079252,0.035347,0.11185,0.005399
17.05,0.0010552,0.0050576,6715,0.012017,2.8252,-0.0054719,0.049005,0.019172,0.23053,-0.019751,0,0,0,99.262,0,0,0,-0.19818,-0.012779,0.00057221,0.39616,-0.26126,0.0004184,-0.19703,0.018883,-0.0074388,0.40799,-0.23688,0.0035747,-0.039364,-0.0047334,0.0037158,0.0052311,-0.065429,-0.031161,-0.042713,-0.0088073,0.00097117,0.019759,-0.12411,-0.019317,-0.34908,4.2308,-0.6096,0.90161,3.4614,-0.096678,-1.4662,-5.7273,1.7286,-2.7048,-2.6629,-0.46043,0.012609,0.029905,0.0042443,0.03815,0.19519,0.041565,0.026041,0.031921,0.00072542,0.024166,0.10421,0.010577
17.07,0.0051579,0.0095443,6724,0.020111,3.0661,-0.0050888,0.053271,0.018345,0.21482,0.0091706,0,0,0,99.256,0,0,0,-0.19856,-0.012779,0.00057221,0.39693,-0.26195,-2.011e-05,-0.19703,0.018883,-0.0074388,0.40799,-0.2383,0.0035062,-0.024923,-0.0085797,0.0025819,0.040314,-0.031281,0.010725,-0.0047326,-0.0018129,0.0063605,-0.0023289,-0.088699,0.0077665,0.90762,4.2308,0.47158,0.31993,3.7393,0.054728,-1.8851,-6.3574,1.7286,-2.414,-1.9966,-0.69195,0.012091,0.030182,0.0050376,0.040648,0.19984,0.043546,0.026399,0.033306,-0.0014647,0.028453,0.10814,0.0092877
17.095,0.0044615,0.014551,6733,0.024871,3.3047,-0.0045503,0.057498,0.025274,0.20094,-0.0016369,0,0,0,99.28,0,0,0,-0.19856,-0.016213,-0.00057221,0.39769,-0.27001,-0.00058556,-0.19703,0.022698,-0.0070573,0.4099,-0.23646,0.0068284,0.0055027,-0.16228,-0.067873,0.014429,-0.52084,-0.13597,-0.021239,0.1833,0.037472,0.12936,0.14923,0.23282,-0.76799,2.0566,0.10352,0.3781,2.4169,0.30339,0.90762,-1.7846,0.81663,-1.2506,-0.30501,-0.20999,0.013304,0.034547,0.0052186,0.051161,0.19994,0.042996,0.023602,0.03048,0.0020165,0.03279,0.11691,0.01119
17.109,0.0051134,0.0086408,6743,0.014342,3.4466,-0.0047295,0.059969,0.012631,0.13187,-0.0079548,0,0,0,99.268,0,0,0,-0.19741,-0.013161,-0.0013352,0.39807,-0.28051,-0.00010385,-0.1978,0.025368,-0.0082017,0.41714,-0.23398,0.0087868,0.084618,0.22117,-0.014741,0.027647,-0.37313,0.15043,0.0066577,0.1919,-0.086483,0.47476,0.17593,0.074593,-1.1869,2.2605,-0.19553,0.84344,7.0839,0.58961,0.76799,-0.9348,0.49458,-1.1343,1.5163,-0.37288,0.0139,0.018689,0.010314,0.062547,0.17788,0.05653,0.020069,0.019572,0.0042797,0.044445,0.15753,0.015543
17.139,0.00094964,0.012301,6755,0.029008,3.4532,-0.0082101,0.059708,-0.16559,0.028818,0.04629,0,0,0,99.27,0,0,0,-0.19474,-0.010872,0.0024796,0.40799,-0.26885,0.015496,-0.19207,0.026131,-0.0055314,0.43431,-0.21291,0.010193,0.035818,-0.079513,0.16092,0.48521,0.48794,0.59355,0.22887,-0.054687,0.10425,0.59052,1.0684,0.058906,1.3265,4.5604,0.14952,1.1925,10.45,1.5149,1.1869,0.42491,0.49458,-1.2506,1.3444,0.28628,0.030737,0.043321,0.0036556,0.065322,0.24524,0.024255,-0.0019101,0.060553,-0.0070307,0.069072,0.12309,0.00087187
17.151,0.0012795,0.0046508,6765,0.012404,3.2369,-0.0066104,0.056106,0.047765,-0.20727,0.18942,0,0,0,99.271,0,0,0,-0.19589,-0.011635,0.0055314,0.42401,-0.26137,0.012681,-0.18521,0.024605,-0.0062943,0.43927,-0.19648,0.0020422,-0.025561,0.031737,0.12233,0.71211,0.3349,-0.16387,0.33929,-0.051588,-0.024664,0.14107,0.45105,-0.40932,-0.20945,4.304,-0.10352,0.31993,10.804,1.8255,-0.34908,1.0368,0.26454,-0.49443,2.2801,0.38338,0.0053582,0.037217,0.0058203,0.057222,0.19501,0.043747,0.014332,0.036511,0.0027754,0.022584,0.093345,0.015114
17.177,0.00099169,0.010131,6776,0.025854,2.7534,-0.0032483,0.047946,0.1328,-0.34503,0.056375,0,0,0,99.295,0,0,0,-0.19398,-0.011254,0.0085832,0.44003,-0.24987,0.015248,-0.17758,0.024224,-0.0055314,0.43812,-0.19486,0.0016854,0.08963,-0.037326,0.18431,0.68016,0.51741,0.21275,0.24565,-0.052606,0.044851,-0.0063455,0.083567,0.25995,0.34908,3.8278,-0.12652,0.31993,9.2513,2.0389,0.069817,-0.18696,0.70161,0.029084,4.011,0.7759,-0.0042305,0.031924,0.0017512,0.032845,0.16789,0.049772,0.034688,0.027011,0.0017958,0.00080284,0.080095,0.019094
17.19,0.0011254,0.0045034,6786,0.013647,2.4693,-0.00061648,0.043093,0.14364,-0.2963,-0.0739,0,0,0,99.273,0,0,0,-0.19398,-0.012779,0.012398,0.45453,-0.2458,0.019624,-0.17681,0.023079,-0.004387,0.4408,-0.19419,0.0052766,-0.042242,-0.06267,0.13587,0.72398,0.15912,0.12702,0.076822,0.0054546,0.054113,0.17768,0.03977,0.064727,1.0473,3.0952,0.14952,-0.029084,8.6481,1.6561,-1.4662,-0.050989,0.90864,-0.087253,4.9351,0.49264,-0.0016196,0.028932,0.0010757,0.029593,0.16133,0.050544,0.038657,0.024219,0.0029235,0.0070137,0.088061,0.019713
17.209,0.0011254,0.0035137,6797,0.01876,2.3182,0.002077,0.040406,0.15027,-0.14728,-0.23599,0,0,0,99.279,0,0,0,-0.19398,-0.010109,0.011635,0.46559,-0.23789,0.011709,-0.1772,0.027657,-0.0055314,0.44919,-0.19663,-0.00063829,-0.029132,0.10584,-0.041616,0.45735,0.34605,-0.31969,-0.066031,0.20213,-0.035229,0.34897,-0.19159,-0.23693,0.34908,4.5971,-0.12652,-0.61077,9.4085,1.678,-2.1643,0.52689,0.6096,-1.8905,2.1633,0.47248,0.00017214,0.020069,0.0046461,0.048892,0.15248,0.058521,0.041508,0.012889,0.0056885,0.02859,0.13971,0.026771
