t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
15.235,0.0011334,0,2.8401,-0.0081574,0.048894,0.0053945,0.17991,0.016887,0,0,0,99.967,0,0,0,-0.1997,-0.0093462,0.0017166,0.39845,-0.26221,0.00046494,-0.19703,0.011254,-0.0070573,0.40837,-0.23614,0.0040726,-0.053932,-0.0050855,0.0028934,0.066898,-0.030743,-0.00079596,0.0082876,0.00016456,0.0031608,0.0058421,-0.090261,-0.031856,-0.90762,2.6923,-0.37956,0.087253,3.5271,0.072084,-1.3265,-3.7546,1.4147,-2.8212,-2.8156,-0.90055,0.0077156,0.037778,-0.0027235,0.019968,0.19142,0.025122,0.024142,0.03566,-0.0075017,0.032359,0.099238,0.010619
15.238,0.0015426,0.0031545,2.8986,-0.0080984,0.049939,0.0059671,0.17819,0.016349,0,0,0,99.967,0,0,0,-0.1997,-0.0093462,0.0017166,0.39883,-0.26221,0.00046494,-0.19665,0.011254,-0.0070573,0.40837,-0.23635,0.0045245,-0.045256,-0.0060916,0.0044947,0.07141,-0.030367,-0.0046241,0.0072309,-0.0010736,0.0023026,0.0030624,-0.079934,-0.025309,-0.76799,3.7179,-0.24154,0.31993,3.4371,-0.18568,-2.304,-3.8278,1.4607,-2.414,-2.6827,-0.97334,0.011371,0.03296,0.0035363,0.037269,0.19732,0.039524,0.025665,0.031421,4.9178e-05,0.02205,0.09376,0.016612
15.255,0.0042934,0.017438,3.1673,-0.0074671,0.054774,0.029185,0.13921,-0.045342,0,0,0,99.938,0,0,0,-0.19894,-0.011254,0.00019074,0.39883,-0.27925,-0.0016005,-0.19818,0.013161,-0.0070573,0.41447,-0.2316,0.013035,0.043711,0.023466,-0.079034,-0.0040048,-0.74232,0.025414,-0.095154,0.064526,-0.012393,0.31367,0.056014,0.1441,0.48872,1.2747,0.21853,0.43626,2.8269,0.22921,0.069817,-1.2747,0.95465,-2.1813,0.0097386,-0.2382,0.013664,0.028031,0.0063325,0.045882,0.18533,0.04825,0.022966,0.026461,0.0020868,0.030289,0.10901,0.019892
15.275,0.0047446,0.019927,3.3329,-0.010571,0.057203,-0.12305,0.083486,0.009415,0,0,0,99.955,0,0,0,-0.19512,-0.0074388,0.0013352,0.40379,-0.28288,0.0096225,-0.19589,0.018883,-0.0062943,0.42897,-0.2324,0.0074755,0.14655,0.079544,0.13241,0.30266,0.46349,0.69084,0.25266,0.23508,0.064224,0.46847,0.23005,0.098343,0.62835,3.7179,-0.21853,1.1343,8.7073,1.0716,0.62835,-0.56088,0.77062,-1.5415,1.9806,0.31093,0.027821,0.036223,0.0075295,0.072992,0.22891,0.044224,0.0081015,0.035989,-0.0030429,0.067824,0.14826,0.0093416
15.295,0.0011171,0.019432,3.1417,-0.011502,0.053615,-0.067015,-0.15743,0.1224,0,0,0,99.965,0,0,0,-0.19551,-0.0097276,0.0059129,0.4202,-0.26629,0.016759,-0.18788,0.024987,-0.0051499,0.43622,-0.21002,0.025691,-0.015234,-0.12361,0.2311,0.83617,0.65834,0.076879,0.38574,0.119,0.040414,0.2741,1.1917,0.83362,1.0473,4.1941,-0.47158,0.5526,10.899,1.5236,0.069817,1.3087,0.95465,0.029084,2.6224,-0.25447,0.012009,0.048498,0.0036403,0.067177,0.22684,0.032562,0.0036132,0.045055,-0.00037438,0.037451,0.10394,0.019193
15.314,0.0041035,0.018848,2.7973,-0.0077627,0.048202,-0.067015,-0.15743,0.1224,0,0,0,99.966,0,0,0,-0.19551,-0.0097276,0.0059129,0.4202,-0.26629,0.016759,-0.18788,0.024987,-0.0051499,0.43622,-0.21002,0.025691,-0.015234,-0.12361,0.2311,0.83617,0.65834,0.076879,0.38574,0.119,0.040414,0.2741,1.1917,0.83362,1.0473,4.1941,-0.47158,0.5526,10.899,1.5236,0.069817,1.3087,0.95465,0.029084,2.6224,-0.25447,0.012982,0.046847,0.0020794,0.064272,0.2289,0.028997,0.010101,0.042645,-0.00041334,0.036343,0.10152,0.021089
15.335,0.0047488,0.021461,2.2719,-0.0041945,0.03943,-0.067015,-0.15743,0.1224,0,0,0,99.965,0,0,0,-0.19551,-0.0097276,0.0059129,0.4202,-0.26629,0.016759,-0.18788,0.024987,-0.0051499,0.43622,-0.21002,0.025691,-0.015234,-0.12361,0.2311,0.83617,0.65834,0.076879,0.38574,0.119,0.040414,0.2741,1.1917,0.83362,1.0473,4.1941,-0.47158,0.5526,10.899,1.5236,0.069817,1.3087,0.95465,0.029084,2.6224,-0.25447,0.013261,0.046958,0.002106,0.06432,0.22962,0.028047,0.010417,0.043052,-0.00021997,0.03643,0.10228,0.021597
15.355,0.0010676,0.020027,1.9477,-0.0034309,0.03382,0.05343,-0.30726,-0.22486,0,0,0,99.955,0,0,0,-0.19589,-0.0085832,0.010872,0.4736,-0.23432,0.011026,-0.17681,0.024987,-0.0051499,0.45453,-0.18374,0.011547,-0.05945,0.0011383,-0.017108,0.61179,0.45327,-0.093548,0.30046,0.0020542,0.010894,0.26513,-0.016655,0.42429,1.0473,5.2453,-0.70161,-1.4251,9.9088,0.35963,-1.8851,0.9348,0.74762,-1.716,1.9231,0.38245,0.00041016,0.030888,-0.0015824,0.044706,0.17152,0.045105,0.028074,0.031284,0.0033245,0.021213,0.097178,0.018509
15.375,0.0050881,0.020193,1.6893,-0.0017776,0.02943,0.080322,-0.20945,-0.28263,0,0,0,99.955,0,0,0,-0.19322,-0.0082017,0.010872,0.48009,-0.23096,0.0099003,-0.173,0.025368,-0.004387,0.45605,-0.18962,0.014816,0.15281,0.0025962,-0.00034186,0.33978,0.18647,-0.088178,0.18818,0.0061869,0.036303,0.054666,-0.32449,0.21483,0.62835,5.0971,-0.83963,-1.4833,10.633,0.82261,-2.1643,1.6826,0.88564,-0.95978,1.3296,0.35841,0.0061478,0.031916,-0.0014438,0.043636,0.17872,0.046302,0.038868,0.028845,0.0012426,0.029281,0.1103,0.014622
15.394,0.0043609,0.01873,1.6688,0.0010707,0.029106,0.15499,-0.036816,-0.19635,0,0,0,99.956,0,0,0,-0.19398,-0.0085832,0.010872,0.47971,-0.23148,0.010849,-0.16842,0.024605,-0.004387,0.45338,-0.19476,0.0074704,-0.041073,-0.0047785,0.0049031,-0.064418,-0.056057,0.093327,0.25114,-0.053275,0.015887,-0.15242,-0.26792,-0.40561,-0.48872,3.6813,-1.0467,-2.065,8.4337,1.4997,0.34908,0.76484,1.0237,-1.716,2.1287,0.44437,0.012157,0.020845,0.0035721,0.041333,0.14856,0.052657,0.046583,0.027422,0.00701,0.03092,0.12173,0.013115
