t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
11.283,0.0011312,0,3.7607,-0.0085786,0.065075,0.0027621,0.14454,0.01975,1,2,0.04,99.739,0.2,0,0,-0.20314,-0.0074388,-0.00057221,0.39731,-0.26428,-0.00085411,-0.19741,0.0089647,-0.0055314,0.40532,-0.23998,0.0029607,-0.10405,2.7553e-05,0.0038945,0.026696,-0.043659,-0.010627,-0.020635,-0.0010733,0.010433,0.012941,-0.044203,-0.03846,0.90762,2.5092,0.17253,0.43626,4.1507,0.20355,0.20945,-3.2784,1.4147,-1.3088,-1.7297,-0.56718,-0.040127,-0.0061306,0.04703,0.12392,0.16958,-0.12369,0.074159,-0.043451,0.089114,-0.060568,-0.024405,-0.16521
11.291,0.00095934,0.0072464,3.8127,-0.0085542,0.065992,0.0030753,0.13914,0.022803,1,2,0.078826,99.739,0.2,0,0,-0.20314,-0.0074388,-0.00057221,0.39731,-0.2645,-0.001318,-0.19741,0.0089647,-0.0055314,0.40532,-0.23998,0.0029607,-0.098477,-0.0011734,0.005224,0.021834,-0.04641,-0.013001,-0.013839,-0.0019754,0.011181,0.010621,-0.04158,-0.03717,1.3265,2.0226,0.14952,0.31993,3.8238,0.2557,-0.90762,-2.8388,1.1617,-1.8323,-1.6917,-0.47188,-0.11169,0.0077281,0.02275,0.28476,-0.12986,-0.033931,0.095283,-0.17311,0.10702,-0.094806,-0.001619,-0.2174
11.302,0.004389,0.011548,3.9519,-0.0084532,0.068454,0.0030753,0.13914,0.022803,1,2,0.10988,99.741,0.2,0,0,-0.20314,-0.0074388,-0.00057221,0.39731,-0.2645,-0.001318,-0.19741,0.0089647,-0.0055314,0.40532,-0.23998,0.0029607,-0.098477,-0.0011734,0.005224,0.021834,-0.04641,-0.013001,-0.013839,-0.0019754,0.011181,0.010621,-0.04158,-0.03717,1.3265,2.0226,0.14952,0.31993,3.8238,0.2557,-0.90762,-2.8388,1.1617,-1.8323,-1.6917,-0.47188,-0.16737,0.022162,0.036448,0.38373,-0.22245,0.0063195,0.093842,-0.19299,0.079241,-0.054077,0.041489,-0.23963
11.323,0.001015,0.020743,4.0697,-0.012142,0.069986,-0.14887,0.013014,0.074014,1,2,0.15177,99.745,0.2,0,0,-0.21687,-0.0074388,0.0051499,0.41676,-0.29023,-0.037633,-0.1894,0.0070573,0.0097276,0.41752,-0.23924,-0.06007,-0.59318,-0.011535,0.36762,1.2954,-0.014313,-2.0213,0.65746,-0.46664,1.0167,0.050424,-0.019291,-4.7784,-4.6777,0.4589,0.90864,10.383,1.739,-1.1038,5.0966,-12.764,6.3927,-8.1611,-1.9728,-4.8481,-0.21297,0.051741,0.036515,0.41193,-0.21716,0.025849,0.10961,-0.16619,0.049029,0.035894,0.1643,-0.26148
11.341,0.0037838,0.017945,3.9199,-0.011864,0.06738,-0.14887,0.013014,0.074014,1,2,0.18836,99.746,0.2,0,0,-0.21687,-0.0074388,0.0051499,0.41676,-0.29023,-0.037633,-0.1894,0.0070573,0.0097276,0.41752,-0.23924,-0.06007,-0.59318,-0.011535,0.36762,1.2954,-0.014313,-2.0213,0.65746,-0.46664,1.0167,0.050424,-0.019291,-4.7784,-4.6777,0.4589,0.90864,10.383,1.739,-1.1038,5.0966,-12.764,6.3927,-8.1611,-1.9728,-4.8481,-0.22589,0.043956,0.038915,0.39188,-0.20831,0.029204,0.10883,-0.14333,0.044538,0.059383,0.15724,-0.26245
11.363,0.0052913,0.022269,3.4587,-0.011445,0.059272,0.0093564,-0.35383,0.3943,1,2,0.23186,99.73,0.2,0,0,-0.32101,0.0059129,0.036431,0.63535,-0.38848,0.052638,-0.15698,0.010491,0.013161,0.40455,-0.21705,-0.15702,-3.3105,0.2486,0.96122,7.1658,-3.2749,4.705,0.91501,-0.21358,-0.042597,-0.20317,0.4455,-0.64496,-2.5832,4.011,-1.1617,1.8323,-0.67829,-0.67444,5.2363,-16.416,4.1215,1.2506,6.0363,-4.8425,-0.22281,0.033758,0.034392,0.33761,-0.16746,0.051191,0.062554,-0.047552,-0.0011346,0.0085454,0.10402,-0.23346
11.382,0.0044504,0.018402,2.9814,-0.013148,0.050349,0.0093564,-0.35383,0.3943,1,2,0.26991,99.745,0.2,0,0,-0.32101,0.0059129,0.036431,0.63535,-0.38848,0.052638,-0.15698,0.010491,0.013161,0.40455,-0.21705,-0.15702,-3.3105,0.2486,0.96122,7.1658,-3.2749,4.705,0.91501,-0.21358,-0.042597,-0.20317,0.4455,-0.64496,-2.5832,4.011,-1.1617,1.8323,-0.67829,-0.67444,5.2363,-16.416,4.1215,1.2506,6.0363,-4.8425,-0.18422,0.012114,0.044043,0.26127,-0.14237,0.043463,0.047825,-0.033468,-0.012579,0.029787,0.077092,-0.20688
11.402,0.0049784,0.020728,2.0329,-0.014428,0.032417,0.0093564,-0.35383,0.3943,1,2,0.31099,99.746,0.2,0,0,-0.32101,0.0059129,0.036431,0.63535,-0.38848,0.052638,-0.15698,0.010491,0.013161,0.40455,-0.21705,-0.15702,-3.3105,0.2486,0.96122,7.1658,-3.2749,4.705,0.91501,-0.21358,-0.042597,-0.20317,0.4455,-0.64496,-2.5832,4.011,-1.1617,1.8323,-0.67829,-0.67444,5.2363,-16.416,4.1215,1.2506,6.0363,-4.8425,-0.15613,-0.0020162,0.049824,0.18031,-0.10461,0.033775,0.031734,-0.027806,-0.016739,0.061592,0.066305,-0.19374
11.424,0.0011573,0.021423,1.0942,-0.015922,0.010546,-0.056852,-0.98341,-0.34066,1,2,0.35371,99.734,0.2,0,0,-0.42172,0.024224,0.044442,0.88064,-0.47322,-0.013477,-0.13638,0.0051499,-0.003624,0.43812,-0.22598,-0.16006,0.44074,0.033485,-0.073619,-0.39665,0.94164,0.21979,0.20573,0.028688,-0.49579,0.70972,-0.45464,-0.16079,2.304,-1.6826,-0.31055,-15.403,2.8201,1.8144,-3.421,-3.7546,0.19553,-1.3088,3.4373,-2.4433,-0.10024,0.011527,0.010255,0.11012,-0.21119,-0.03935,-0.040437,-0.022293,0.0068984,0.009805,-0.12823,-0.16285
11.443,0.001036,0.019574,1.1068,-0.01912,-0.0027539,-0.15619,-0.67677,-0.61761,1,2,0.39203,99.735,0.2,0,0,-0.39311,0.024605,0.042916,0.80472,-0.43249,0.073591,-0.13066,0.004387,-0.010109,0.46101,-0.24113,-0.14521,1.5449,-0.0062275,-0.10257,-4.0045,2.2427,4.1453,0.23872,-0.10015,-0.20961,1.208,-0.8079,0.9627,1.7454,-2.0226,-0.24154,-10.996,-0.62559,-2.4766,-6.6326,-1.5467,0.12652,-3.6923,0.71788,-1.3757,-0.10609,0.0069732,-0.00010844,0.091566,-0.1604,-0.025274,0.0024068,0.019138,-0.012834,0.074632,-0.01689,-0.14086
11.464,0.00092289,0.021197,1.5352,-0.024703,-0.01038,-0.25838,-0.35114,-0.69604,1,2,0.43535,99.736,0.2,0,0,-0.34314,0.023842,0.031472,0.6632,-0.39138,0.03334,-0.14363,0.00095369,-0.0028611,0.48199,-0.28166,-0.11657,2.337,-0.062127,-0.69009,-6.7151,1.6594,-4.1563,-0.67651,-0.10426,0.42396,0.91592,-2.1704,1.3269,-1.6058,-1.2407,-0.95465,-2.5303,-1.2599,-2.5469,-6.493,-0.28894,-1.3227,-5.4506,1.3025,-1.4612,-0.085224,0.057132,-0.040245,-0.020306,-0.21581,-0.0089992,-0.0016589,0.045392,0.0038637,0.05408,-0.061351,-0.068675
11.484,0.001097,0.019164,2.024,-0.034014,-0.0095378,-0.50044,0.16102,-0.47596,1,2,0.47371,99.736,0.2,0,0,-0.313,0.01545,0.012398,0.5621,-0.34999,-0.084893,-0.15087,0.004387,0.0024796,0.50603,-0.30557,-0.06593,1.4279,-0.76783,-0.92564,-4.4386,2.9991,-4.9127,-0.32207,0.15864,0.2805,1.4194,-1.0101,3.0677,-3.9796,6.3945,-2.9615,-16.459,-7.7468,0.09174,-6.3533,2.8388,-1.7286,-5.2396,0.34279,-2.0912,-0.027426,0.091577,-0.093319,0.010968,-0.061404,-0.027222,0.0084598,0.043946,0.0010474,0.20954,0.014695,-0.014042
