t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
13.363,0.00099981,0,0.89322,-0.015393,-0.0024705,-0.0070284,0.1621,0.022021,0,0,0,196.83,0,0,0,-0.19131,-0.032235,0.010491,0.39845,-0.24787,0.0030168,-0.1978,0.038338,-0.021172,0.40494,-0.21926,0.0021744,-0.044845,-0.0025239,-0.0027681,0.05964,-0.07065,-0.004062,-0.028008,-0.0051934,0.010923,0.030682,-0.10181,0.055776,-2.7229,10.776,-1.6802,-1.2506,0.45813,-0.7657,-0.069817,-12.452,4.0464,-2.9375,-5.0253,-0.71517,0.044149,0.010539,0.014061,-0.086787,0.12059,-0.0093003,0.060217,0.033349,-0.017789,-0.080969,0.068096,-0.031127
13.379,0.0013606,0.016428,0.89145,-0.01549,-0.0014583,-0.0098032,0.11448,-0.0076736,0,0,0,196.73,0,0,0,-0.19245,-0.032235,0.010491,0.39921,-0.24977,0.0031179,-0.19856,0.038338,-0.021172,0.4057,-0.22257,0.0020024,-0.0059683,0.00081177,0.0014367,0.011715,-0.074071,-0.029334,-0.015049,0.0019205,0.0038214,0.036537,-0.14357,-0.027198,-3.0021,10.181,-1.7527,-0.95978,1.0592,-0.83495,0.069817,-13.803,3.9211,-2.5885,-5.1287,-0.30852,0.06189,0.0080995,0.0074443,-0.10089,0.13519,-0.0057071,0.079398,0.04413,-0.016775,-0.079919,0.091026,-0.045682
13.39,0.0046113,0.010409,0.8939,-0.015587,0.0006811,-0.0098032,0.11448,-0.0076736,0,0,0,196.71,0,0,0,-0.19245,-0.032235,0.010491,0.39921,-0.24977,0.0031179,-0.19856,0.038338,-0.021172,0.4057,-0.22257,0.0020024,-0.0059683,0.00081177,0.0014367,0.011715,-0.074071,-0.029334,-0.015049,0.0019205,0.0038214,0.036537,-0.14357,-0.027198,-3.0021,10.181,-1.7527,-0.95978,1.0592,-0.83495,0.069817,-13.803,3.9211,-2.5885,-5.1287,-0.30852,0.063061,0.00644,0.0058542,-0.10315,0.13351,-0.0035421,0.080373,0.046166,-0.016193,-0.078028,0.094613,-0.049327
13.413,0.0011573,0.023096,0.95192,-0.016089,0.0041453,-0.014769,0.074761,-0.0020137,0,0,0,196.58,0,0,0,-0.19322,-0.032235,0.010491,0.40341,-0.25695,0.0044358,-0.20008,0.038338,-0.021172,0.41028,-0.22713,0.0003927,0.00091576,-0.0066011,0.0019873,0.066534,-0.13952,0.066615,-0.00060692,-0.0061678,0.0048014,0.051292,-0.018391,-0.0062876,-2.8625,10.659,-1.3687,-1.7741,2.2509,-1.0453,0.62835,-12.998,4.0965,-3.833,-5.231,0.11164,0.065761,0.0073339,0.0059771,-0.09908,0.1362,-0.0047762,0.078556,0.047562,-0.017084,-0.072358,0.095701,-0.051525
13.432,0.0037571,0.019081,1.0667,-0.017835,0.0053429,-0.014769,0.074761,-0.0020137,0,0,0,196.64,0,0,0,-0.19322,-0.032235,0.010491,0.40341,-0.25695,0.0044358,-0.20008,0.038338,-0.021172,0.41028,-0.22713,0.0003927,0.00091576,-0.0066011,0.0019873,0.066534,-0.13952,0.066615,-0.00060692,-0.0061678,0.0048014,0.051292,-0.018391,-0.0062876,-2.8625,10.659,-1.3687,-1.7741,2.2509,-1.0453,0.62835,-12.998,4.0965,-3.833,-5.231,0.11164,0.0653,0.0071242,0.0061165,-0.098926,0.13554,-0.0043908,0.077588,0.047507,-0.016973,-0.072646,0.093796,-0.051325
13.458,0.0011406,0.025824,0.98065,-0.017046,0.0015374,-0.0037863,-0.1396,0.050193,0,0,0,196.64,0,0,0,-0.18559,-0.041009,0.012016,0.4118,-0.26743,0.021559,-0.19398,0.046349,-0.018502,0.41829,-0.19391,-0.016,0.34163,-0.1217,0.056433,0.039747,0.27706,-0.17379,0.46013,-0.015709,-0.18898,-0.12418,0.9452,-0.86501,0.62835,4.011,-0.58659,-5.6615,5.0872,-1.5501,2.7229,-1.7846,1.3457,-5.1692,-1.0652,-0.27539,0.070617,0.010411,0.0036495,-0.078546,0.16299,-0.015379,0.075975,0.054475,-0.015416,-0.053827,0.12337,-0.054546
13.473,0.0045807,0.015303,0.83714,-0.014061,-0.003971,-0.0037863,-0.1396,0.050193,0,0,0,196.63,0,0,0,-0.18559,-0.041009,0.012016,0.4118,-0.26743,0.021559,-0.19398,0.046349,-0.018502,0.41829,-0.19391,-0.016,0.34163,-0.1217,0.056433,0.039747,0.27706,-0.17379,0.46013,-0.015709,-0.18898,-0.12418,0.9452,-0.86501,0.62835,4.011,-0.58659,-5.6615,5.0872,-1.5501,2.7229,-1.7846,1.3457,-5.1692,-1.0652,-0.27539,0.069735,0.0089826,0.00313,-0.075863,0.16487,-0.014666,0.073137,0.053023,-0.014757,-0.055234,0.12164,-0.053039
13.488,0.00069923,0.015106,0.92331,-0.011932,-0.010831,-0.0037863,-0.1396,0.050193,0,0,0,196.61,0,0,0,-0.18559,-0.041009,0.012016,0.4118,-0.26743,0.021559,-0.19398,0.046349,-0.018502,0.41829,-0.19391,-0.016,0.34163,-0.1217,0.056433,0.039747,0.27706,-0.17379,0.46013,-0.015709,-0.18898,-0.12418,0.9452,-0.86501,0.62835,4.011,-0.58659,-5.6615,5.0872,-1.5501,2.7229,-1.7846,1.3457,-5.1692,-1.0652,-0.27539,0.070058,0.0094957,0.0032346,-0.075232,0.1659,-0.01463,0.072937,0.052758,-0.014727,-0.055635,0.12139,-0.052568
13.512,0.00074893,0.023563,1.2223,-0.012235,-0.017477,-0.0037863,-0.1396,0.050193,0,0,0,196.67,0,0,0,-0.18559,-0.041009,0.012016,0.4118,-0.26743,0.021559,-0.19398,0.046349,-0.018502,0.41829,-0.19391,-0.016,0.34163,-0.1217,0.056433,0.039747,0.27706,-0.17379,0.46013,-0.015709,-0.18898,-0.12418,0.9452,-0.86501,0.62835,4.011,-0.58659,-5.6615,5.0872,-1.5501,2.7229,-1.7846,1.3457,-5.1692,-1.0652,-0.27539,0.070125,0.0095411,0.0032143,-0.075118,0.16613,-0.014581,0.072891,0.052729,-0.014697,-0.05575,0.1212,-0.052488
13.537,0.0053403,0.025164,1.1037,-0.012055,-0.015026,0.0038231,0.096881,0.17011,0,0,0,196.72,0,0,0,-0.10891,-0.04139,0.010491,0.32139,-0.22854,0.018891,-0.11807,0.049783,-0.020409,0.33474,-0.14973,-0.050258,0.42415,0.0028358,-0.011781,-0.99615,0.42481,0.074835,0.15422,0.048967,-0.014001,-0.74382,0.27238,0.025664,-3.2814,4.8168,-0.51758,-0.5526,5.9758,-1.1646,-0.34908,-0.016996,0.42557,0.84344,-0.24268,-0.033462,0.11848,0.011675,0.0066342,-0.16206,0.11179,0.0031794,0.14252,0.031638,-0.0060857,-0.1536,0.084709,-0.039448
