t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
12.39,0.0010694,0,1.2552,-0.011451,0.018676,0.02539,0.061149,0.0090514,0,0,0,190.21,0,0,0,-0.1936,-0.010872,0.00095369,0.39349,-0.2492,0.0012212,-0.18978,0.011635,-0.0074388,0.40303,-0.22194,0.0047679,-0.060174,-0.014422,0.0032401,0.17059,-0.13716,0.015611,-0.046505,-0.022177,0.0062428,0.17592,-0.15564,0.0029174,-0.76799,4.4139,-0.40256,-1.3088,2.0557,0.10571,-1.8851,-4.4505,1.4837,-4.4659,-4.0877,-1.2709,0.042759,0.019041,-0.0026221,-0.066733,0.17066,0.0058456,0.0064399,-0.0020399,-0.013544,-0.085076,0.21493,-0.029413
12.402,0.0010623,0.011801,1.4902,-0.01167,0.023244,-0.0027372,0.11821,-0.023021,0,0,0,190.18,0,0,0,-0.19474,-0.010491,0.00095369,0.39654,-0.2546,9.0064e-05,-0.19169,0.011635,-0.0074388,0.40723,-0.2263,0.0027233,-0.042026,-0.0010851,0.0032109,0.047274,-0.12245,0.039788,-0.049013,0.00054838,0.0031366,0.084804,-0.083099,-0.0045966,-2.304,4.1209,-0.011502,-0.5526,2.7817,0.18284,-0.48872,-3.8645,1.5527,-4.1143,-4.8608,-0.65607,0.079124,0.027312,-0.0094291,-0.05226,0.21053,0.01484,0.020643,0.0047572,-0.022751,-0.057706,0.27407,-0.042593
12.422,0.0045613,0.020134,1.8228,-0.011371,0.029714,-0.0036498,0.16304,-0.047688,0,0,0,190.19,0,0,0,-0.19589,-0.010491,0.00095369,0.39883,-0.25798,0.0011981,-0.19512,0.011635,-0.0074388,0.40875,-0.22772,0.0026512,-0.042337,-0.0014626,0.0047261,0.057814,-0.10088,0.09364,-0.079265,-0.0057093,0.0049857,0.042376,-0.029827,0.0090391,-1.6058,3.2784,-0.21853,-0.20359,2.8603,-0.19594,-1.0473,-3.7546,1.7769,-3.6923,-4.7444,-0.39511,0.085433,0.029526,-0.011062,-0.040044,0.22982,0.017737,0.014431,0.0066313,-0.02238,-0.043204,0.28407,-0.041463
12.458,0.0060363,0.036301,2.0797,-0.010924,0.034615,0.01266,0.14168,-0.024068,0,0,0,190.2,0,0,0,-0.19436,-0.013924,0.00019074,0.39883,-0.27048,-0.00056333,-0.1978,0.012779,-0.0070573,0.41562,-0.22005,0.0089582,0.098727,-0.10672,-0.046526,-0.001936,-0.52782,-0.17595,-0.10501,-0.039038,0.035062,0.29842,0.47416,0.19818,-1.0473,1.7506,-0.56359,0.087253,1.9424,-0.14977,-0.76799,-1.3427,0.81663,-2.065,-1.0192,-0.44899,0.093701,0.030192,-0.012533,-0.023019,0.26035,0.015985,0.012361,0.0072114,-0.019914,-0.025863,0.30032,-0.041064
12.47,0.0010581,0.011218,2.1332,-0.010622,0.035684,0.013391,0.1365,-0.02346,0,0,0,190.19,0,0,0,-0.19398,-0.014305,0.00019074,0.39883,-0.27165,-0.00098564,-0.19818,0.012398,-0.0070573,0.41638,-0.2191,0.0090004,0.10176,-0.11594,-0.044635,-0.0014104,-0.55199,-0.19095,-0.11588,-0.047534,0.025542,0.32361,0.47994,0.1889,-0.76799,1.8526,0.26454,0.72711,2.0183,-0.09025,0.069817,-1.1388,0.77062,-2.065,-1.2092,-0.36111,0.099304,0.033767,-0.018032,-0.017675,0.27784,0.012981,0.0016979,0.014681,-0.021328,-0.015556,0.29369,-0.040266
12.485,0.0040035,0.015616,2.1258,-0.010287,0.035648,0.013391,0.1365,-0.02346,0,0,0,190.25,0,0,0,-0.19398,-0.014305,0.00019074,0.39883,-0.27165,-0.00098564,-0.19818,0.012398,-0.0070573,0.41638,-0.2191,0.0090004,0.10176,-0.11594,-0.044635,-0.0014104,-0.55199,-0.19095,-0.11588,-0.047534,0.025542,0.32361,0.47994,0.1889,-0.76799,1.8526,0.26454,0.72711,2.0183,-0.09025,0.069817,-1.1388,0.77062,-2.065,-1.2092,-0.36111,0.10293,0.036497,-0.019846,-0.017202,0.28493,0.013123,-0.0042219,0.015774,-0.020467,-0.014833,0.28553,-0.036427
12.51,0.0013207,0.024434,2.0295,-0.0098835,0.034015,0.012308,-0.063289,0.019014,0,0,0,190.28,0,0,0,-0.18597,-0.015831,-0.00057221,0.39616,-0.27101,0.00041352,-0.19703,0.012398,-0.0089647,0.42058,-0.20642,-0.0083711,0.45236,-0.0025956,0.0044897,-0.19517,0.67798,0.099426,0.23847,-0.031936,-0.14227,-0.17852,0.79856,-1.3261,2.304,3.6447,-0.37956,-2.414,7.8383,0.56301,0.34908,-0.42491,-0.67861,-5.3802,3.7609,-0.61098,0.10428,0.030937,-0.020113,-0.031915,0.25179,0.015958,0.00067633,0.0070896,-0.016584,-0.041623,0.27103,-0.022189
12.52,0.0039803,0.010162,1.8831,-0.0088806,0.031645,0.012308,-0.063289,0.019014,0,0,0,190.32,0,0,0,-0.18597,-0.015831,-0.00057221,0.39616,-0.27101,0.00041352,-0.19703,0.012398,-0.0089647,0.42058,-0.20642,-0.0083711,0.45236,-0.0025956,0.0044897,-0.19517,0.67798,0.099426,0.23847,-0.031936,-0.14227,-0.17852,0.79856,-1.3261,2.304,3.6447,-0.37956,-2.414,7.8383,0.56301,0.34908,-0.42491,-0.67861,-5.3802,3.7609,-0.61098,0.10322,0.028673,-0.018188,-0.036453,0.24065,0.015516,0.0083225,0.0064834,-0.018612,-0.045374,0.27749,-0.026772
12.54,0.0011117,0.020114,1.8069,-0.0088343,0.030275,0.0051493,-0.056182,-0.22302,0,0,0,190.09,0,0,0,-0.14515,-0.011635,-0.0017166,0.35801,-0.20991,0.0031908,-0.1669,0.01545,-0.017739,0.37976,-0.10621,0.0061955,0.55811,0.20955,-0.005554,-0.92061,1.4542,0.0484,0.45148,0.13315,-0.24857,-0.83838,1.3242,0.49276,2.304,3.8645,-0.79363,1.4833,10.166,0.81551,-4.3985,-1.0368,0.26454,-1.1343,4.7934,-1.3916,0.10638,0.0019102,0.0013271,-0.095457,0.15881,0.029893,0.067498,-0.018938,-0.020427,-0.11467,0.30057,-0.015727
12.566,0.0011315,0.025883,1.9694,-0.011376,0.032436,-0.1086,0.084568,-0.23053,0,0,0,190.07,0,0,0,-0.13676,-0.0089647,-0.0020981,0.3439,-0.18036,0.0023393,-0.16232,0.018502,-0.019646,0.36793,-0.082121,-0.025018,0.2976,0.097495,-0.05089,-0.59255,1.2187,-0.10184,0.067785,0.14939,-0.05313,-0.47407,1.1167,-1.4571,4.5381,3.2418,-1.0927,3.622,9.4698,0.46051,-3.0021,-0.79883,0.011502,0.66894,4.0545,-0.83174,0.12168,0.019231,-0.014705,-0.11067,0.20925,0.0092299,0.074318,0.01007,-0.036251,-0.098643,0.32413,-0.049688
12.585,0.00095959,0.019474,2.0752,-0.011856,0.034224,-0.024451,0.09735,-0.28654,0,0,0,190.18,0,0,0,-0.13714,-0.0066758,-0.0024796,0.34009,-0.16591,0.0023408,-0.1669,0.024224,-0.019646,0.36717,-0.063913,-0.03458,0.0070667,0.10962,0.0066955,-0.16779,0.83524,0.088549,-0.24175,0.27946,-0.0032541,0.016455,0.97093,-0.24454,4.1192,4.5604,-1.2537,2.5303,10.065,0.70715,-2.1643,-0.90081,-0.080513,0.66894,3.9458,-0.4839,0.11391,0.0096052,-0.0042023,-0.11017,0.19418,0.027225,0.073403,-0.0082719,-0.02734,-0.1051,0.3418,-0.044436
12.612,0.0009417,0.026584,2.162,-0.011652,0.035891,-0.00471,0.11405,-0.33039,0,0,0,190.15,0,0,0,-0.13752,-0.0059129,-0.0028611,0.34085,-0.15647,0.0039138,-0.17071,0.023461,-0.019646,0.3706,-0.0528,-0.025376,-0.028842,0.04442,-0.020702,0.034731,0.54742,0.15355,-0.23949,-0.03212,0.012782,0.22199,0.70366,0.60013,4.2588,3.8278,-1.3917,2.7048,7.4288,0.37477,-1.7454,-0.9348,0.057509,-0.43626,3.3627,-0.73492,0.11566,0.015858,-0.0098649,-0.097637,0.22779,0.018381,0.072966,0.0061214,-0.034369,-0.079354,0.37802,-0.067921
12.623,0.0010298,0.011391,2.1382,-0.01057,0.035791,0.06483,0.057936,-0.35902,0,0,0,190.16,0,0,0,-0.13752,-0.0055314,-0.0028611,0.34123,-0.15135,0.0035944,-0.17376,0.023461,-0.019265,0.37289,-0.047624,-0.017552,-0.0082411,0.025066,0.0045588,0.022332,0.44812,-0.052657,-0.2421,0.0078924,0.0058624,0.18123,0.43435,0.6022,4.2588,3.6081,-1.1157,2.2977,8.6313,1.093,-0.90762,-1.4107,0.17253,-0.84344,3.1434,-0.30356,0.10901,0.0079508,-0.0033125,-0.097246,0.20947,0.029225,0.070398,-0.0059504,-0.029322,-0.090745,0.37666,-0.053711
12.642,0.0010661,0.018701,1.8998,-0.0059189,0.032626,0.14489,-0.028773,-0.36411,0,0,0,190.24,0,0,0,-0.13714,-0.0062943,-0.0024796,0.34085,-0.15089,-0.00027915,-0.17529,0.023079,-0.018883,0.37289,-0.047374,-0.017144,0.011411,-0.056238,0.027733,-0.043172,0.073448,-0.22541,-0.10279,-0.030872,0.041837,0.024929,0.06289,0.094995,4.6777,2.7289,-0.97766,0.95978,6.0865,0.49278,-0.34908,-1.8866,-0.080513,-2.2395,3.8248,-0.47177,0.1027,0.0034773,0.000484,-0.10295,0.1861,0.034687,0.070358,-0.011323,-0.032007,-0.10939,0.37075,-0.046742
12.667,0.0049161,0.025312,1.6304,-0.00095133,0.02844,0.2253,-0.16215,-0.28677,0,0,0,190.3,0,0,0,-0.12989,-0.0070573,-0.00019074,0.33131,-0.15337,0.0024357,-0.16041,0.022698,-0.019646,0.35458,-0.051892,-0.021003,0.36967,-0.0017102,0.064489,-0.4213,-0.070008,0.035517,0.80306,0.067246,-0.053588,-0.91238,-0.19908,-0.15166,3.2814,2.0566,-0.6556,-0.20359,4.9887,1.0553,0.62835,-2.1925,-0.6096,-1.367,5.1549,-0.66289,0.1006,-0.017404,0.013139,-0.10122,0.15093,0.049443,0.097455,-0.040574,-0.028459,-0.14044,0.40038,-0.016145
12.683,0.0042312,0.015282,1.4721,0.00056237,0.025687,0.2253,-0.16215,-0.28677,0,0,0,190.33,0,0,0,-0.12989,-0.0070573,-0.00019074,0.33131,-0.15337,0.0024357,-0.16041,0.022698,-0.019646,0.35458,-0.051892,-0.021003,0.36967,-0.0017102,0.064489,-0.4213,-0.070008,0.035517,0.80306,0.067246,-0.053588,-0.91238,-0.19908,-0.15166,3.2814,2.0566,-0.6556,-0.20359,4.9887,1.0553,0.62835,-2.1925,-0.6096,-1.367,5.1549,-0.66289,0.097981,-0.017786,0.011247,-0.099137,0.14296,0.047011,0.10066,-0.040527,-0.033544,-0.13622,0.40795,-0.014943
