t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
15.832,0.0009864,0,0.82294,-0.013056,0.0059863,0.00013879,0.15835,0.040603,0,0,0,185.52,0,0,0,-0.19589,-0.0066758,-0.00019074,0.39921,-0.25148,-0.0005333,-0.19017,0.0070573,-0.0047684,0.40684,-0.22719,0.0035933,-0.042187,-0.0011651,-0.0034099,0.055348,-0.11661,-0.019786,-0.10034,-0.0075194,0.0011248,0.085485,-0.031102,0.028487,-1.6058,1.9546,-0.057509,-0.78527,0.9476,0.12433,-2.7229,-1.9886,0.93165,-4.044,-4.6827,-0.56942,0.035955,0.023713,-0.0079714,-0.085028,0.15472,0.0009662,-0.0019874,0.0033427,-0.012983,-0.091488,0.18753,-0.028712
15.861,0.0044756,0.028823,1.0814,-0.013364,0.013328,-0.0047937,0.18019,0.026389,0,0,0,185.61,0,0,0,-0.19589,-0.0066758,-0.00019074,0.39921,-0.25196,-0.00050926,-0.19131,0.0070573,-0.0047684,0.40723,-0.22746,0.0031223,-0.029304,-0.0096446,0.0060638,0.025052,-0.10707,-0.025196,-0.11516,-0.010362,0.00099494,0.080225,-0.037608,-0.014189,-2.1643,1.9206,-0.40256,-0.31993,0.76894,0.24584,-2.4436,-2.2605,0.67861,-2.8212,-4.499,-0.93635,0.079448,0.031823,-0.012401,-0.059512,0.21076,0.01455,0.0159,0.0090549,-0.021001,-0.059178,0.25816,-0.041519
15.888,0.0051085,0.027437,1.4012,-0.012936,0.020754,0.0085018,0.13051,-0.0025729,0,0,0,185.61,0,0,0,-0.1978,-0.0074388,-0.00019074,0.40112,-0.26036,0.0013184,-0.19512,0.0085832,-0.0051499,0.4118,-0.22698,0.0072669,0.035017,-0.065866,-0.0022743,0.014188,-0.26143,0.073271,0.01842,0.099055,-0.018407,0.1658,0.26763,0.29942,-1.1869,0.56088,0.35656,-0.84344,0.94043,0.010339,0.069817,-0.76484,1.2997,-1.4833,-1.5897,-0.10872,0.083266,0.030908,-0.010062,-0.039044,0.23047,0.022912,0.014017,0.002729,-0.01837,-0.039938,0.2851,-0.038739
15.899,0.001209,0.011008,1.417,-0.012829,0.021145,0.011144,0.087582,-0.023779,0,0,0,185.62,0,0,0,-0.19703,-0.0082017,-0.00019074,0.40188,-0.2655,-0.00032315,-0.19627,0.0085832,-0.0047684,0.41562,-0.21935,0.012632,0.05299,-0.076066,0.022584,0.08706,-0.33873,-0.073336,-0.069338,-0.017808,0.018138,0.28524,0.52404,0.40245,0.34908,1.1727,-0.034505,-0.90161,1.21,0.28339,-1.0473,-0.76484,1.0237,-1.5415,-1.0977,-0.38443,0.084021,0.033617,-0.014019,-0.038226,0.23961,0.019615,0.0053875,0.010742,-0.020078,-0.034547,0.27627,-0.038668
15.958,0.0019987,0.058741,1.0728,-0.0083217,0.016772,0.10648,-0.10887,-0.093304,0,0,0,184.76,0,0,0,-0.18673,-0.0089647,-0.00019074,0.4015,-0.26111,-0.0024194,-0.18978,0.0082017,-0.0074388,0.41409,-0.18603,-0.012363,0.27391,0.068011,-0.0020063,-0.40012,0.40327,0.010032,0.39801,-0.0033392,-0.066082,-0.50476,1.2428,-1.7407,2.1643,1.7846,-0.51758,-4.4659,6.1777,0.38503,-1.6058,-1.0368,-0.21853,-5.5209,2.4335,-0.68275,0.07054,0.016688,-0.0045924,-0.067663,0.14591,0.039931,0.028269,-0.015012,-0.012405,-0.092488,0.25104,-0.010569
15.975,0.00096889,0.017298,1.1703,-0.0080138,0.018789,0.033427,0.071833,-0.10003,0,0,0,184.79,0,0,0,-0.17147,-0.0066758,-0.00057221,0.38243,-0.24578,-0.00081677,-0.17796,0.0085832,-0.0093462,0.39425,-0.153,-0.032296,0.96247,0.11996,-0.027362,-0.97526,0.79776,0.092192,0.64454,0.041351,-0.091669,-1.0577,1.6636,-0.34131,2.1643,3.2784,-0.49458,-1.9486,8.0939,0.44808,-2.4436,-0.35692,-0.19553,-3.833,2.9911,-0.70005,0.098122,0.0089525,-0.0041499,-0.059363,0.20572,0.02914,0.067581,-0.015357,-0.02151,-0.073427,0.32975,-0.047612
16.011,0.0056628,0.03591,1.7282,-0.01083,0.028152,-0.13202,0.19647,-0.24553,0,0,0,184.61,0,0,0,-0.15316,-0.004387,-0.0013352,0.35458,-0.22052,-0.00074394,-0.16766,0.010872,-0.0097276,0.37098,-0.11349,1.913e-06,0.77991,0.075105,-0.023116,-1.268,1.1957,0.017847,0.42765,0.067102,-0.021301,-0.99729,1.8206,1.5648,3.421,3.6447,-0.90864,1.4251,7.5417,0.66381,-2.4436,-0.016996,-1.2307,-0.087253,3.2503,-1.3583,0.1191,0.016366,-0.010737,-0.090588,0.22132,0.004254,0.069386,0.010125,-0.027806,-0.069423,0.3231,-0.062383
16.034,0.001024,0.02312,2.0969,-0.0076347,0.035794,0.10031,0.29734,-0.18984,0,0,0,184.58,0,0,0,-0.14935,-0.0013352,-0.0017166,0.3233,-0.17964,-0.0020865,-0.16918,0.012779,-0.010872,0.34695,-0.076046,-0.022126,-0.052157,0.047592,-0.0081269,-0.47085,1.0302,-0.06186,-0.13262,0.0087061,-0.044428,-0.30586,0.64226,-1.3247,3.8399,3.3516,-0.72462,2.5885,7.6284,0.672,-1.8851,0.56088,-0.74762,0.84344,3.7926,-1.3474,0.10791,0.0078761,0.0039064,-0.10872,0.184,0.035239,0.068574,-0.0074749,-0.022351,-0.1156,0.34912,-0.032539
16.061,0.0057192,0.026422,2.3924,-0.0033231,0.041623,0.18537,0.2947,-0.2317,0,0,0,184.62,0,0,0,-0.15316,-0.0024796,-0.0017166,0.3233,-0.16498,0.0022838,-0.17529,0.011635,-0.012398,0.34886,-0.068188,-0.024275,-0.1613,-0.04667,0.01542,0.052447,0.22641,0.15095,-0.23195,-0.088347,-0.022035,0.059775,0.18567,0.38042,3.7003,3.022,-0.56359,1.8905,5.6001,1.0742,0.20945,-0.86681,-0.67861,-0.72711,3.1488,-0.52104,0.098639,0.00055161,0.0084222,-0.086367,0.20502,0.041398,0.085416,-0.017616,-0.029578,-0.092439,0.41513,-0.052442
16.087,0.0010459,0.025901,2.2976,0.0023801,0.04003,0.21031,-0.0411,-0.33095,0,0,0,184.61,0,0,0,-0.15393,-0.004387,-0.0013352,0.3233,-0.16524,0.0027324,-0.17224,0.011635,-0.013924,0.34314,-0.065569,-0.017734,0.077382,-0.051975,0.029493,-0.029658,-0.023941,0.0029729,0.34167,0.08243,-0.056208,-0.26299,-0.11379,-0.18011,4.2588,1.7506,-0.33355,1.6578,6.1629,1.2935,1.1869,-1.8866,-0.51758,-0.49443,5.2752,-1.3677,0.077664,-0.015685,0.015826,-0.093845,0.15472,0.050899,0.088302,-0.039035,-0.027514,-0.12749,0.41331,-0.022008
