t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
40.671,0.001079,0,2.7407,-0.012591,0.046149,-0.00068502,0.15063,-0.0054475,1,2,0.04,191.64,0.2,0,0,-0.19436,-0.010872,0.00057221,0.38853,-0.25365,4.2851e-05,-0.19055,0.010109,-0.0062943,0.39807,-0.22724,0.0026749,-0.082894,-0.0062694,0.010072,0.1725,-0.1745,0.01507,-0.15957,-0.0054382,0.0015134,0.22124,-0.14738,-0.035646,-0.62835,3.7179,0.33355,-0.14542,4.1253,0.28211,-0.90762,-3.2418,1.5067,-2.9375,-2.5911,-0.38983,0.052773,-0.048234,0.028188,0.11726,-0.23743,-0.023824,0.042338,-0.12409,0.062504,-0.13994,-0.093295,-0.097318
40.703,0.005342,0.032033,3.0618,-0.012181,0.052033,0.0089639,0.11053,-0.030352,1,2,0.088,191.64,0.2,0,0,-0.19665,-0.010872,0.00057221,0.39578,-0.26078,0.0003951,-0.19474,0.010109,-0.0062943,0.40494,-0.2324,0.0033339,-0.031353,-0.003855,0.0071005,0.070183,-0.069391,-0.03302,-0.031491,-0.0090456,0.0058952,0.064717,-0.13123,0.0036292,-0.069817,2.7289,0.35656,-0.029084,3.7903,-0.1091,-0.76799,-3.2784,1.5297,-2.5303,-2.8166,-0.9826,0.040342,-0.042815,0.028748,0.35231,-0.3274,0.029373,0.050864,-0.20991,0.088128,-0.16991,-0.084836,-0.12324
40.723,0.0011278,0.02027,3.3881,-0.011704,0.057966,0.010609,0.14956,-0.018886,1,2,0.12,191.64,0.2,0,0,-0.19818,-0.010872,0.00057221,0.39616,-0.26174,0.0004412,-0.19589,0.010109,-0.0062943,0.40494,-0.23561,0.0050209,-0.055748,0.0044639,0.0069983,-0.0049364,-0.027949,0.014354,-0.027539,-0.0061913,0.0039773,0.00955,-0.091001,-0.04332,-1.1869,3.3516,0.10352,0.43626,2.953,-0.33344,-0.90762,-2.6923,1.1617,-1.8323,-2.4363,-1.188,-0.035116,-0.048368,0.02624,0.45448,-0.31889,0.040689,0.06216,-0.20558,0.084635,-0.14033,-0.060151,-0.12103
40.749,0.004984,0.025826,3.5375,-0.011131,0.06073,0.019997,0.10886,0.01718,1,2,0.16,191.62,0.2,0,0,-0.20085,-0.013161,-0.00057221,0.39578,-0.27325,-0.0023445,-0.1978,0.011254,-0.0062943,0.40799,-0.23086,0.013526,-0.051496,-0.048982,-0.066993,-0.0019191,-0.53594,-0.19296,-0.064015,0.0021761,0.0075586,0.15566,0.23945,0.36621,-0.069817,0.9348,-0.011502,0.3781,2.3214,0.12869,0.34908,-0.9348,0.77062,-1.4251,0.22785,-0.13753,-0.078528,-0.053366,0.026135,0.47451,-0.30458,0.038174,0.066366,-0.18794,0.075804,-0.10078,-0.048809,-0.10899
40.776,0.00096151,0.026557,3.3783,-0.011854,0.05776,-0.030853,-0.037347,0.049827,1,2,0.2,191.6,0.2,0,0,-0.19017,-0.018883,0.0032425,0.41142,-0.32023,-0.0059142,-0.19245,0.010109,-0.003624,0.40646,-0.23938,-0.018722,0.55739,-0.36304,0.2296,0.83789,-2.0642,-0.34859,0.37348,-0.0081913,0.11599,-0.26546,-0.34126,-1.5748,2.1643,-1.4787,0.90864,3.9736,-2.0817,-0.40653,1.6058,-9.5835,5.4073,-9.2339,-4.1992,-2.7218,-0.090523,-0.037922,0.033623,0.43979,-0.28637,0.028625,0.09752,-0.17389,0.074318,-0.041588,-0.042684,-0.095646
40.811,0.00093847,0.035415,2.4008,-0.012354,0.040041,0.0062292,-0.52482,-0.10297,1,2,0.244,191.63,0.2,0,0,-0.1833,-0.022698,0.01545,0.47932,-0.42727,0.0073997,-0.16003,0.0059129,0.0040055,0.38815,-0.23197,-0.050195,0.15998,-0.26215,0.53717,3.2185,-4.2194,1.2736,1.2177,-0.21025,0.37041,-0.74426,0.34767,-0.53186,0.62835,-1.3087,0.14952,11.533,-0.58739,0.62127,-1.6058,-16.416,6.3409,-10.383,-4.4144,-3.0967,-0.078347,-0.027451,0.032239,0.37709,-0.26807,0.016511,0.093766,-0.12996,0.035942,-0.018778,-0.077834,-0.084308
40.831,0.0048998,0.020149,1.7126,-0.011121,0.027745,-0.020976,-0.67077,-0.16,1,2,0.28,191.59,0.2,0,0,-0.19551,-0.033379,0.024605,0.58118,-0.51423,0.061416,-0.13409,-0.00057221,0.011635,0.37289,-0.22966,-0.043143,-0.7574,-0.57937,0.43403,5.3548,-4.1924,2.6521,1.3093,-0.41037,0.31695,-0.68486,0.098831,0.45346,-1.1869,-1.2747,0.080513,7.0681,1.5113,-0.74351,-3.1418,-17.047,6.3668,-9.7703,-4.3673,-3.5112,-0.071709,-0.014135,0.020993,0.30879,-0.26726,0.026879,0.086774,-0.11841,0.010557,-0.008137,-0.1222,-0.064063
40.864,0.00097511,0.032683,1.1599,-0.0068094,0.019065,0.19922,-0.41251,-0.34211,1,2,0.324,191.54,0.2,0,0,-0.23671,-0.058175,0.030327,0.78603,-0.59736,0.010146,-0.10624,-0.019646,0.021172,0.36183,-0.22908,-0.032616,-1.4856,-0.87574,0.16289,6.2365,-1.7374,-3.7573,0.6711,-0.63248,0.29588,-0.10672,0.012667,-0.015181,-0.34908,1.9886,-0.31055,-2.3558,1.8288,0.28719,-2.1643,-14.968,5.0736,-5.9429,-3.6227,-3.3875,-0.081885,0.00051092,0.0066624,0.29823,-0.24986,0.06798,0.1265,-0.10105,0.006384,0.0053252,-0.13422,-0.02885
40.89,0.00099248,0.025934,0.81279,-0.0027313,0.01392,0.16617,-0.1959,-0.44464,1,2,0.36,191.53,0.2,0,0,-0.26379,-0.073434,0.040627,0.90009,-0.59458,-0.001708,-0.099756,-0.036812,0.030327,0.36946,-0.23175,-0.028264,-0.91521,-0.56056,0.50616,4.4393,0.50083,1.7081,0.17887,-0.72371,0.47566,0.39702,-0.17586,0.30995,-1.8851,3.6813,-1.3457,-8.0078,0.89062,1.2658,-1.0473,-12.452,4.0965,-2.5885,-2.7028,-3.324,-0.083444,0.0052899,-0.0055883,0.32355,-0.2455,0.035635,0.14182,-0.11043,0.024838,0.019773,-0.13196,-0.022396
40.917,0.00126,0.026884,0.80566,0.00068466,0.014045,0.14327,-0.065915,-0.36149,1,2,0.404,191.47,0.2,0,0,-0.26532,-0.075723,0.049401,0.94282,-0.55709,0.093284,-0.099374,-0.051308,0.037575,0.38319,-0.24434,-0.018598,0.12437,0.053606,0.24061,0.73362,1.6386,1.9544,-0.0067427,-0.56318,0.16464,0.56003,-0.61131,0.38151,-3.1418,3.9744,-1.2767,-10.92,1.1172,-1.952,-0.62835,-7.4695,1.2077,-2.1232,-2.69,-3.33,-0.06177,-0.0022694,0.0043864,0.33804,-0.22298,0.081755,0.15131,-0.11855,0.040956,0.01642,-0.11417,0.003657
