t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
12.582,0.001362,0,1.5323,-0.0017486,0.026686,0.020634,0.063546,0.016065,0,0,0,184.29,0,0,0,-0.19398,-0.0055314,-0.0013352,0.39311,-0.25074,-0.0010369,-0.18902,0.0097276,-0.0066758,0.40608,-0.22509,0.0032416,-0.014844,0.0022969,0.0023989,0.20512,-0.11621,-0.0043203,-0.05412,0.0074845,-8.1998e-05,0.072794,-0.08733,-0.048897,-1.1869,1.6826,0.40256,-0.43626,2.2799,0.54153,-2.304,-3.2051,1.2997,-4.7473,-4.3786,-0.76188,0.044287,0.015741,0.0026058,-0.052627,0.17731,0.014021,0.017101,-0.0099909,-0.013021,-0.085397,0.22745,-0.028162
12.593,0.0011821,0.01108,1.5738,-0.0017317,0.027414,0.0085486,0.091287,-0.058423,0,0,0,184.32,0,0,0,-0.19551,-0.0055314,-0.0013352,0.3954,-0.25381,-0.0013555,-0.19245,0.0097276,-0.0066758,0.40913,-0.22724,0.0026752,-0.023755,0.0045583,0.005063,0.050251,-0.086022,0.042938,-0.10792,-0.0095186,-7.9207e-05,0.060634,-0.055754,-0.014744,-1.1869,1.2747,0.37956,-0.14542,2.1405,0.48336,-1.4662,-3.2784,1.2767,-4.4659,-4.1284,-0.083287,0.073905,0.023835,-0.0046829,-0.04584,0.20166,0.02062,0.027452,-0.0029444,-0.023012,-0.062899,0.27973,-0.042043
12.617,0.0046861,0.024693,1.7526,-0.0019819,0.030524,-0.0087105,0.095567,-0.023803,0,0,0,184.35,0,0,0,-0.19665,-0.0055314,-0.0013352,0.39616,-0.25645,-0.00075791,-0.19551,0.0097276,-0.0066758,0.41142,-0.22914,0.0025792,-0.031399,-0.008236,0.0053334,-0.0015031,-0.074287,0.04819,-0.072783,-0.0043712,0.0064828,0.075849,-0.060106,0.020226,-1.6058,1.8866,0.10352,0.84344,2.372,0.35321,-0.34908,-3.0952,1.5297,-4.2549,-4.4413,-0.62334,0.078632,0.027227,-0.0063762,-0.042837,0.2079,0.020871,0.019739,0.00079493,-0.022019,-0.050257,0.28621,-0.042483
12.64,0.0055185,0.022714,1.8668,-0.0025351,0.032484,-0.014841,0.036118,0.026517,0,0,0,184.37,0,0,0,-0.19703,-0.0055314,-0.0013352,0.39807,-0.25814,-0.00020531,-0.19665,0.0097276,-0.0066758,0.41447,-0.23124,0.0029322,-0.027033,-0.0068,0.0047701,0.075213,-0.034726,0.027215,-0.015412,-0.0047066,0.0022329,0.078749,-0.075652,0.030364,-2.0247,2.1925,0.19553,-0.31993,2.8572,0.18628,-0.34908,-3.1685,1.4147,-5.0286,-3.6755,-0.78255,0.079751,0.029796,-0.0073618,-0.04228,0.20801,0.021458,0.014198,0.0022072,-0.020927,-0.048833,0.28038,-0.039798
12.661,0.0055073,0.020818,1.8488,-0.0023126,0.032184,0.0065495,0.008666,0.0014912,0,0,0,184.36,0,0,0,-0.19703,-0.0070573,-0.0013352,0.39883,-0.26307,-0.0013849,-0.19627,0.011254,-0.0066758,0.41943,-0.22756,0.009532,0.032608,-0.086974,-0.0020783,0.0035062,-0.32721,-0.014289,0.0085352,0.070184,0.010362,0.27819,0.26898,0.3407,-0.90762,0.52689,-0.19553,0.087253,1.225,0.20227,1.0473,-0.59487,0.81663,-2.1232,-0.90401,-0.099365,0.077674,0.027507,-0.0060392,-0.038781,0.20885,0.023906,0.017629,-0.0012925,-0.018166,-0.043121,0.28962,-0.037002
12.681,0.0060244,0.0204,1.774,-0.0023657,0.030871,0.0030039,-0.074038,-0.0016847,0,0,0,184.42,0,0,0,-0.19207,-0.0070573,-0.0013352,0.39845,-0.27071,-0.005316,-0.19856,0.010491,-0.0074388,0.42592,-0.21664,0.0068462,0.30415,-0.00074909,0.010142,-0.044165,-0.19331,-0.1844,-0.055831,0.013729,-0.053521,0.23048,0.6031,-0.27568,1.7454,1.5127,0.21853,-1.8323,4.5018,0.46232,0.48872,-1.3087,0.14952,-5.6615,2.265,-0.64512,0.082893,0.026474,-0.0088926,-0.041386,0.21602,0.024464,0.012441,0.00090881,-0.018913,-0.046827,0.27692,-0.031829
12.697,0.0054146,0.016045,1.5773,-0.0029521,0.02737,-0.026913,-0.17439,-0.0047975,0,0,0,184.45,0,0,0,-0.18406,-0.0070573,-0.0013352,0.39502,-0.26011,-0.0034108,-0.19207,0.010109,-0.0093462,0.42248,-0.19238,-0.013238,0.50567,0.0015884,-0.0015152,-0.24711,0.70999,0.12464,0.43196,-0.039148,-0.11184,-0.24273,1.5971,-1.2107,2.304,2.5092,-0.080513,-1.716,6.6697,0.16255,-0.34908,-1.2067,-0.56359,-5.3099,3.4805,-0.30572,0.089386,0.02789,-0.015765,-0.056237,0.20574,0.018112,0.021827,0.0045751,-0.018885,-0.058202,0.26822,-0.032315
12.713,0.0012084,0.015473,1.2935,-0.0030536,0.022369,-0.0074091,-0.25138,-0.079321,0,0,0,184.48,0,0,0,-0.16995,-0.0066758,-0.0013352,0.38548,-0.24282,0.0013547,-0.17834,0.010872,-0.012016,0.4099,-0.14869,-0.02385,0.81866,0.028075,0.0054662,-0.57066,0.92909,0.18798,0.77571,0.071029,-0.15968,-0.77975,2.371,-0.10976,2.7229,2.7289,-0.12652,-0.5526,8.3404,0.65175,-1.0473,-1.1388,-0.31055,-3.833,4.7525,-1.1679,0.091426,0.014699,-0.0094047,-0.077046,0.18094,0.026933,0.051147,-0.011216,-0.018421,-0.083596,0.28121,-0.036204
12.738,0.00099654,0.025308,0.96449,-0.003995,0.016353,-0.019736,-0.20667,-0.25751,0,0,0,184.51,0,0,0,-0.15011,-0.0017166,-0.0013352,0.36412,-0.20914,-0.0022544,-0.16194,0.015068,-0.016594,0.38205,-0.10662,-0.00040363,0.63668,0.18065,0.0034544,-0.85478,1.4013,-0.11729,0.67446,0.14209,-0.21425,-1.0085,1.344,0.34803,1.8851,2.8022,-0.28755,1.2506,6.3014,0.91196,-2.5832,-1.6147,-0.24154,-1.8323,4.7388,-1.3604,0.094402,0.0043943,0.00035285,-0.11787,0.11579,0.033775,0.069599,-0.018971,-0.027429,-0.13485,0.27396,-0.024769
12.759,0.0047779,0.021071,1.0633,-0.0036434,0.018197,-0.041127,-0.016317,-0.25755,0,0,0,184.54,0,0,0,-0.14324,-0.0013352,-0.0013352,0.34733,-0.18073,0.00060689,-0.1566,0.015831,-0.019265,0.36374,-0.085079,-0.02486,0.26977,-0.0043045,0.00010279,-0.64294,1.1515,0.070276,0.13553,0.015311,-0.054317,-0.7316,0.89799,-1.1231,1.0473,2.9121,-0.51758,1.8905,6.3669,0.94331,-2.5832,-1.5467,-0.26454,-0.49443,4.2613,-0.93147,0.1061,0.019644,-0.014516,-0.14685,0.13547,0.015427,0.066164,0.010482,-0.040345,-0.14203,0.26246,-0.049204
