t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
44.181,0.00093002,0,2.7531,-0.0021868,0.048002,-0.00015692,0.098601,0.025073,0,0,0,183.67,0,0,0,-0.19665,0.0032425,0.0017166,0.39502,-0.24025,-0.0024846,-0.18864,-0.0070573,0.0047684,0.3996,-0.23346,0.0055842,-0.062993,-0.006757,0.005074,0.12225,-0.15033,0.044495,-0.069662,-0.0043946,-0.0049792,0.14842,-0.1425,-0.01902,-0.76799,-0.66286,-0.14952,-1.4833,-0.47592,0.85278,-2.1643,2.1925,-0.79363,-2.5885,-2.0758,-1.0978,0.0024613,0.045636,-0.0027907,0.0051853,0.1869,0.024694,0.027663,0.0255,-0.0021477,0.021464,0.08676,0.018191
44.21,0.0047492,0.028288,3.0112,-0.0022497,0.052507,-0.0037328,0.085968,0.018552,0,0,0,183.61,0,0,0,-0.19894,0.0032425,0.0017166,0.4015,-0.24594,-0.0022052,-0.19017,-0.0070573,0.004387,0.40532,-0.23915,0.0053162,-0.050297,0.0012808,-0.0042959,0.12351,-0.10288,-0.016859,-0.007745,-0.0040678,0.0040637,0.11221,-0.11295,0.047563,-0.069817,-1.1048,-0.17253,-1.4833,0.18178,0.69587,-1.7454,1.6826,-0.97766,-3.622,-1.9787,-0.91291,0.0093067,0.040126,0.0031584,0.025583,0.19645,0.038747,0.03349,0.022138,0.0045768,0.018042,0.085472,0.026426
44.229,0.0045089,0.019334,3.2868,-0.0021485,0.057326,0.00053991,0.13055,-0.012636,0,0,0,183.68,0,0,0,-0.19932,0.0032425,0.0017166,0.40265,-0.24948,-0.0025003,-0.19093,-0.0070573,0.004387,0.40684,-0.24315,0.0055934,-0.010685,-0.0093328,0.0034457,-0.0035489,-0.087519,0.00052794,-0.028616,-0.0064384,-0.0010867,0.035125,-0.10104,-0.0087253,-0.20945,-1.5127,-0.21853,-1.367,0.18736,0.44097,-3.0021,1.8526,-0.6096,-2.2395,-0.83906,-1.2289,0.011505,0.040065,0.005852,0.030386,0.2003,0.041694,0.033273,0.024029,0.0041434,0.024386,0.087029,0.024781
44.254,0.0010723,0.025341,3.4023,-0.002237,0.05934,-0.0050162,0.078555,0.0047643,0,0,0,183.7,0,0,0,-0.20085,0.0040055,0.0017166,0.4057,-0.25641,-0.010168,-0.19055,-0.0093462,0.0047684,0.41142,-0.24635,0.015711,-0.040094,-0.028295,-0.004895,0.13691,-0.21471,-0.22789,-0.028421,-0.025251,0.0024558,0.21977,-0.09859,0.25946,-0.069817,-0.62886,0.10352,-0.84344,0.74355,0.61901,-0.20945,-0.016996,-0.88564,-1.1925,0.40981,-0.60623,0.013226,0.043101,0.0056046,0.037652,0.20599,0.038144,0.028578,0.025101,0.0036382,0.033207,0.088191,0.027412
44.278,0.0047137,0.023681,3.3524,-0.0019927,0.058476,0.0075564,-0.026816,0.02203,0,0,0,183.71,0,0,0,-0.20047,0.0070573,0.0020981,0.41257,-0.24959,-0.0090397,-0.18826,-0.0085832,0.0047684,0.41867,-0.24757,0.015199,0.020327,0.21494,0.007162,0.26521,0.46465,-0.045298,0.15069,-0.001273,0.00060398,0.30772,-0.0034239,0.058444,-0.20945,1.1388,-0.24154,-1.1925,4.4686,1.2679,0.34908,1.5467,-0.47158,-0.72711,1.7657,-0.33194,0.0089194,0.034118,0.0082593,0.047217,0.19852,0.04792,0.027966,0.01753,0.0045482,0.037882,0.116,0.030607
44.304,0.0010846,0.025647,3.2677,-0.0021592,0.056992,-0.0098914,-0.049181,0.067656,0,0,0,183.69,0,0,0,-0.19932,0.010872,0.0028611,0.42058,-0.23482,-0.010595,-0.18177,-0.0093462,0.0051499,0.42554,-0.23934,0.032238,0.017751,-0.020888,0.04505,0.33167,0.39655,0.30322,0.25547,-0.037705,0.038464,0.18351,0.46165,0.78247,1.0473,2.6557,-0.011502,-0.5526,7.8541,1.9238,0.069817,2.619,-0.42557,-0.61077,2.1359,-0.5829,0.011942,0.04577,0.0050084,0.048621,0.21926,0.041651,0.030139,0.025292,0.0026181,0.04187,0.11251,0.031671
44.333,0.0048646,0.029444,3.1454,-0.0015668,0.054875,0.02533,-0.10219,0.058696,0,0,0,183.7,0,0,0,-0.19932,0.011254,0.004387,0.42821,-0.22682,-0.0017804,-0.17491,-0.0085832,0.0059129,0.42554,-0.22381,0.052378,0.020774,0.031595,0.058227,0.27616,0.29004,0.11178,0.23908,0.016002,0.040429,-0.025157,0.46923,0.56177,1.0473,2.7656,0.080513,0.14542,8.7582,2.0955,0.76799,2.2605,-0.49458,-0.31993,2.8517,-0.96436,0.0059047,0.044254,0.0045301,0.04294,0.20046,0.04794,0.038773,0.016455,0.0078977,0.020797,0.096161,0.040774
44.357,0.0011023,0.023566,2.9135,-0.00020766,0.050849,0.044294,-0.13329,0.0033651,0,0,0,183.68,0,0,0,-0.19818,0.012016,0.0047684,0.43431,-0.22041,-0.0025692,-0.17071,-0.0066758,0.0062943,0.4263,-0.223,0.041802,0.025164,0.019545,0.0063529,0.22341,0.23966,0.05122,0.14312,0.049045,0.009426,0.014579,-0.00078329,-0.36582,1.8851,2.619,0.011502,-0.26176,8.9893,2.5104,0.069817,2.7289,-0.88564,0.61077,2.7475,-0.94033,0.0032851,0.043429,0.0023079,0.030547,0.1899,0.048797,0.04625,0.017008,0.0075961,0.015142,0.08737,0.035206
44.382,0.000888,0.025389,2.7541,0.00096768,0.048058,0.050331,-0.13413,-0.024345,0,0,0,183.73,0,0,0,-0.19818,0.012779,0.0051499,0.43927,-0.2191,-0.00081952,-0.16957,-0.0066758,0.0062943,0.42744,-0.22293,0.042721,-0.010365,0.053442,0.033419,0.23113,0.063991,0.076694,0.057315,0.016041,0.006577,0.10544,0.010534,0.065516,0.34908,1.7846,0.77062,0.26176,8.5521,2.2383,-0.20945,1.9206,-0.74762,0.31993,3.377,-0.46219,0.0039083,0.041873,0.0013755,0.027751,0.18288,0.049977,0.048001,0.015445,0.0084083,0.012638,0.085938,0.036818
44.409,0.0009841,0.026761,2.4971,0.0028982,0.043486,0.061669,-0.13432,-0.052071,0,0,0,183.71,0,0,0,-0.19932,0.017357,0.0070573,0.44614,-0.21574,-0.0019045,-0.17071,-0.0024796,0.0062943,0.43507,-0.22293,0.042721,-0.0082166,0.12765,0.065824,0.17898,0.12663,-0.055071,-0.065165,0.092793,0.0087235,0.24747,0.01146,0.01802,1.3265,2.1585,-0.24154,0.26176,8.4072,2.3449,0.76799,2.1925,0.011502,-0.087253,3.4753,-0.51991,0.00084781,0.042745,0.0037593,0.029692,0.17101,0.054261,0.047051,0.011035,0.011736,0.012699,0.091498,0.038627
44.438,0.0047616,0.02958,2.2635,0.003704,0.039332,0.029884,-0.18452,-0.017083,0,0,0,183.75,0,0,0,-0.19894,0.019265,0.0074388,0.44766,-0.2116,-0.0043804,-0.17033,-0.00095369,0.0070573,0.43812,-0.22293,0.042721,0.012906,0.081313,0.0019582,0.047904,0.18784,-0.080543,0.049633,0.085386,0.045017,0.093979,-0.0044788,-0.0080776,0.90762,2.2605,0.011502,-0.31993,8.3415,2.6043,0.34908,1.1048,-0.6556,-0.90161,3.2963,-0.27557,0.00034,0.045925,0.0010547,0.017879,0.16052,0.052409,0.046467,0.013661,0.012825,0.0052777,0.072894,0.034241
44.466,0.0010184,0.027253,2.0237,0.0059942,0.034808,0.073739,-0.15874,0.037919,0,0,0,183.79,0,0,0,-0.19894,0.021935,0.0070573,0.44804,-0.20862,-0.0031824,-0.16651,0.0020981,0.0078202,0.43431,-0.22578,0.039454,-0.014106,0.076618,-0.0095642,-0.031584,0.081198,0.013031,0.13205,0.082071,-0.00082647,-0.16538,-0.12854,-0.12075,-0.20945,1.7166,-0.47158,-1.1925,8.0313,2.5067,-0.069817,0.90081,0.28755,-1.0761,2.7167,-0.46411,-0.00049233,0.045073,0.00016374,0.012757,0.14619,0.055339,0.053168,0.010239,0.014195,-0.0062209,0.06595,0.035722
44.488,0.0010199,0.022405,1.8944,0.0069858,0.032317,0.064163,-0.11959,0.024732,0,0,0,183.74,0,0,0,-0.19894,0.024605,0.0066758,0.44461,-0.20815,-0.0032071,-0.16499,0.0051499,0.0078202,0.43011,-0.22822,0.038488,-0.0049092,0.12261,-0.01134,-0.18947,0.015552,0.037323,0.045717,0.17311,0.010782,-0.18703,-0.075179,-0.037056,-0.20945,1.4787,0.12652,-0.72711,7.4049,2.5324,0.76799,0.59487,0.057509,-1.1343,2.115,-0.22484,-0.0011756,0.044597,0.00066944,0.0077587,0.13229,0.058793,0.056352,0.0051742,0.0169,-0.015612,0.062069,0.03734
