t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
30.037,0.00098403,0,2.0774,-0.018198,0.031361,0.0074789,0.069846,0.039895,1,2,0.04,184.6,0.6,0,0,-0.19551,-0.0078202,-0.0017166,0.39464,-0.25426,0.0028866,-0.19055,0.0070573,-0.0051499,0.3996,-0.22462,0.0032652,-0.056728,-0.011589,0.0049096,0.14943,-0.11066,0.039471,-0.043816,-0.01855,0.0085911,0.14228,-0.14255,0.038242,-0.069817,2.8755,-0.080513,-0.78527,2.5569,-0.82321,-1.4662,-2.7289,1.2077,-2.3558,-3.4307,-0.74656,-0.039731,-0.026428,0.027437,0.068704,-0.048062,-0.15835,0.036484,-0.033686,0.12901,-0.12558,-0.22155,-0.17093
30.049,0.0047191,0.011991,2.2147,-0.018228,0.034087,-0.0025648,0.1368,0.0053704,1,2,0.08,184.61,0.6,0,0,-0.19627,-0.0078202,-0.0017166,0.39807,-0.26019,0.0027223,-0.19207,0.0070573,-0.0055314,0.40494,-0.23361,0.0028143,-0.019254,-0.0023118,0.0016893,0.055024,-0.11366,-0.0093511,-0.05125,0.0058868,0.011512,0.079039,-0.070005,-0.047929,-0.76799,2.8022,0.37956,-0.84344,3.1992,-0.58571,-1.8851,-2.2605,1.0697,-2.2395,-3.4443,-0.63448,-0.084339,0.0049452,0.018832,0.33515,-0.1551,-0.052093,0.073042,-0.19216,0.1522,-0.14572,-0.24232,-0.22265
30.08,0.00094797,0.031068,2.509,-0.017968,0.039936,0.0090473,0.1967,-0.009259,1,2,0.116,184.6,0.6,0,0,-0.19741,-0.0078202,-0.0017166,0.39845,-0.26278,0.0023828,-0.19551,0.0070573,-0.0055314,0.40532,-0.23408,0.0027903,-0.038085,-0.0030872,0.00095806,-0.0032505,-0.085713,0.0066047,-0.10074,-0.0045357,0.0064881,0.015737,-0.013922,0.0075708,-1.1869,2.6557,0.28755,0.14542,3.9922,-0.30796,-0.76799,-1.7166,1.0697,-1.7741,-3.4251,-0.56692,-0.17209,0.03244,0.029309,0.44458,-0.2352,0.012575,0.073629,-0.20448,0.12171,-0.096155,-0.21914,-0.22577
30.105,0.0048881,0.025431,2.9793,-0.017024,0.049135,0.026803,0.1787,-0.057584,1,2,0.156,184.63,0.6,0,0,-0.19741,-0.0093462,-0.0024796,0.39845,-0.27267,0.0052588,-0.20085,0.0085832,-0.0055314,0.40761,-0.22898,0.0094688,0.015576,-0.033392,-0.029969,-0.008468,-0.5003,0.10601,-0.1237,0.047092,0.011912,0.11204,0.30549,0.34779,-0.90762,0.79883,0.21853,-0.49443,1.6426,-0.60224,1.1869,-0.66286,0.49458,-0.78527,-0.89186,-0.36692,-0.21547,0.036187,0.042382,0.47229,-0.25249,0.023593,0.070527,-0.19443,0.10993,-0.062427,-0.19794,-0.22
30.137,0.0010693,0.032058,3.0419,-0.017707,0.050054,-0.02377,0.033974,-0.058159,1,2,0.2,184.66,0.6,0,0,-0.20085,-0.0089647,-0.00019074,0.40913,-0.29838,-0.030679,-0.19856,0.0074388,0.0097276,0.41142,-0.23648,-0.022661,-0.27767,0.049204,0.12694,0.74485,-0.83937,-2.2705,0.30018,-0.063573,0.95856,0.009618,-0.89068,-2.483,-2.304,-0.016996,0.95465,5.6615,0.9914,-1.4,2.4436,-7.9022,5.6925,-8.3144,-6.4611,-4.3285,-0.22332,0.057488,0.049449,0.44931,-0.23023,0.016083,0.080016,-0.15172,0.086575,-0.026603,-0.13979,-0.20223
30.155,0.0015582,0.017922,2.8781,-0.017836,0.046961,-0.015923,-0.095116,0.0998,1,2,0.236,184.61,0.6,0,0,-0.22412,-0.0051499,0.0051499,0.4675,-0.32535,-0.075032,-0.1833,0.01545,0.03109,0.40684,-0.26036,-0.10926,-1.1817,0.19228,0.31539,3.1411,-1.2882,-1.7597,0.75394,0.45382,0.81858,-0.31159,-0.96833,-3.5423,-3.1418,0.96879,0.88564,9.9236,-1.3513,1.3364,3.5607,-17.007,8.4997,-10,-8.2754,-4.6522,-0.20293,0.048351,0.04652,0.37225,-0.21344,0.0081568,0.088783,-0.092162,0.085435,-0.032085,-0.14846,-0.19356
30.179,0.0010037,0.023488,2.4718,-0.016842,0.03972,0.031554,-0.29795,0.28052,1,2,0.276,184.57,0.6,0,0,-0.28058,0.0013352,0.016213,0.62123,-0.38744,-0.0017132,-0.15545,0.015068,0.050164,0.3893,-0.28535,-0.1209,-2.264,0.18578,0.39135,6.1292,-2.4042,4.5276,1.1555,-0.30268,0.68778,-0.59898,-0.93248,0.091691,-2.8625,2.5092,-0.33355,3.9736,-0.4639,0.30364,-0.48872,-18.19,6.0037,-6.9978,-7.7481,-4.236,-0.18747,0.045144,0.029616,0.30938,-0.20162,0.019357,0.076423,-0.051706,0.053813,-0.032414,-0.20068,-0.16436
30.201,0.0053292,0.021928,2.0102,-0.01284,0.032652,0.19965,-0.31084,0.2245,1,2,0.316,184.57,0.6,0,0,-0.35039,0.0032425,0.039101,0.80472,-0.45917,0.086747,-0.12837,0.00019074,0.053597,0.38052,-0.31351,-0.11878,-2.3542,0.17192,0.77311,6.2717,-2.4336,1.1129,0.85567,-0.60504,0.032966,-0.061508,-0.86657,-0.042479,0.34908,2.5824,-1.0697,-2.8793,0.16632,-2.2722,-0.62835,-15.473,5.9,-5.3802,-6.1833,-4.4084,-0.1696,0.014033,0.044882,0.25252,-0.19625,0.019006,0.05713,-0.032152,0.040464,0.0048609,-0.24636,-0.15672
30.252,0.0051147,0.051656,1.2783,-0.0044961,0.021852,0.27641,-0.33949,-0.0723,1,2,0.36,184.4,0.6,0,0,-0.38853,0.0078202,0.053216,0.90734,-0.49704,-0.029314,-0.11921,-0.016976,0.053597,0.38777,-0.32281,-0.13327,-1.5384,0.17727,0.59581,4.2967,-1.3433,-6.0989,0.40593,-0.81769,0.019083,0.43501,-0.34352,-0.59807,-0.62835,4.0842,-1.5527,-9.7703,2.1033,0.68266,-1.3265,-11.985,4.4473,-4.4659,-4.3904,-3.2328,-0.14665,0.033973,0.015588,0.22038,-0.23009,-0.048006,0.015665,-0.018343,0.037399,0.025301,-0.28331,-0.17916
30.269,0.0054723,0.017135,0.81838,0.0032703,0.013904,0.44724,-0.43683,-0.22646,1,2,0.396,184.32,0.6,0,0,-0.39769,0.013542,0.059319,0.94282,-0.5067,-0.040194,-0.10853,-0.03872,0.056649,0.40074,-0.32872,-0.13368,0.060874,0.26767,0.16309,0.40077,-0.13143,2.9737,0.34147,-0.79456,0.15236,0.46631,-0.29825,0.19126,-3.0021,2.7289,-1.3917,-11.38,0.36637,2.2226,-1.4662,-3.8645,2.7198,-4.5363,-4.3115,-2.5564,-0.13348,-0.045705,0.065353,0.24218,-0.28693,-0.018597,0.030774,-0.034899,0.056991,-0.053753,-0.32017,-0.20593
