t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
16.224,0.0057283,0,8.1625,0.0027385,0.14244,-0.003492,-0.014748,0.0068482,1,2,0.04,1,0,0,-0.20771,-0.0051499,0.00095369,0.39731,-0.27294,-0.0037905,-0.19741,-0.00019074,-0.0020981,0.40494,-0.2645,0.001318,-0.010286,-0.0042323,0.012639,-0.0029829,0.00030543,0.024338,0.0072706,0.0049867,0.0063368,0.00073752,-0.0014998,0.025531,2.5832,1.8526,0.44857,0.43626,6.2053,1.0564,-0.20945,-0.62886,0.26454,-1.367,3.2388,-0.60515,-0.050121,0.0027924,0.052722,0.17749,-0.07661,-0.1098,0.07613,-0.088148,0.17173,-0.066182,-0.27665,-0.1792
16.241,0.0012415,0.016529,8.1531,0.0027014,0.14227,-0.0040351,-0.01485,0.0045897,1,2,0.076,1,0,0,-0.20771,-0.0051499,0.00095369,0.39731,-0.27267,-0.0042792,-0.19741,-0.00019074,-0.0020981,0.40494,-0.2645,0.0013175,-0.0022404,-0.0039882,0.0057787,-0.0052556,-0.0069421,0.013808,0.0031919,-0.0046211,0.007368,-0.00030952,0.0028729,0.009578,3.421,1.7506,-0.33355,0.61077,5.9163,1.1289,-1.0473,-0.016996,-0.057509,-1.1343,2.835,-0.21437,-0.15482,0.024629,0.021183,0.41397,-0.22809,-0.013639,0.1025,-0.21715,0.19395,-0.088152,-0.30192,-0.23625
16.289,0.013806,0.048392,8.1046,0.0025205,0.14143,-0.0030046,-0.014274,-0.00030417,1,2,0.12,1,0,0,-0.20771,-0.0051499,0.00095369,0.39731,-0.27267,-0.0042792,-0.19741,-0.00019074,-0.0020981,0.40494,-0.2645,0.0013175,-0.003586,-0.0031178,0.0072708,-0.0033576,-0.0018036,0.0056546,-8.0739e-05,0.0016914,-0.0018038,0.0077856,0.012002,-0.0026999,3.0021,1.2407,-0.35656,0.66894,5.8881,1.0193,-0.62835,-0.39092,0.6556,-1.3088,3.4373,-0.71255,-0.24107,0.042217,0.030595,0.51253,-0.29483,0.026821,0.10548,-0.21839,0.15494,-0.041579,-0.28719,-0.24544
16.324,0.0011387,0.034803,8.1248,0.0023883,0.14179,0.0002263,0.0053419,-3.9214e-05,1,2,0.156,1,0,0,-0.21038,-0.0059129,0.00095369,0.39731,-0.28123,-0.0092133,-0.19741,-0.00019074,-0.0024796,0.4057,-0.26843,0.0035113,-0.15997,-0.018836,-0.014454,-0.0039385,-0.52564,-0.39135,-0.017214,0.019061,-0.018772,0.056269,-0.25091,0.15019,1.3265,-0.18696,-0.011502,0.26176,2.1663,0.55493,0.069817,-0.39092,0.37956,-0.66894,0.31098,0.038906,-0.27929,0.045911,0.039277,0.54116,-0.29976,0.032158,0.10091,-0.20961,0.13687,-0.020115,-0.27057,-0.2432
16.346,0.00097885,0.021981,7.7884,-0.0037721,0.13588,-0.070832,-0.0041531,0.026614,1,2,0.2,1,0,0,-0.21229,-0.0032425,0.0032425,0.40227,-0.30046,-0.024251,-0.19398,0.00057221,0.0085832,0.41295,-0.27894,-0.018022,-0.13409,0.066389,0.20087,0.4143,-0.81617,-0.83808,0.27812,-0.093224,0.91674,0.23551,-0.71424,-1.7302,-3.421,0.76484,1.4147,8.0845,0.97405,-0.62586,3.7003,-5.8014,6.1334,-4.9582,-3.8474,-3.6372,-0.30082,0.067706,0.045793,0.5284,-0.28672,0.026362,0.12917,-0.18431,0.12627,0.020666,-0.22127,-0.22617
16.386,0.0014298,0.040125,6.6476,-0.0088639,0.11568,-0.18796,-0.626,0.16886,1,2,0.248,1,0,0,-0.27943,0.0047684,0.027276,0.60941,-0.37941,0.0044685,-0.14782,0.016594,0.073816,0.41104,-0.36934,-0.089836,-1.188,-0.1567,0.44635,4.5654,-1.4848,2.3172,1.2265,-0.0031592,0.51604,-0.024613,-0.57682,-0.49067,-3.8399,1.8866,-0.35656,3.6923,-1.2938,-0.4983,2.304,-17.519,8.4997,-6.5055,-6.8103,-5.0199,-0.28646,0.10194,0.02792,0.49873,-0.29279,0.032696,0.13357,-0.14224,0.13643,0.013363,-0.2556,-0.20692
16.417,0.0067964,0.030994,5.6103,-0.0083385,0.097564,-0.039305,-0.72096,0.017754,1,2,0.28,1,0,0,-0.30995,0.0047684,0.031472,0.70516,-0.41576,0.025175,-0.12837,0.012779,0.074197,0.41295,-0.37857,-0.11695,-1.7183,-0.0013791,0.22119,5.4361,-2.1072,1.0818,0.99316,-0.2584,0.049934,0.12864,-0.56592,-1.5438,-5.0966,2.7289,-0.86264,1.3088,-1.2715,-0.87078,0.34908,-18.426,8.8975,-6.2242,-5.7948,-5.1249,-0.25117,0.079722,0.033069,0.44333,-0.28253,0.034163,0.10576,-0.092542,0.10462,-0.013982,-0.30387,-0.18555
16.458,0.0055496,0.040866,4.6728,-0.0077516,0.081188,0.023407,-0.41021,-0.0047312,1,2,0.328,1,0,0,-0.40036,0.010109,0.046731,0.92451,-0.52118,0.011687,-0.097467,-0.0097276,0.074197,0.43088,-0.40598,-0.13794,-2.2759,0.14437,0.44796,4.7069,-2.3024,0.22901,0.59769,-0.80603,0.0061861,0.5602,-0.54302,-0.058949,-3.9796,4.3407,-1.3687,-6.9275,0.43368,0.67403,0.76799,-15.706,6.678,-4.6066,-3.9166,-4.4882,-0.22213,0.062876,0.041816,0.37208,-0.28013,0.016951,0.10162,-0.062257,0.044976,0.035469,-0.3381,-0.15183
16.476,0.0011916,0.018403,4.238,-0.0059057,0.073731,0.11723,-0.41709,-0.15427,1,2,0.364,1,0,0,-0.4427,0.01545,0.055505,0.99203,-0.55022,0.044206,-0.089075,-0.034524,0.074197,0.44537,-0.41216,-0.13872,-1.5259,0.22745,0.28838,2.2885,-0.82252,1.296,0.39416,-1.0307,0.019709,0.59197,-0.11837,-0.085444,-2.5832,4.2308,-1.2537,-6.5055,0.41518,-0.56299,0.76799,-12.53,5.8481,-4.8879,-3.7085,-4.2825,-0.20282,0.029666,0.037675,0.32708,-0.34252,0.0047245,0.066501,-0.032146,0.038127,0.036658,-0.36333,-0.15829
16.524,0.0049676,0.048139,3.4503,0.0024768,0.060168,0.22051,-0.32499,-0.28033,1,2,0.396,1,0,0,-0.46597,0.035286,0.05436,0.99622,-0.54516,0.021984,-0.076867,-0.058938,0.084878,0.46063,-0.41655,-0.13716,-0.52287,0.81856,-0.12971,-0.59595,0.35418,-1.4302,0.45166,-0.72537,0.63035,0.41927,-0.30891,0.078424,-2.7229,3.8278,-0.93165,-4.8176,0.3007,0.044222,-0.069817,-7.173,4.1967,-5.1692,-2.5636,-3.7953,-0.20208,0.00091709,0.05728,0.32997,-0.3394,0.0049921,0.079561,-0.016933,0.056604,0.01958,-0.32382,-0.17345
16.558,0.001115,0.033491,3.1291,-0.00027643,0.054613,-0.01781,-0.27033,-0.44811,1,2,0.436,1,0,0,-0.46063,0.07229,0.043297,0.92107,-0.53359,0.03875,-0.056268,-0.073816,0.10243,0.46826,-0.45835,-0.12289,0.31327,0.9924,-0.30086,-2.6474,0.30408,1.9278,0.53055,-0.45437,0.33369,0.14864,-1.3449,0.17261,-0.76799,0.39092,-0.26454,-0.26176,-0.48789,0.17882,-4.3985,-1.8866,0.77062,-7.0681,-2.6598,-3.2053,-0.18452,0.0048723,0.056073,0.30212,-0.33866,0.018013,0.11635,-0.013082,0.048531,0.022991,-0.2575,-0.15269
16.59,0.0053287,0.031883,3.4771,-0.015806,0.058595,-0.42612,0.080983,-0.16703,1,2,0.476,1,0,0,-0.45758,0.1009,0.022698,0.81884,-0.52646,0.022836,-0.045205,-0.077249,0.094415,0.4778,-0.4925,-0.099235,0.063018,0.83754,-0.67569,-2.9911,0.08745,-2.5901,0.089629,0.096563,-0.60035,0.33746,-0.92368,0.8223,3.421,-4.7436,1.7769,1.1925,-1.1597,-0.46884,-5.7948,0.15297,-1.8011,-6.3648,-3.2094,-2.7301,-0.16531,0.046394,-0.02369,0.22152,-0.37234,0.063896,0.11811,-0.010177,0.018026,0.12592,-0.09832,-0.10453
16.611,0.0013311,0.021595,3.853,-0.026054,0.062002,-0.34263,0.14113,-0.30513,1,2,0.516,1,0,0,-0.44308,0.086786,0.024987,0.78832,-0.48644,-0.060569,-0.049401,-0.094797,0.075723,0.50183,-0.52478,-0.12242,0.99538,-1.0875,0.41753,0.44445,1.3997,1.4152,-0.26354,-0.57011,-0.322,0.64827,-0.99183,-1.5528,2.0247,-3.6813,1.0237,-4.1143,-4.2146,2.8441,-6.493,5.6902,-2.2121,-6.2242,-3.0145,-1.2502,-0.054941,0.095902,-0.15687,0.1319,-0.38391,-0.022234,0.023312,-0.00097162,0.00040992,0.39049,-0.24657,-0.036303
16.628,0.00082762,0.017062,5.8616,-0.034338,0.096389,-0.056003,0.43657,-0.39694,1,2,0.556,1,0,0,-0.44156,0.043679,0.029946,0.79557,-0.48305,0.031242,-0.052071,-0.1051,0.074578,0.5045,-0.54808,-0.18746,-0.0015967,-1.1438,-0.045193,0.19923,-0.40451,-1.2233,0.019992,-0.15917,0.12743,-0.16052,-0.52482,-1.2075,5.0966,-3.2784,2.744,-4.8176,-3.0344,-0.77529,-8.0861,6.9135,-2.6473,-6.4352,-1.4515,0.43369,0.0089292,0.13741,-0.17871,0.16116,-0.37162,-0.014863,-0.12636,-0.039344,0.0031284,0.53933,-0.40737,0.05021
16.654,0.0010474,0.025208,6.9631,-0.039821,0.11485,-0.1889,0.76751,-0.29993,1,2,0.604,1,0,0,-0.43431,0.019265,0.044823,0.79023,-0.52381,0.05849,-0.044823,-0.11425,0.081827,0.47742,-0.5397,-0.16658,0.18084,-0.48387,0.63054,-0.14589,-0.25834,4.5628,0.20551,-0.047806,-0.06333,-0.79836,0.70622,2.056,5.3759,0.28894,-2.744,-10.077,-3.8479,0.19809,-4.5381,9.0604,-3.8459,0.029084,2.8299,1.6616,0.11152,0.094662,-0.15182,0.23357,-0.33763,0.076288,-0.23825,-0.039812,-0.025396,0.56051,-0.45,0.093927
16.677,0.0010079,0.02308,7.5091,-0.042982,0.12385,-0.13162,0.6313,-0.41345,1,2,0.636,1,0,0,-0.42363,0.014305,0.042153,0.78374,-0.52735,0.064953,-0.045205,-0.11196,0.074578,0.47055,-0.51244,-0.1184,0.75415,-0.37358,-0.14713,-0.3992,-0.25157,-0.31124,-0.02852,0.16776,-0.4662,-0.36927,1.8675,3.1127,5.9344,4.0842,-4.9233,-11.686,-3.8862,-0.74613,-5.3759,8.3879,-2.1879,2.8212,1.38,0.60478,0.14091,0.13363,-0.15528,0.25902,-0.28631,0.098193,-0.29639,-0.043996,-0.024422,0.57754,-0.46656,0.10897
16.694,0.0013578,0.017376,7.6773,-0.044161,0.12655,-0.089917,0.40031,-0.534,1,2,0.676,1,0,0,-0.40379,0.0062943,0.027657,0.76772,-0.532,-0.029022,-0.056649,-0.10815,0.050546,0.49344,-0.47579,-0.082093,1.1185,-0.33674,-0.89599,-0.82195,-0.072152,-4.2429,-0.74632,0.066228,-1.2549,1.5687,1.6076,1.5337,6.7923,6.7281,-7.5715,-14.776,-4.4499,0.28545,-6.9217,9.1725,-0.70161,9.0807,-0.96997,0.6273,0.13828,0.14767,-0.16192,0.26082,-0.27185,0.064564,-0.32166,-0.048625,-0.022546,0.55172,-0.46032,0.091601
16.732,0.00082157,0.037791,7.9253,-0.049919,0.12905,-0.089917,0.40031,-0.534,1,2,0.716,1,0,0,-0.40379,0.0062943,0.027657,0.76772,-0.532,-0.029022,-0.056649,-0.10815,0.050546,0.49344,-0.47579,-0.082093,1.1185,-0.33674,-0.89599,-0.82195,-0.072152,-4.2429,-0.74632,0.066228,-1.2549,1.5687,1.6076,1.5337,6.7923,6.7281,-7.5715,-14.776,-4.4499,0.28545,-6.9217,9.1725,-0.70161,9.0807,-0.96997,0.6273,0.14281,0.13579,-0.1436,0.272,-0.25627,0.052433,-0.32312,-0.043126,-0.031553,0.5075,-0.43532,0.08398
16.778,0.0010825,0.04609,8.1326,-0.072506,0.12213,-0.51975,-0.26443,-1.5946,1,2,0.756,1,0,0,-0.29049,-0.019646,-0.024224,0.69562,-0.55194,0.043531,-0.21954,-0.061227,0.0066758,0.79824,-0.53869,0.12606,2.5614,-0.25947,-1.1829,-1.6164,-0.23139,-1.0567,-4.27,1.1819,-0.69363,7.5946,-3.1439,3.6914,11.838,12.491,-9.534,-2.8793,-1.5429,0.58246,-9.5092,0.83282,-1.7286,-1.1925,-2.1995,-1.2914,0.15571,0.063441,-0.10817,0.15173,-0.1463,0.0079886,-0.34916,-0.0099806,-0.064225,0.5832,-0.33769,0.11393
16.797,0.00099937,0.018705,7.9512,-0.091854,0.10417,-0.49082,-0.50859,-1.7332,1,2,0.796,1,0,0,-0.21344,-0.01812,-0.050164,0.66129,-0.5444,0.094454,-0.33169,-0.021935,-0.02079,0.97791,-0.64702,0.043501,2.9907,0.052202,-0.91701,-1.2776,0.41595,2.0805,-4.1556,1.674,-1.3373,6.4287,-3.813,-4.5264,8.3448,15.046,-9.6401,0.31993,0.17614,-0.62618,-7.3098,-6.4686,2.5989,-10.69,-1.5475,0.086309,0.18931,0.044958,-0.062776,0.13776,-0.02685,-0.023771,-0.37421,0.0066899,-0.068057,0.58795,-0.31797,0.070433
16.841,0.0051617,0.043908,7.66,-0.11869,0.061678,-0.47387,-0.74995,-1.3757,1,2,0.836,1,0,0,-0.13333,-0.012398,-0.082589,0.64221,-0.55429,0.050713,-0.43355,0.023461,-0.05169,1.0805,-0.71351,0.11843,2.5175,0.073873,-1.1154,-0.29151,-0.72985,-1.5775,-3.0516,1.1896,-0.84713,2.0891,-1.2354,6.8394,3.7003,14.619,-4.4222,0.90161,2.984,-0.33362,-3.5607,-7.0247,4.2719,-11.533,-0.23943,0.032298,0.18045,0.043662,-0.088642,0.072617,0.033617,-0.11575,-0.35664,0.069955,-0.08973,0.58231,-0.29871,0.10751
16.868,0.0011917,0.027125,7.5556,-0.12335,0.046754,-0.25306,-0.79163,-0.43952,1,2,0.88,1,0,0,-0.070382,-0.0028611,-0.11082,0.65671,-0.57811,0.085085,-0.49802,0.037194,-0.068475,1.0302,-0.68307,0.0016969,1.4311,0.10598,-0.4834,0.6316,-0.74426,0.44651,-1.3863,0.029677,-0.26506,-2.6677,1.9014,-9.7553,-1.6058,12.881,-2.5022,-1.5415,4.5847,-1.7375,-1.8851,-6.1721,3.1791,-2.3558,-1.5902,1.3264,0.13745,-0.052911,-0.050429,0.0076349,-0.047567,-0.074813,-0.28782,0.15138,-0.14481,0.52078,-0.26283,0.03457
