t_s,L_Ankle_Roll_ser,L_Ankle_Roll_par,R_Ankle_Roll_ser,R_Ankle_Roll_par
1.52189,0.012208,0.0852598,-0.0046306,0.0791562
1.52478,0.012208,0.0852598,-0.0046306,0.0791562
1.52609,0.012208,0.0852598,-0.0046306,0.0791562
1.52829,0.012208,0.0852598,-0.0046306,0.0791562
1.53013,0.012208,0.0852598,-0.0046306,0.0791562
1.53208,0.012208,0.0852598,-0.0046306,0.0791562
1.53435,0.012208,0.0852598,-0.0046306,0.0791562
1.5363,0.012208,0.0852598,-0.0046306,0.0791562
1.53828,0.012208,0.0852598,-0.0046306,0.0791562
1.54087,0.012208,0.0852598,-0.0046306,0.0791562
1.54247,0.012208,0.0852598,-0.0046306,0.0791562
1.54601,0.0126004,0.0852598,-0.0046306,0.0791562
1.54838,0.0126007,0.0852598,-0.0046306,0.0791562
1.5507,0.0126007,0.0852598,-0.0046306,0.0791562
1.55407,0.0126007,0.0852598,-0.0046306,0.0791562
1.55632,0.0126007,0.0852598,-0.0046306,0.0791562
1.56183,0.0126007,0.0852598,-0.0046306,0.0791562
1.56373,0.0126007,0.0852598,-0.0046306,0.0791562
1.57006,0.0126007,0.0852598,-0.0046306,0.0791562
1.57096,0.0126007,0.0852598,-0.0046306,0.0791562
1.57149,0.0126007,0.0852598,-0.0046306,0.0791562
1.57197,0.0126007,0.0852598,-0.0046306,0.0791562
1.57275,0.0126007,0.0852598,-0.0046306,0.0791562
1.57328,0.0126007,0.0852598,-0.0046306,0.0791562
1.57375,0.0126007,0.0852598,-0.0046306,0.0791562
1.57424,0.0126007,0.0852598,-0.0046306,0.0791562
1.57504,0.0126007,0.0852598,-0.0046306,0.0791562
1.57555,0.0126007,0.0852598,-0.0046306,0.0791562
1.57703,0.0126007,0.0852598,-0.0046306,0.0791562
1.57913,0.0126007,0.0852598,-0.0046306,0.0791562
1.58109,0.0126007,0.0852598,-0.0046306,0.0791562
1.583,0.012993,0.0852598,-0.0046306,0.0791562
1.58493,0.0129933,0.0852598,-0.0046306,0.0791562
1.58716,0.0129933,0.0852598,-0.0046306,0.0791562
1.5892,0.0129933,0.0852598,-0.0046306,0.0791562
1.59128,0.0129933,0.0852598,-0.0046306,0.0791562
1.59324,0.0129933,0.0852598,-0.0046306,0.0791562
1.59514,0.0129933,0.0852598,-0.0046306,0.0791562
1.59714,0.0129933,0.0852598,-0.0046306,0.0791562
1.59912,0.0133853,0.0852598,-0.0046306,0.0791562
1.60107,0.0133857,0.0852598,-0.0046306,0.0791562
1.60339,0.0133857,0.0852598,-0.0046306,0.0791562
1.60536,0.0133857,0.0852598,-0.0046306,0.0791562
1.60743,0.0133857,0.0852598,-0.0046306,0.0791562
1.60934,0.0137775,0.0852598,-0.0046306,0.0791562
1.61132,0.0137779,0.0852598,-0.0046306,0.0791562
1.61329,0.0137779,0.0852598,-0.0046306,0.0791562
1.6153,0.0141696,0.0852598,-0.0046306,0.0791562
1.6173,0.0141699,0.0852598,-0.0046306,0.0791562
1.61935,0.0141699,0.0852598,-0.0046306,0.0791562
1.62131,0.0145615,0.0852598,-0.0046306,0.0791562
1.62336,0.0145618,0.0852598,-0.0046306,0.0791562
1.62537,0.0149532,0.0852598,-0.0046306,0.0791562
1.62744,0.0149535,0.0852598,-0.0046306,0.0791562
1.6295,0.0153447,0.0852598,-0.0046306,0.0791562
1.6314,0.015345,0.0852598,-0.0046306,0.0791562
1.63333,0.015345,0.0852598,-0.0046306,0.0791562
1.63532,0.015345,0.0852598,-0.0046306,0.0791562
1.63727,0.015345,0.0852598,-0.0046306,0.0791562
1.63928,0.015345,0.0852598,-0.0046306,0.0791562
1.64127,0.015345,0.0852598,-0.0046306,0.0791562
1.64334,0.015345,0.0852598,-0.0046306,0.0791562
1.64531,0.015345,0.0852598,-0.0046306,0.0791562
1.6473,0.0149532,0.0852598,-0.0046306,0.0791562
1.6494,0.0149535,0.0852598,-0.0046306,0.0791562
1.65136,0.0149535,0.0852598,-0.0046306,0.0791562
1.65344,0.0149535,0.0852598,-0.0046306,0.0791562
1.65528,0.0149535,0.0852598,-0.0046306,0.0791562
1.65724,0.0153447,0.0852598,-0.0046306,0.0791562
1.65933,0.015345,0.0852598,-0.0046306,0.0791562
1.66129,0.015345,0.0852598,-0.0046306,0.0791562
1.6633,0.015345,0.0852598,-0.0046306,0.0791562
1.6653,0.015345,0.0852598,-0.0046306,0.0791562
1.66734,0.015345,0.0852598,-0.0046306,0.0791562
1.66929,0.015345,0.0852598,-0.0046306,0.0791562
1.67134,0.015345,0.0852598,-0.0046306,0.0791562
1.67335,0.015345,0.0852598,-0.0046306,0.0791562
1.67531,0.015345,0.0852598,-0.0046306,0.0791562
1.6773,0.0149532,0.0852598,-0.0046306,0.0791562
1.67931,0.0149535,0.0852598,-0.0046306,0.0791562
1.68133,0.0149535,0.0852598,-0.0046306,0.0791562
1.68335,0.0149535,0.0852598,-0.0046306,0.0791562
1.68543,0.0153447,0.0852598,-0.0046306,0.0791562
1.68757,0.0149532,0.0852598,-0.0046306,0.0791562
1.68936,0.0149535,0.0852598,-0.0046306,0.0791562
