t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,gate_rej_legs,gate_rej_total,gate_samples,gate_dt_p99_ms,gate_dt_max_ms
15.47,0.0014479,0.023169,4238,0,5.6641,0.0064882,0.098646,0.024278,0.12962,0.044993,1,2,0.04,99.572,0.6,0,0,-0.20275,-0.0032425,0.00095369,0.3954,-0.2602,0.0079052,-0.19551,0.0089647,-0.0020981,0.40188,-0.25911,-0.0050213,-0.01109,-0.0083517,-0.0039159,0.03767,-0.12124,-0.032633,-0.015182,-2.5632e-05,0.004129,0.102,-0.088035,0.060724,1.4662,1.1048,-0.21853,0.20359,3.8175,-1.8441,-1.0473,-3.0952,0.51758,-1.2506,2.782,1.2937,-0.05613,0.0022069,0.051593,0.14972,0.038627,-0.10569,0.091645,-0.074851,0.14809,-0.087467,-0.20871,-0.16485,0,0,4244,15,1003.9
15.487,0.0055366,0.016805,4246,0.017303,5.7575,0.006769,0.10026,0.021605,0.12495,0.042552,1,2,0.095595,99.585,0.6,0,0,-0.20314,-0.0032425,0.00095369,0.39654,-0.26271,0.0056847,-0.19627,0.0089647,-0.0020981,0.40303,-0.26059,-0.0060422,-0.03352,0.003022,-0.0076914,0.030301,-0.10555,-0.042949,-0.03208,-0.00048954,-0.00011055,0.03847,-0.040681,-0.02429,1.1869,1.2407,-0.034505,0.84344,3.5072,-1.0978,-1.4662,-3.4982,0.51758,-0.90161,2.3823,1.5275,-0.14175,0.017122,0.023659,0.35124,-0.2037,-0.030348,0.11418,-0.18937,0.15901,-0.10972,-0.22724,-0.217,0,0,4250,15,1003.9
15.499,0.0014689,0.011286,4252,0.011617,5.8446,0.0070014,0.10177,0.021163,0.13649,0.019449,1,2,0.12174,99.584,0.6,0,0,-0.20314,-0.0032425,0.00095369,0.39693,-0.26344,0.0061958,-0.19627,0.0089647,-0.0020981,0.40303,-0.26106,-0.006068,-0.021978,-0.0022445,-0.0013677,0.013324,-0.049985,0.046645,0.010813,-0.0012682,0.0013012,0.014443,-0.052606,0.0040292,1.4662,1.0368,-0.12652,0.61077,3.5167,-1.4269,-1.4662,-2.7656,0.72462,-0.78527,2.7311,1.576,-0.21173,0.039861,0.036083,0.43338,-0.25337,0.0012972,0.11965,-0.18687,0.12537,-0.062639,-0.20272,-0.22679,0,0,4255,15,1003.9
15.516,0.0051832,0.015437,4258,0.017214,6.1513,0.0074949,0.1071,0.018992,0.18715,-0.015158,1,2,0.15529,99.584,0.6,0,0,-0.20352,-0.0032425,0.00095369,0.39807,-0.26466,0.0067344,-0.19627,0.0089647,-0.0020981,0.40303,-0.26323,-0.006657,-0.0058881,-0.0054386,-1.5709e-05,0.024859,-0.048616,0.04128,-0.0041813,-0.0076911,0.0055524,-0.00066295,-0.07931,-0.044067,1.0473,1.8186,-0.10352,0.20359,4.086,-1.789,-0.20945,-2.6557,0.54059,-0.78527,3.3436,1.4617,-0.24396,0.040299,0.045623,0.45139,-0.26476,0.007751,0.1266,-0.17254,0.11442,-0.033431,-0.18044,-0.22758,0,0,4261,15,1003.9
15.531,0.0013811,0.0058555,4267,0.015524,6.513,0.0076956,0.11341,0.0047246,0.20894,-0.017238,1,2,0.19787,99.59,0.6,0,0,-0.20428,-0.0024796,0.00095369,0.39769,-0.2783,0.026575,-0.19436,0.010872,-0.0024796,0.40341,-0.27801,-0.025124,-0.0068967,0.060262,-0.0097591,-0.022602,-0.56879,0.77805,0.083464,0.043947,-0.016695,0.043375,-0.62925,-0.52799,0.62835,0.52689,-0.24154,-0.087253,2.1676,-1.2414,-0.34908,-1.3087,0.33355,-0.31993,2.0328,0.43312,-0.24944,0.036072,0.051038,0.42918,-0.25558,0.010491,0.14204,-0.13864,0.10234,-0.0076935,-0.15385,-0.21503,0,0,4269,15,1003.9
15.559,0.0016328,0.013194,4276,0.027717,6.6713,0.0048217,0.11634,-0.085636,0.16027,-0.055331,1,2,0.2388,99.595,0.6,0,0,-0.20924,-0.00095369,0.0059129,0.40455,-0.29463,0.017037,-0.1894,0.010872,0.010872,0.4057,-0.30435,-0.037128,-0.3735,0.080351,0.39712,0.55828,-0.66341,-1.2751,0.4274,-0.10209,1.0754,0.012712,-1.4265,-1.4673,-3.0021,0.66286,2.2121,5.8725,4.739,-4.0595,5.0966,-6.0609,7.7837,-5.8022,-3.2901,-3.5137,-0.2455,0.053194,0.047906,0.39848,-0.22264,-0.0092163,0.14998,-0.13117,0.091395,0.029785,-0.10916,-0.19584,0,0,4280,15,1003.9
15.576,0.0048999,0.015587,4283,0.017388,6.5134,0.0054326,0.11355,-0.14329,0.02418,0.081233,1,2,0.27572,99.6,0.6,0,0,-0.22183,0.0017166,0.017357,0.4305,-0.30409,-0.038523,-0.17605,0.010872,0.039101,0.39883,-0.33815,-0.12027,-0.9261,0.16406,0.81129,1.8987,-0.69959,-3.6386,0.93707,-0.024552,1.8955,-0.49227,-2.2139,-5.7615,-6.0741,0.49289,0.35656,15.638,-0.69165,-1.3813,5.7948,-15.279,7.9163,-7.9312,-4.1714,-4.3031,-0.22061,0.076321,0.047566,0.33884,-0.18579,-0.019331,0.151,-0.10812,0.074006,0.041945,-0.095924,-0.18705,0,0,4287,15,1003.9
15.6,0.0013009,0.013298,4293,0.023363,6.1272,0.013915,0.10603,0.25079,-0.26399,0.48395,1,2,0.31972,99.598,0.6,0,0,-0.28897,0.014305,0.033379,0.57431,-0.37745,-0.039404,-0.14439,0.021935,0.056649,0.38472,-0.37794,-0.16625,-3.0016,0.62357,0.46316,6.5686,-3.4494,1.9812,1.2395,0.17137,0.48201,-0.50357,-1.1743,-0.031259,-6.7722,1.8186,0.057509,8.6975,-2.4193,2.1836,5.0966,-18.071,5.8481,-3.622,-2.7165,-2.7616,-0.21712,-0.0013266,0.073069,0.29467,-0.2035,0.0076562,0.13151,-0.026405,0.076263,0.015275,-0.062196,-0.15827,0,0,4298,15,1003.9
15.621,0.0012959,0.020736,4300,0.021504,5.8253,0.018648,0.099952,0.3088,-0.40083,0.57204,1,2,0.34787,99.574,0.6,0,0,-0.34619,0.013924,0.04406,0.70287,-0.44209,0.048425,-0.12379,0.014305,0.062753,0.37938,-0.38716,-0.15086,-3.6618,-0.14966,0.76719,7.9628,-3.8363,5.6513,1.2816,-0.51123,0.28995,-0.28397,-0.53615,0.84863,-5.0966,2.6557,-0.74762,-1.4251,0.14442,-0.94861,4.2588,-12.92,4.5976,-0.26176,-1.1357,-2.7268,-0.22096,0.0051408,0.072749,0.2805,-0.20674,0.042115,0.1213,-0.02506,0.037855,0.040978,-0.084929,-0.15382,0,0,4304,15,1003.9
15.641,0.007709,0.018884,4306,0.019217,5.3736,0.023003,0.09093,0.28249,-0.43407,0.49505,1,2,0.40288,99.603,0.6,0,0,-0.38624,0.013161,0.052071,0.7948,-0.48457,0.097128,-0.10891,0.0047684,0.060464,0.38281,-0.38574,-0.14605,-3.227,-0.021321,0.65384,7.5804,-3.3766,4.0012,1.2286,-0.74996,-0.11762,0.26127,0.085996,0.39207,-1.4662,1.8526,-0.080513,-6.6462,1.4168,-2.7084,3.421,-12.413,4.4222,-0.72711,-1.757,-3.1782,-0.22556,-0.0060095,0.073351,0.30559,-0.23045,0.060731,0.11807,-0.0088378,0.0079785,0.093473,0.016018,-0.16731,0,0,4308,15,1003.9
