t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,gate_rej_legs,gate_rej_total,gate_samples,gate_dt_p99_ms,gate_dt_max_ms
30.768,0.0033286,0.044529,12352,0,6.5079,0.0062505,0.11341,0.036234,0.25769,0.020253,1,2,0.04,98.491,0.6,0,0,-0.20237,0.0059129,0.00019074,0.39616,-0.26266,0.004738,-0.19665,-0.0062943,-0.0013352,0.40265,-0.26037,0.002927,-0.003815,-0.0065853,-0.00548,-0.010115,-0.092832,0.051736,-0.061872,-0.0024267,0.0049744,0.11637,-0.11005,-0.022399,1.0473,-2.2945,-0.19553,0.72711,3.4119,-1.108,-0.069817,1.8186,0.47158,-0.61077,2.687,-0.92613,-0.060381,0.0099363,0.058101,0.17342,0.061313,-0.085885,0.11243,-0.085673,0.14827,-0.062536,-0.18338,-0.15506,0,0,12359,10,1011.1
30.782,0.0051941,0.01382,12361,0.014722,6.6929,0.0066896,0.11662,0.030637,0.23191,0.072324,1,2,0.13468,98.482,0.6,0,0,-0.20275,0.0059129,0.00019074,0.39616,-0.26357,0.0038404,-0.19665,-0.0062943,-0.0013352,0.40227,-0.26249,0.0033022,-0.010821,-0.0073046,0.0056244,0.011789,-0.050302,-0.0253,0.016314,-0.0050874,0.003493,-0.004721,-0.1148,0.02408,0.76799,-2.1245,-0.080513,0.5526,4.0192,-0.79863,-1.0473,1.6486,0.49458,-0.78527,2.8475,-1.049,-0.1689,0.015358,0.031742,0.36698,-0.23751,-0.029091,0.14017,-0.18407,0.15776,-0.073328,-0.19049,-0.21109,0,0,12363,10,1011.1
30.813,0.0013956,0.020731,12369,0.030827,7.6851,0.0092112,0.13382,0.024281,0.24465,0.041244,1,2,0.17492,98.492,0.6,0,0,-0.20314,0.0059129,0.00019074,0.39654,-0.26452,0.0038891,-0.19665,-0.0062943,-0.0013352,0.40227,-0.26557,0.0036376,-0.014976,-0.0079887,0.0047882,-0.002749,-0.028116,0.0082142,-0.0041652,0.00017882,0.0034024,0.0045564,-0.094462,-0.019207,1.0473,-2.0905,-0.12652,0.43626,4.0087,-1.0786,-1.3265,1.6826,0.35656,-0.43626,3.9897,-1.1614,-0.23218,0.037462,0.045547,0.42427,-0.26032,-0.0041504,0.1491,-0.16352,0.1175,-0.02342,-0.16418,-0.21194,0,0,12375,10,1011.1
30.826,0.0012622,0.012094,12377,0.012433,7.7977,0.0097639,0.13575,0.028395,0.16224,0.014751,1,2,0.21693,98.502,0.6,0,0,-0.2039,0.0070573,0.00057221,0.39731,-0.28161,0.013393,-0.19551,-0.0089647,-0.0017166,0.40379,-0.28947,0.006975,0.0040646,0.011082,0.0069286,-0.0041732,-0.62981,0.083723,0.028783,-0.068286,0.0038819,0.086077,-0.86505,0.17003,0.76799,-0.62886,-0.034505,-0.20359,3.3365,-0.44445,0.20945,1.2407,0.44857,-0.43626,2.5872,-0.68593,-0.24493,0.032702,0.054532,0.4084,-0.25703,-0.0034693,0.14954,-0.13987,0.10277,0.001537,-0.14979,-0.19718,0,0,12381,10,1011.1
30.847,0.0024738,0.011385,12388,0.021745,7.945,0.0077706,0.13845,-0.088392,0.060515,0.16789,1,2,0.26426,98.469,0.6,0,0,-0.20504,0.012779,0.00095369,0.39883,-0.31216,0.0066847,-0.19322,-0.010491,0.00057221,0.41333,-0.31171,0.0032205,-0.13828,0.17159,0.074996,0.14506,-0.48383,-0.24283,0.29137,-0.13009,0.25811,0.19365,-0.26461,-0.37648,-2.8625,-0.56088,2.8165,6.6462,5.1121,-2.4135,4.6777,-2.1245,6.6262,-4.6769,-1.0714,-3.9401,-0.23034,0.036364,0.05456,0.35377,-0.22613,-0.020586,0.14389,-0.11759,0.082998,0.032265,-0.1303,-0.17161,0,0,12390,10,1011.1
30.874,0.0013253,0.021366,12393,0.02696,7.9257,0.0057066,0.13821,-0.17747,0.021557,0.17711,1,2,0.29585,98.509,0.6,0,0,-0.21115,0.015831,0.011635,0.41905,-0.31288,-0.021543,-0.1772,-0.022316,0.030327,0.40951,-0.3368,-0.060471,-0.41496,0.21557,0.76936,1.4865,-0.068238,-1.9562,1.0875,-0.79295,2.1546,-0.30853,-1.7787,-4.6513,-7.9567,-1.2407,1.2307,15.56,0.43169,-1.484,7.1804,-9.733,6.4446,-3.833,-0.75831,-5.1326,-0.21397,0.076898,0.037123,0.2956,-0.17277,-0.04715,0.17061,-0.13523,0.064863,0.08409,-0.079381,-0.14029,0,0,12400,10,1011.1
30.884,0.0018327,0.0084009,12402,0.0091611,7.8322,0.0064584,0.13655,-0.032345,-0.19227,0.54903,1,2,0.34098,98.517,0.6,0,0,-0.25616,0.020027,0.030327,0.52319,-0.35304,-0.047411,-0.14363,-0.010109,0.066567,0.39273,-0.38091,-0.1372,-2.4018,0.17637,0.62063,5.0758,-2.0632,-0.73058,1.4533,0.95709,1.0125,-0.60453,-1.3604,-1.2547,-5.6552,-0.4589,-0.19553,8.0078,-2.8413,0.49055,5.2363,-15.667,7.9163,-3.9736,-2.9263,-3.2781,-0.20911,0.014413,0.073434,0.27281,-0.18965,-0.0011541,0.16986,-0.093,0.093171,0.074994,0.04985,-0.15038,0,0,12402,10,1011.1
30.934,0.0016321,0.039782,12407,0.050336,7.0011,0.015251,0.12124,0.17266,-0.4607,0.5662,1,2,0.37835,98.321,0.6,0,0,-0.28744,0.020027,0.033761,0.58995,-0.38448,-0.040065,-0.12722,-0.0082017,0.076104,0.38434,-0.38765,-0.13606,-2.9485,0.027374,0.39843,6.3704,-3.0125,0.48212,1.5729,0.28523,0.96623,-0.7814,-0.7625,-0.20878,-5.5155,1.1727,0.28755,5.9429,-2.4417,0.74876,3.421,-14.347,3.6956,-1.3088,-1.9477,-3.3791,-0.18664,0.012665,0.07379,0.23356,-0.19465,0.024345,0.14385,-0.060052,0.058894,0.068601,0.037751,-0.155,0,0,12412,10,1011.1
30.95,0.0015424,0.011961,12414,0.01635,6.4443,0.020281,0.11064,0.27385,-0.70638,0.84987,1,2,0.46675,98.312,0.6,0,0,-0.34771,0.010491,0.045205,0.72042,-0.45091,0.013061,-0.10128,-0.016213,0.082971,0.3748,-0.38834,-0.13667,-3.4136,-0.55568,0.75695,7.1981,-3.6482,3.2648,1.4478,-0.41337,0.21269,-0.38791,-0.0094986,0.13043,-5.0966,3.1685,-0.6556,-2.3558,0.26859,-0.040724,2.7229,-11.712,2.8648,1.3088,-0.1161,-3.0462,-0.14297,0.044467,0.0045324,0.20392,-0.3215,0.051368,0.0762,-0.033778,0.0019504,0.092536,0.12068,-0.15396,0,0,12417,10,1011.1
30.974,0.0015865,0.01357,12422,0.023527,5.3191,0.026403,0.089013,0.28254,-0.74486,0.64718,1,2,0.51062,98.314,0.6,0,0,-0.39998,0.0062943,0.059319,0.84401,-0.51003,0.040389,-0.077249,-0.024605,0.078775,0.38396,-0.38584,-0.12144,-2.3426,-0.1118,0.64711,5.8486,-2.6473,0.091276,1.0732,-0.44927,-0.21836,0.66375,0.091768,0.92248,-1.3265,2.8755,-0.81663,-11.456,2.2569,-2.1468,0.76799,-8.1264,1.7527,0.95978,0.4779,-2.1615,-0.11815,0.06218,-0.042298,0.22347,-0.38843,0.072842,0.022923,-0.0043345,-0.023573,0.22277,0.23069,-0.097652,0,0,12426,10,1011.1
