t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,gate_rej_legs,gate_rej_total,gate_samples,gate_dt_p99_ms,gate_dt_max_ms
37.326,0.0015944,0.01822,12945,0,4.3306,0.009077,0.075038,0.026504,0.29919,0.070722,0,0,0,99.778,0,0,0,-0.19932,-0.011254,0.0040055,0.39845,-0.25799,0.0063715,-0.19551,0.013161,-0.0040055,0.40379,-0.25155,-0.0055495,-0.11523,-0.0090833,0.00015305,0.10252,-0.074573,0.0022344,-0.017674,-0.017367,0.00017591,0.026438,-0.23483,0.10193,0.62835,3.3516,0.51758,-0.66894,2.6537,-1.5631,-1.0473,-3.7179,0.88564,-1.8323,2.4216,1.1319,0.070811,0.00080953,0.053738,-0.077297,0.27308,-0.0032186,0.11027,-0.035079,-0.069237,-0.11259,0.34115,0.0083873,0,0,12949,10,1009.4
37.333,0.0013236,0.0069361,12951,0.0073339,4.4141,0.0092166,0.076489,0.031524,0.35138,0.058194,0,0,0,99.777,0,0,0,-0.20123,-0.011254,0.0040055,0.39921,-0.25916,0.0059648,-0.19665,0.013161,-0.0040055,0.40379,-0.25564,-0.0020193,-0.12368,-0.0034861,0.0063375,0.022367,-0.073084,-0.014423,-0.063854,-0.00064915,0.0080512,0.010946,-0.27176,0.19826,0.62835,3.9744,0.12652,-0.3781,2.8486,-1.614,-0.20945,-4.3773,1.0237,-1.1925,2.3303,0.46618,0.055268,-0.00044233,0.058154,-0.038291,0.31879,-0.0043226,0.10674,-0.034195,-0.059047,-0.055508,0.42452,-0.0078434,0,0,12951,10,1009.4
37.356,0.001432,0.0048144,12960,0.023089,4.8809,0.0099549,0.084605,0.031586,0.36989,0.028446,0,0,0,99.781,0,0,0,-0.20199,-0.011254,0.0040055,0.39921,-0.26106,0.0060675,-0.19741,0.013161,-0.0040055,0.40379,-0.25816,-0.0049705,-0.043141,-0.0057064,-0.003215,-0.0091119,-0.09222,0.037793,-0.033411,-0.0063324,-0.010221,-0.0017967,-0.09556,-0.18162,-0.069817,3.7912,0.14952,0.14542,3.2894,-1.5322,-0.62835,-3.9377,0.74762,-0.95978,1.7777,0.76627,0.046909,-0.0040191,0.053112,-0.023195,0.32207,-0.0017599,0.11843,-0.035119,-0.052072,-0.040615,0.4596,-0.0076522,0,0,12961,10,1009.4
37.376,0.0050573,0.0099521,12967,0.020479,5.597,0.01144,0.097016,0.03288,0.3453,0.031297,0,0,0,99.781,0,0,0,-0.20199,-0.011254,0.0032425,0.39921,-0.26228,0.0066053,-0.19818,0.013161,-0.0040055,0.40379,-0.25885,-0.0045364,-0.0093613,-0.0063568,-0.041591,0.00047169,-0.075091,0.018713,-0.028686,0.00027048,0.00079435,0.0021975,-0.055829,0.025894,1.4662,3.8645,-0.42557,0.3781,4.1502,-1.3256,0.069817,-3.6081,1.0237,-1.1343,2.307,1.0895,0.035895,-0.0080682,0.053526,-0.017853,0.30939,0.00085656,0.12577,-0.036985,-0.046812,-0.03561,0.4734,-0.0085684,0,0,12969,10,1009.4
37.396,0.0057856,0.0089755,12975,0.019192,5.9451,0.012503,0.10301,0.044664,0.25169,0.028688,0,0,0,99.776,0,0,0,-0.20352,-0.012016,0.0013352,0.39921,-0.28021,0.026707,-0.19703,0.016213,-0.004387,0.40494,-0.27719,-0.028879,-0.024787,0.044866,-0.016322,-0.010316,-0.6495,0.60004,0.016806,0.13439,-0.054476,0.081353,-0.59505,-0.4158,0.069817,1.2407,0.080513,0.14542,2.5051,-1.383,-0.20945,-1.9206,0.47158,-0.90161,1.3653,0.66891,0.0019296,-0.020549,0.057282,-0.0043752,0.25573,0.0081597,0.14721,-0.050686,-0.03645,-0.042122,0.50907,0.0031209,0,0,12976,10,1009.4
37.424,0.0015183,0.011569,12983,0.028226,6.0044,0.010056,0.10432,-0.082477,0.095124,0.066028,0,0,0,99.777,0,0,0,-0.19017,-0.011254,0.012398,0.39311,-0.27157,0.031316,-0.18254,0.018883,-0.020027,0.3996,-0.2579,-0.014819,0.85163,0.017074,0.77714,-0.39113,0.86181,0.17501,0.95641,0.051411,-1.0048,-0.44307,1.4599,0.5488,1.0473,0.86681,1.4147,-1.5415,11.804,-1.8253,5.9344,-4.2308,-0.6096,-2.8212,15.316,1.5223,-0.0089408,-0.01034,0.05073,-0.0087567,0.25938,0.03475,0.1886,-0.043374,-0.012069,0.0063844,0.54206,-0.00974,0,0,12986,10,1009.4
37.436,0.0052392,0.0088508,12990,0.011888,5.7609,0.0075089,0.10027,-0.19475,-0.20263,0.23627,0,0,0,99.774,0,0,0,-0.16499,-0.0093462,0.033379,0.37747,-0.2271,0.029723,-0.15164,0.018502,-0.045205,0.37594,-0.21172,-0.032982,1.2144,0.095387,1.0427,-0.80164,2.3726,-0.14517,1.6414,-0.032323,-1.0907,-1.2744,2.5088,-0.84193,-1.1869,0.62886,-0.034505,0.61077,11.542,-1.7648,3.0021,-4.4505,0.14952,0.84344,16.193,1.3952,0.0085195,0.0089399,0.051365,-0.03746,0.2557,0.037748,0.20147,-0.033949,-0.031139,-0.0092942,0.48433,-0.018407,0,0,12991,10,1009.4
37.456,0.00138,0.0044551,12998,0.019832,5.4375,0.0074918,0.094608,-0.04586,-0.29874,0.30667,0,0,0,99.781,0,0,0,-0.15164,-0.010109,0.046349,0.36374,-0.17308,0.024515,-0.12264,0.018883,-0.053597,0.34924,-0.14828,-0.019994,0.67001,-0.035879,0.66469,-0.7242,2.9599,-0.39331,1.5154,0.019624,-0.3893,-1.4423,3.5143,0.99385,-1.6058,0.73084,-0.28755,1.6578,8.2484,-1.8361,3.0021,-5.3195,0.88564,2.4722,14.369,0.028056,0.041626,-0.012559,0.063388,-0.076786,0.24014,0.048383,0.2046,-0.028265,-0.058377,-0.08109,0.43332,0.0013366,0,0,12999,10,1009.4
37.484,0.0015631,0.0118,13006,0.028069,4.9615,0.0076325,0.086258,-0.023668,-0.32185,0.38265,0,0,0,99.775,0,0,0,-0.15049,-0.011254,0.052834,0.35916,-0.099775,0.017118,-0.10014,0.016976,-0.050164,0.32635,-0.072502,-0.0075119,-0.16771,-0.046868,0.20703,-0.076889,3.381,-0.19664,0.88061,-0.16097,0.21779,-0.89853,3.471,0.2625,-3.1418,-0.4589,0.31055,1.5996,3.4442,-0.76832,4.1192,-4.6703,0.81663,4.4659,11.664,0.44738,0.055766,-0.011271,0.066893,-0.11657,0.2068,0.02688,0.1968,-0.011931,-0.071712,-0.13454,0.33978,0.013584,0,0,13009,10,1009.4
37.503,0.0012721,0.011115,13014,0.019621,4.7954,0.0082814,0.083286,-0.045904,-0.14826,0.5696,0,0,0,99.775,0,0,0,-0.15965,-0.012779,0.052834,0.36793,-0.049019,0.014146,-0.092126,0.012398,-0.045586,0.31834,-0.014906,-0.0067865,-0.56,-0.077225,0.0036418,0.55422,2.6829,-0.071151,0.44946,-0.23987,0.22742,-0.38632,3.0342,-0.0089878,-2.5832,-0.79883,0.67861,0.5526,1.0317,-0.38913,2.5832,-5.2453,0.42557,4.1143,10.746,1.0241,0.086745,0.00077859,0.063864,-0.12037,0.26347,0.020384,0.1896,-0.0042349,-0.077368,-0.13837,0.32603,0.0083818,0,0,13017,10,1009.4
