path,batch,classification,valid_scope,reason
K1_walk/v7/2026-07-26-19-36-15_E0_armB_armsdown_20260727-073239/BEST_CHECKPOINT,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_E0_armB_armsdown_20260727-073239/report.md,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_E0_armB_armsdown_20260727-073239/report_stress_jitter.md,E,B_LIMITED,legacy goal-churn survival only,external force OFF; speed confounds oscillation comparison
K1_walk/v7/2026-07-26-19-36-15_E0_armB_armsdown_20260727-073239/selection.md,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_E1_path_20260727-081919/BEST_CHECKPOINT,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_E1_path_20260727-081919/report.md,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_E1_path_20260727-081919/report_stress_jitter.md,E,B_LIMITED,legacy goal-churn survival only,external force OFF; speed confounds oscillation comparison
K1_walk/v7/2026-07-26-19-36-15_E1_path_20260727-081919/selection.md,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_E2_robust_20260727-073630/BEST_CHECKPOINT,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_E2_robust_20260727-073630/report.md,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_E2_robust_20260727-073630/report_stress_jitter.md,E,B_LIMITED,legacy goal-churn survival only,external force OFF; speed confounds oscillation comparison
K1_walk/v7/2026-07-26-19-36-15_E2_robust_20260727-073630/selection.md,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_V7_full_20260727-083739/BEST_CHECKPOINT,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_V7_full_20260727-083739/report.md,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-26-19-36-15_V7_full_20260727-083739/report_stress_jitter.md,E,B_LIMITED,legacy goal-churn survival only,external force OFF; speed confounds oscillation comparison
K1_walk/v7/2026-07-26-19-36-15_V7_full_20260727-083739/selection.md,E,C_INVALID,none for native-arm claim,"wrong base config/path task used, path included in waypoint gate; BEST inherited invalid selection"
K1_walk/v7/2026-07-28-17-02-35_G1_speed_20260729-171907/BEST_CHECKPOINT,G,B_LIMITED,best among sampled tail candidates,"tail-only selection, not exhaustive and excludes warm-start/early fine-tune interval"
K1_walk/v7/2026-07-28-17-02-35_G1_speed_20260729-171907/report.json,G,A_CORE_WITH_EXCLUSIONS,clean pose/heading/falls/category and raw body-speed only,"one-sided path_lag maps inside-floor collapse to zero error; grid 30/30 and 0.9796 success are invalid mastery evidence; grid state was not checkpointed; speed_tracking mixes waypoint, segment peak reset-contaminated, v7_extras snapshot only"
K1_walk/v7/2026-07-28-17-02-35_G1_speed_20260729-171907/report.md,G,A_CORE_WITH_EXCLUSIONS,clean pose/heading/falls/category and raw body-speed only,"one-sided path_lag maps inside-floor collapse to zero error; grid 30/30 and 0.9796 success are invalid mastery evidence; grid state was not checkpointed; speed_tracking mixes waypoint, segment peak reset-contaminated, v7_extras snapshot only"
K1_walk/v7/2026-07-28-17-02-35_G1_speed_20260729-171907/report_stress_jitter.md,G,B_LIMITED,common-base goal-churn survival only,stress omitted run config/provenance and external force was OFF
K1_walk/v7/2026-07-28-17-02-35_G1_speed_20260729-171907/rollout_env0.mp4,G,B_LIMITED,qualitative env0 only,single deterministic video; not statistical evidence
K1_walk/v7/2026-07-28-17-02-35_G1_speed_20260729-171907/selection.md,G,B_LIMITED,best among sampled tail candidates,"tail-only selection, not exhaustive and excludes warm-start/early fine-tune interval"
K1_walk/v7/2026-07-28-17-02-35_G2_robust_20260729-021910/BEST_CHECKPOINT,G,B_LIMITED,best among sampled tail candidates,"tail-only selection, not exhaustive and excludes warm-start/early fine-tune interval"
K1_walk/v7/2026-07-28-17-02-35_G2_robust_20260729-021910/report.json,G,A_CORE_WITH_EXCLUSIONS,clean own-task core only,"pose/heading/falls/category valid; speed_tracking mixes waypoint, segment peak reset-contaminated, v7_extras snapshot only"
K1_walk/v7/2026-07-28-17-02-35_G2_robust_20260729-021910/report.md,G,A_CORE_WITH_EXCLUSIONS,clean own-task core only,"pose/heading/falls/category valid; speed_tracking mixes waypoint, segment peak reset-contaminated, v7_extras snapshot only"
K1_walk/v7/2026-07-28-17-02-35_G2_robust_20260729-021910/report_stress_jitter.md,G,B_LIMITED,common-base goal-churn survival only,stress omitted run config/provenance and external force was OFF
K1_walk/v7/2026-07-28-17-02-35_G2_robust_20260729-021910/rollout_env0.mp4,G,B_LIMITED,qualitative env0 only,single deterministic video; not statistical evidence
K1_walk/v7/2026-07-28-17-02-35_G2_robust_20260729-021910/selection.md,G,B_LIMITED,best among sampled tail candidates,"tail-only selection, not exhaustive and excludes warm-start/early fine-tune interval"
